APS,bairro
AP1,BENFICA
AP1,CAJU
AP1,CATUMBI
AP1,CENTRO
AP1,CIDADE NOVA
AP1,ESTACIO
AP1,GAMBOA
AP1,MANGUEIRA
AP1,PAQUETA
AP1,RIO COMPRIDO
AP1,SANTA TERESA
AP1,LAPA
AP1,SANTO CRISTO
AP1,SAO CRISTOVAO
AP1,SAUDE
AP1,VASCO DA GAMA
AP1,VASCO
AP2.1,BOTAFOGO
AP2.1,CATETE
AP2.1,COPACABANA
AP2.1,COSME VELHO
AP2.1,FLAMENGO
AP2.1,GAVEA
AP2.1,GLORIA
AP2.1,HUMAITA
AP2.1,IPANEMA
AP2.1,JARDIM BOTANICO
AP2.1,LAGOA
AP2.1,LARANJEIRAS
AP2.1,LEBLON
AP2.1,LEME
AP2.1,ROCINHA
AP2.1,SAO CONRADO
AP2.1,URCA
AP2.1,VIDIGAL
AP2.2,ALTO DA BOA VISTA
AP2.2,ANDARAI
AP2.2,GRAJAU
AP2.2,MARACANA
AP2.2,PRACA DA BANDEIRA
AP2.2,PRAÇA DA BANDEIRA
AP2.2,TIJUCA
AP2.2,TIJ
AP2.2,VILA ISABEL
AP3.1,BONSUCESSO
AP3.1,BRAS DE PINA
AP3.1,BRAZ DE PINA
AP3.1,COMPLEXO DO ALEMAO
AP3.1,CORDOVIL
AP3.1,ILHA DO GOVERNADOR
AP3.1,JARDIM AMERICA
AP3.1,MANGUINHOS
AP3.1,MARE
AP3.1,COMPLEXO DA MARE
AP3.1,OLARIA
AP3.1,PARADA DE LUCAS
AP3.1,PENHA CIRCULAR
AP3.1,PENHA
AP3.1,RAMOS
AP3.1,VIGARIO GERAL
AP3.1,BANCARIOS
AP3.1,CACUIA
AP3.1,COCOTA
AP3.1,FREGUESIAILHA
AP3.1,GALEAO
AP3.1,CIDADE UNIVERSITARIA
AP3.1,GUARABU
AP3.1,JARDIM CARIOCA
AP3.1,JARDIM GUANABARA
AP3.1,MONERO
AP3.1,PITANGUEIRAS
AP3.1,PORTUGUESA
AP3.1,PRAIA DA BANDEIRA
AP3.1,RIBEIRA
AP3.1,TAUA
AP3.1,TUBIACANGA
AP3.1,VILLAGE
AP3.1,ZUMBI
AP3.2,ABOLICAO
AP3.2,AGUA SANTA
AP3.2,CACHAMBI
AP3.2,DEL CASTILHO
AP3.2,ENCANTADO
AP3.2,ENGENHO DA RAINHA
AP3.2,ENGENHO DE DENTRO
AP3.2,ENGENHO NOVO
AP3.2,HIGIENOPOLIS
AP3.2,INHAUMA
AP3.2,JACARE
AP3.2,JACAREZINHO
AP3.2,LINS DE VASCONCELOS
AP3.2,MARIA DA GRACA
AP3.2,MEIER
AP3.2,PIEDADE
AP3.2,PILARES
AP3.2,RIACHUELO
AP3.2,ROCHA
AP3.2,SAMPAIO
AP3.2,SAO FRANCISCO XAVIER
AP3.2,TODOS OS SANTOS
AP3.2,TOMAS COELHO
AP3.3,ACARI
AP3.3,ANCHIETA
AP3.3,BARROS FILHO
AP3.3,BENTO RIBEIRO
AP3.3,CAMPINHO
AP3.3,CASCADURA
AP3.3,CAVALCANTI
AP3.3,CAVALCANTE
AP3.3,COELHO NETO
AP3.3,COLEGIO
AP3.3,COSTA BARROS
AP3.3,ENGENHEIRO LEAL
AP3.3,GUADALUPE
AP3.3,HONORIO GURGEL
AP3.3,HON\xd3RIO GURGEL
AP3.3,TREVO DAS MISSOES
AP3.3,IRAJA
AP3.3,MADUREIRA
AP3.3,MARECHAL HERMES
AP3.3,MAL HERMES
AP3.3,OSWALDO CRUZ
AP3.3,PARQUE ANCHIETA
AP3.3,PARQUE COLUMBIA
AP3.3,PAVUNA
AP3.3,QUINTINO BOCAIUVA
AP3.3,QUINTINO
AP3.3,RICARDO DE ALBUQUERQUE
AP3.3,RICARDO ALBUQUERQUE
AP3.3,ROCHA MIRANDA
AP3.3,TURIACU
AP3.3,VAZ LOBO
AP3.3,VICENTE DE CARVALHO
AP3.3,VILA DA PENHA
AP3.3,VILA KOSMOS
AP3.3,VISTA ALEGRE
AP4,BARRA DA TIJUCA
AP4,CAMORIM
AP4,CIDADE DE DEUS
AP4,GRUMARI
AP4,ITANHANGA
AP4,JACAREPAGUA
AP4,JOA
AP4,RECREIO
AP4,RCREIO
AP4,RECREIO DOS BANDEIRANTES
AP4,VARGEM GRANDE
AP4,VARGEM PEQUENA
AP4,ANIL
AP4,COLONIA
AP4,CURICICA
AP4,FREGUESIAJPA
AP4,GARDENIA AZUL
AP4,PECHINCHA
AP4,PRACA SECA
AP4,RIO DAS PEDRAS
AP4,RIO GRANDE
AP4,TANQUE
AP4,TAQUARA
AP4,VILA VALQUEIRE
AP5.1,BANGU
AP5.1,BANGUI
AP5.1,CAMPO DOS AFONSOS
AP5.1,DEODORO
AP5.1,JARDIM SULACAP
AP5.1,MAGALHAES BASTOS
AP5.1,PADRE MIGUEL
AP5.1,REALENGO
AP5.1,SENADOR CAMARA
AP5.1,VILA MILITAR
AP5.2,BARRA DE GUARATIBA
AP5.2,CAMPO GRANDE
AP5.2,CAMPO GRANDE1'
AP5.2,CAMPO GRANDE1
AP5.2,COSMOS
AP5.2,KOSMOS
AP5.2,GUARATIBA
AP5.2,INHOAIBA
AP5.2,SANTISSIMO
AP5.2,SENADOR VASCONCELOS
AP5.2,PEDRA DE GUARATIBA
AP5.3,PACIENCIA
AP5.3,SANTA CRUZ
AP5.3,SEPETIBA
AP5.3,PALMARES
AP5.3,JARDIM PALMARES
