"SE","APS","casos","tweets","temp","Rt","casos_est","temp_crit","casos_crit","alertaRt1","alertaTemp","alertaCasos"
201003,"AP1",0,NA,23.8571428571429,1,NA,22,NA,0,1,NA
201003,"AP2.1",7,NA,23.8571428571429,1.31578947368421,NA,22,NA,1,1,NA
201003,"AP2.2",2,NA,23.8571428571429,1.16666666666667,NA,22,NA,0,1,NA
201003,"AP3.1",1,NA,23.8571428571429,0,NA,22,NA,1,1,NA
201003,"AP3.2",2,NA,23.8571428571429,2,NA,22,NA,1,1,NA
201003,"AP3.3",1,NA,23.8571428571429,1,NA,22,NA,0,1,NA
201003,"AP4",7,NA,23.8571428571429,1.42857142857143,NA,22,NA,1,1,NA
201003,"AP5.1",0,NA,23.8571428571429,NA,NA,22,NA,0,1,NA
201003,"AP5.2",2,NA,23.8571428571429,0,NA,22,NA,1,1,NA
201003,"AP5.3",1,NA,23.8571428571429,1,NA,22,NA,0,1,NA
201004,"AP1",2,NA,24,2,NA,22,NA,0,1,NA
201004,"AP2.1",8,NA,24,0.96,NA,22,NA,0,1,NA
201004,"AP2.2",1,NA,24,0.857142857142857,NA,22,NA,0,1,NA
201004,"AP3.1",1,NA,24,2,NA,22,NA,0,1,NA
201004,"AP3.2",2,NA,24,1.5,NA,22,NA,0,1,NA
201004,"AP3.3",3,NA,24,1.4,NA,22,NA,0,1,NA
201004,"AP4",5,NA,24,0.95,NA,22,NA,0,1,NA
201004,"AP5.1",2,NA,24,0,NA,22,NA,1,1,NA
201004,"AP5.2",10,NA,24,6,NA,22,NA,1,1,NA
201004,"AP5.3",0,NA,24,0.5,NA,22,NA,0,1,NA
201005,"AP1",1,NA,25.1428571428571,1.5,NA,22,NA,0,1,NA
201005,"AP2.1",9,NA,25.1428571428571,1,NA,22,NA,0,1,NA
201005,"AP2.2",5,NA,25.1428571428571,1.33333333333333,NA,22,NA,0,1,NA
201005,"AP3.1",2,NA,25.1428571428571,2,NA,22,NA,1,1,NA
201005,"AP3.2",3,NA,25.1428571428571,1.16666666666667,NA,22,NA,0,1,NA
201005,"AP3.3",2,NA,25.1428571428571,0.857142857142857,NA,22,NA,0,1,NA
201005,"AP4",7,NA,25.1428571428571,1,NA,22,NA,0,1,NA
201005,"AP5.1",2,NA,25.1428571428571,2,NA,22,NA,1,1,NA
201005,"AP5.2",7,NA,25.1428571428571,1.58333333333333,NA,22,NA,1,1,NA
201005,"AP5.3",0,NA,25.1428571428571,1,NA,22,NA,0,1,NA
201006,"AP1",5,NA,25,2.66666666666667,NA,22,NA,1,1,NA
201006,"AP2.1",7,NA,25,1,NA,22,NA,0,1,NA
201006,"AP2.2",1,NA,25,0.875,NA,22,NA,0,1,NA
201006,"AP3.1",1,NA,25,1,NA,22,NA,0,1,NA
201006,"AP3.2",7,NA,25,1.71428571428571,NA,22,NA,1,1,NA
201006,"AP3.3",2,NA,25,1.16666666666667,NA,22,NA,0,1,NA
201006,"AP4",2,NA,25,0.736842105263158,NA,22,NA,0,1,NA
201006,"AP5.1",1,NA,25,1.25,NA,22,NA,0,1,NA
201006,"AP5.2",6,NA,25,1.21052631578947,NA,22,NA,0,1,NA
201006,"AP5.3",1,NA,25,1,NA,22,NA,0,1,NA
201007,"AP1",3,NA,24.5714285714286,1.125,NA,22,NA,0,1,NA
201007,"AP2.1",16,NA,24.5714285714286,1.33333333333333,NA,22,NA,1,1,NA
201007,"AP2.2",5,NA,24.5714285714286,1.57142857142857,NA,22,NA,1,1,NA
201007,"AP3.1",2,NA,24.5714285714286,1.25,NA,22,NA,0,1,NA
201007,"AP3.2",2,NA,24.5714285714286,1,NA,22,NA,0,1,NA
201007,"AP3.3",4,NA,24.5714285714286,1.14285714285714,NA,22,NA,0,1,NA
201007,"AP4",6,NA,24.5714285714286,1.07142857142857,NA,22,NA,0,1,NA
201007,"AP5.1",0,NA,24.5714285714286,0.6,NA,22,NA,0,1,NA
201007,"AP5.2",7,NA,24.5714285714286,0.869565217391304,NA,22,NA,0,1,NA
201007,"AP5.3",2,NA,24.5714285714286,3,NA,22,NA,1,1,NA
201008,"AP1",6,NA,23.8571428571429,1.55555555555556,NA,22,NA,1,1,NA
201008,"AP2.1",12,NA,23.8571428571429,1.09375,NA,22,NA,0,1,NA
201008,"AP2.2",4,NA,23.8571428571429,0.909090909090909,NA,22,NA,0,1,NA
201008,"AP3.1",1,NA,23.8571428571429,0.8,NA,22,NA,0,1,NA
201008,"AP3.2",5,NA,23.8571428571429,1.16666666666667,NA,22,NA,0,1,NA
201008,"AP3.3",4,NA,23.8571428571429,1.25,NA,22,NA,0,1,NA
201008,"AP4",3,NA,23.8571428571429,0.733333333333333,NA,22,NA,0,1,NA
201008,"AP5.1",8,NA,23.8571428571429,3,NA,22,NA,1,1,NA
201008,"AP5.2",5,NA,23.8571428571429,0.9,NA,22,NA,0,1,NA
201008,"AP5.3",2,NA,23.8571428571429,1.66666666666667,NA,22,NA,0,1,NA
201009,"AP1",3,NA,21.7142857142857,0.857142857142857,NA,22,NA,0,0,NA
201009,"AP2.1",15,NA,21.7142857142857,1.22857142857143,NA,22,NA,1,0,NA
201009,"AP2.2",1,NA,21.7142857142857,1,NA,22,NA,0,0,NA
201009,"AP3.1",1,NA,21.7142857142857,1,NA,22,NA,0,0,NA
201009,"AP3.2",11,NA,21.7142857142857,1.28571428571429,NA,22,NA,0,0,NA
201009,"AP3.3",7,NA,21.7142857142857,1.5,NA,22,NA,1,0,NA
201009,"AP4",7,NA,21.7142857142857,1.45454545454545,NA,22,NA,1,0,NA
201009,"AP5.1",5,NA,21.7142857142857,1.44444444444444,NA,22,NA,1,0,NA
201009,"AP5.2",6,NA,21.7142857142857,1,NA,22,NA,0,0,NA
201009,"AP5.3",1,NA,21.7142857142857,1,NA,22,NA,0,0,NA
201010,"AP1",3,NA,23.7142857142857,1,NA,22,NA,0,1,NA
201010,"AP2.1",7,NA,23.7142857142857,0.790697674418605,NA,22,NA,0,1,NA
201010,"AP2.2",4,NA,23.7142857142857,0.9,NA,22,NA,0,1,NA
201010,"AP3.1",3,NA,23.7142857142857,1.25,NA,22,NA,0,1,NA
201010,"AP3.2",2,NA,23.7142857142857,1,NA,22,NA,0,1,NA
201010,"AP3.3",7,NA,23.7142857142857,1.2,NA,22,NA,0,1,NA
201010,"AP4",9,NA,23.7142857142857,1.1875,NA,22,NA,0,1,NA
