"SE","casos","tweets","temp","Rt","temp.1","temp_crit","casos_crit","alertaRt1","alertaTemp","alertaCasos"
201105,740,108,24.8571428571429,1.47147147147147,24.8571428571429,22,4371.4914478357,1,1,0
201106,1112,203,24.7142857142857,1.5734693877551,24.7142857142857,22,4371.4914478357,1,1,0
201107,1432,218,24.2857142857143,1.41980112408128,24.2857142857143,22,4371.4914478357,1,1,0
201108,1521,248,24.4285714285714,1.2378197320341,24.4285714285714,22,4371.4914478357,1,1,0
201109,1393,251,23,1.06912669126691,23,22,4371.4914478357,1,1,0
201110,1509,196,22.7142857142857,1.01771744132536,22.7142857142857,22,4371.4914478357,1,1,0
201111,2520,324,23.1428571428571,1.22586479764865,23.1428571428571,22,4371.4914478357,1,1,0
201112,3912,695,22.7142857142857,1.46458871265216,22.7142857142857,22,4371.4914478357,1,1,0
201113,4299,800,23.4285714285714,1.35134114091424,23.4285714285714,22,4371.4914478357,1,1,1
201114,5172,789,22.1428571428571,1.24713447022645,22.1428571428571,22,4371.4914478357,1,1,1
201115,4405,808,23.1428571428571,1.03683777927221,23.1428571428571,22,4371.4914478357,1,1,1
201116,3679,639,22.4285714285714,0.955318535601038,22.4285714285714,22,4371.4914478357,1,1,1
201117,3978,621,20.7142857142857,0.90992757996379,20.7142857142857,22,4371.4914478357,0,0,0
201118,3200,526,20.7142857142857,0.900099485989057,20.7142857142857,22,4371.4914478357,0,0,0
201119,2831,671,20.1428571428571,0.921893709127752,20.1428571428571,22,4371.4914478357,0,0,0
201120,2263,450,17.7142857142857,0.828654211209911,17.7142857142857,22,4371.4914478357,0,0,0
201121,1644,289,17,0.812394502049674,17,22,4371.4914478357,0,0,0
201122,1460,244,18,0.796527159394479,18,22,4371.4914478357,0,0,0
201123,919,159,15.7142857142857,0.74958077138066,15.7142857142857,22,4371.4914478357,0,0,0
201124,687,152,16,0.762117822520507,16,22,4371.4914478357,0,0,0
201125,430,130,17.5714285714286,0.664057403783431,17.5714285714286,22,4371.4914478357,0,0,0
201126,357,174,17,0.723968565815324,17,22,4371.4914478357,0,0,0
201127,254,109,15.5714285714286,0.706241519674355,15.5714285714286,22,4371.4914478357,0,0,0
201128,213,89,15.5714285714286,0.791546589817483,15.5714285714286,22,4371.4914478357,0,0,0
201129,162,95,18.8571428571429,0.763349514563107,18.8571428571429,22,4371.4914478357,0,0,0
201130,144,76,16.5714285714286,0.825119236883943,16.5714285714286,22,4371.4914478357,0,0,0
201131,111,56,17.8571428571429,0.803468208092486,17.8571428571429,22,4371.4914478357,0,0,0
201132,120,57,18.4285714285714,0.899280575539568,18.4285714285714,22,4371.4914478357,0,0,0
201133,124,75,19.1428571428571,0.946666666666667,19.1428571428571,22,4371.4914478357,0,0,0
201134,92,43,18.4285714285714,0.946478873239437,18.4285714285714,22,4371.4914478357,0,0,0
201135,82,91,17.8571428571429,0.886904761904762,17.8571428571429,22,4371.4914478357,0,0,0
