"data";"temp.mean";"temp.sd";"temp.min";"temp.max";"umid.mean";"umid.sd";"umid.min";"umid.max"
2010-01-01;27,12;3,09;24;33;77,48;14,64;46;94
2010-01-02;28,42;3,44;24;33;73,71;15,89;49;94
2010-01-03;28,08;2,81;25;33;77,52;13,28;53;94
2010-01-04;28,21;2,23;25;32;76,38;12,05;56;94
2010-01-05;27,71;2,83;24;33;80,71;10,04;63;94
2010-01-06;28,62;3;25;33;72,04;13,51;46;89
2010-01-07;29,68;2,01;27;34;65,96;9,08;47;79
2010-01-08;28,54;2,86;25;34;74,25;11,07;53;89
2010-01-09;29,71;3,77;25;35;69,38;16,23;44;89
2010-01-10;31,33;3,68;27;37;64,04;18,61;35;89
2010-01-11;31,12;3,6;26;38;62,08;15,31;33;84
2010-01-12;30,92;2,81;28;36;64,46;10,5;47;84
2010-01-13;29,5;2,98;26;34;69,5;10,25;53;84
2010-01-14;29,33;3,58;22;35;67,67;14,41;44;94
2010-01-15;24,89;2,54;22;30;85,82;11,43;62;100
2010-01-16;26,29;3,58;22;32;78,92;15,51;52;100
2010-01-17;28,58;3,08;25;33;71,54;10,34;56;84
2010-01-18;29,5;2,78;26;35;69,21;13,32;39;84
2010-01-19;29,62;4,04;22;37;68,5;16,42;37;89
2010-01-20;29,32;4,5;24;37;66;16,83;37;89
2010-01-21;28;3;25;34;70,37;9,9;50;84
2010-01-22;26,58;3,23;22;32;76,81;13,09;55;94
2010-01-23;26,92;3,87;23;34;76,52;15,84;47;94
2010-01-24;26,38;2,24;24;31;79,04;9,7;59;94
2010-01-25;25,93;3,5;23;34;81,11;13,54;50;94
2010-01-26;26,16;3,06;23;31;80,8;12,57;55;94
2010-01-27;28,4;3,34;24;34;72;14,64;44;89
2010-01-28;29,12;3,62;24;35;63,5;12,32;39;78
2010-01-29;29,17;3,57;25;36;65,17;14,38;33;83
2010-01-30;28,88;2,77;25;33;70,79;10,86;55;89
2010-01-31;29,29;2,85;25;34;72,17;13,09;50;94
2010-02-01;29,54;3,59;25;35;67;12,82;47;84
2010-02-02;29,62;3,92;25;37;65,12;13,94;40;83
2010-02-03;30,25;4,09;25;37;64,46;16,58;35;84
2010-02-04;30,46;4,24;26;38;60,25;16,28;31;79
2010-02-05;30,58;3,94;25;37;59,58;17,59;35;89
2010-02-06;30,54;4,22;25;37;57,54;19,52;29;84
2010-02-07;31,33;4,49;25;38;54,17;18,38;27;79
2010-02-08;31,83;4,49;26;40;57,04;18,65;28;84
2010-02-09;31,44;4,04;26;39;59,32;17,5;29;89
2010-02-10;28,15;3,82;24;36;71,19;15,49;37;89
2010-02-11;29,12;4,28;24;36;67,04;17,96;35;94
2010-02-12;29,71;3,48;25;35;61,12;13,88;39;79
