Date;year;month;monthseq;AP;IPO
01.08.12;2012;8;1;AP 1.0;42,59
01.08.12;2012;8;1;AP 2.1;18,51
01.08.12;2012;8;1;AP 2.2;49,61
01.08.12;2012;8;1;AP 3.1;31,07
01.08.12;2012;8;1;AP 3.2;58,96
01.08.12;2012;8;1;AP 3.3;55,55
01.08.12;2012;8;1;AP 4.0;55,84
01.08.12;2012;8;1;AP 5.1;47,27
01.08.12;2012;8;1;AP 5.2;40,00
01.08.12;2012;8;1;AP 5.3;30,09
01.09.12;2012;9;2;AP 1.0;34,61
01.09.12;2012;9;2;AP 2.1;15,86
01.09.12;2012;9;2;AP 2.2;20,31
01.09.12;2012;9;2;AP 3.1;40,67
01.09.12;2012;9;2;AP 3.2;72,72
01.09.12;2012;9;2;AP 3.3;60,99
01.09.12;2012;9;2;AP 4.0;34,60
01.09.12;2012;9;2;AP 5.1;65,06
01.09.12;2012;9;2;AP 5.2;52,65
01.09.12;2012;9;2;AP 5.3;32,49
01.10.12;2012;10;3;AP 1.0;42,85
01.10.12;2012;10;3;AP 2.1;21,26
01.10.12;2012;10;3;AP 2.2;38,84
01.10.12;2012;10;3;AP 3.1;42,22
01.10.12;2012;10;3;AP 3.2;80,36
01.10.12;2012;10;3;AP 3.3;48,13
01.10.12;2012;10;3;AP 4.0;39,04
01.10.12;2012;10;3;AP 5.1;57,30
01.10.12;2012;10;3;AP 5.2;38,09
01.10.12;2012;10;3;AP 5.3;30,61
01.11.12;2012;11;4;AP 1.0;57,84
01.11.12;2012;11;4;AP 2.1;46,41
01.11.12;2012;11;4;AP 2.2;42,75
01.11.12;2012;11;4;AP 3.1;50,14
01.11.12;2012;11;4;AP 3.2;78,13
01.11.12;2012;11;4;AP 3.3;65,14
01.11.12;2012;11;4;AP 4.0;48,13
01.11.12;2012;11;4;AP 5.1;76,00
01.11.12;2012;11;4;AP 5.2;51,27
01.11.12;2012;11;4;AP 5.3;60,50
01.12.12;2012;12;5;AP 1.0;71,15
01.12.12;2012;12;5;AP 2.1;32,84
01.12.12;2012;12;5;AP 2.2;36,23
01.12.12;2012;12;5;AP 3.1;50,43
01.12.12;2012;12;5;AP 3.2;77,67
01.12.12;2012;12;5;AP 3.3;49,88
01.12.12;2012;12;5;AP 4.0;54,44
01.12.12;2012;12;5;AP 5.1;61,14
01.12.12;2012;12;5;AP 5.2;51,44
01.12.12;2012;12;5;AP 5.3;47,94
01.01.13;2013;1;6;AP 1.0;0,0
01.01.13;2013;1;6;AP 2.1;0,0
01.01.13;2013;1;6;AP 2.2;0,0
01.01.13;2013;1;6;AP 3.1;0,0
01.01.13;2013;1;6;AP 3.2;0,0
01.01.13;2013;1;6;AP 3.3;0,0
01.01.13;2013;1;6;AP 4.0;0,0
01.01.13;2013;1;6;AP 5.1;0,0
01.01.13;2013;1;6;AP 5.2;0,0
01.01.13;2013;1;6;AP 5.3;0,0
01.02.13;2013;2;7;AP 1.0;42,6
01.02.13;2013;2;7;AP 2.1;34,96
01.02.13;2013;2;7;AP 2.2;28,57
01.02.13;2013;2;7;AP 3.1;22,97
01.02.13;2013;2;7;AP 3.2;71,4
01.02.13;2013;2;7;AP 3.3;59,1
01.02.13;2013;2;7;AP 4.0;37,60
01.02.13;2013;2;7;AP 5.1;74,7
01.02.13;2013;2;7;AP 5.2;59,3
01.02.13;2013;2;7;AP 5.3;38,71
01.03.13;2013;3;8;AP 1.0;51,4
01.03.13;2013;3;8;AP 2.1;24,44
01.03.13;2013;3;8;AP 2.2;37,88
01.03.13;2013;3;8;AP 3.1;31,20
01.03.13;2013;3;8;AP 3.2;63,8
01.03.13;2013;3;8;AP 3.3;53,5
01.03.13;2013;3;8;AP 4.0;49,3
01.03.13;2013;3;8;AP 5.1;62,4
01.03.13;2013;3;8;AP 5.2;55,3
01.03.13;2013;3;8;AP 5.3;48,6
01.04.13;2013;4;9;AP 1.0;56,6
01.04.13;2013;4;9;AP 2.1;16,05
01.04.13;2013;4;9;AP 2.2;34,88
01.04.13;2013;4;9;AP 3.1;32,35
01.04.13;2013;4;9;AP 3.2;72,3
01.04.13;2013;4;9;AP 3.3;47,4
01.04.13;2013;4;9;AP 4.0;43,9
01.04.13;2013;4;9;AP 5.1;52,6
01.04.13;2013;4;9;AP 5.2;50,0
01.04.13;2013;4;9;AP 5.3;44,4
