"APS","SE","estacao","data","temp.min"
"AP1",201001,"santosdumont",2010-01-06,25.4285714285714
"AP1",201002,"santosdumont",2010-01-13,25.2857142857143
"AP1",201003,"santosdumont",2010-01-20,24.2857142857143
"AP1",201004,"santosdumont",2010-01-27,24.1666666666667
"AP1",201005,"santosdumont",2010-02-03,25.4285714285714
"AP1",201006,"santosdumont",2010-02-10,25.7142857142857
"AP1",201007,"santosdumont",2010-02-17,24.4285714285714
"AP1",201008,"santosdumont",2010-02-24,24.5714285714286
"AP1",201009,"santosdumont",2010-03-03,22.1428571428571
"AP1",201010,"santosdumont",2010-03-10,24.8571428571429
"AP1",201011,"santosdumont",2010-03-17,23.8571428571429
"AP1",201012,"santosdumont",2010-03-24,25.8571428571429
"AP1",201013,"santosdumont",2010-03-31,24.1428571428571
"AP1",201014,"santosdumont",2010-04-07,21.2857142857143
"AP1",201015,"santosdumont",2010-04-14,21.7142857142857
"AP1",201016,"santosdumont",2010-04-21,24.4285714285714
"AP1",201017,"santosdumont",2010-04-28,22.5714285714286
"AP1",201018,"santosdumont",2010-05-05,22.8571428571429
"AP1",201019,"santosdumont",2010-05-12,20.7142857142857
"AP1",201020,"santosdumont",2010-05-19,21.2857142857143
"AP1",201021,"santosdumont",2010-05-26,21.2857142857143
"AP1",201022,"santosdumont",2010-06-02,19.7142857142857
"AP1",201023,"santosdumont",2010-06-09,18.4285714285714
"AP1",201024,"santosdumont",2010-06-16,17.8571428571429
"AP1",201025,"santosdumont",2010-06-23,19.2857142857143
"AP1",201026,"santosdumont",2010-06-30,19.7142857142857
"AP1",201027,"santosdumont",2010-07-07,20.1428571428571
"AP1",201028,"santosdumont",2010-07-14,21
"AP1",201029,"santosdumont",2010-07-21,20.7142857142857
"AP1",201030,"santosdumont",2010-07-28,20.5
"AP1",201031,"santosdumont",2010-08-04,20
"AP1",201032,"santosdumont",2010-08-11,19.4285714285714
"AP1",201033,"santosdumont",2010-08-18,17.2857142857143
"AP1",201034,"santosdumont",2010-08-25,20
"AP1",201035,"santosdumont",2010-09-01,21.4285714285714
"AP1",201036,"santosdumont",2010-09-08,19.7142857142857
"AP1",201037,"santosdumont",2010-09-15,20.5714285714286
"AP1",201038,"santosdumont",2010-09-22,20.2857142857143
"AP1",201039,"santosdumont",2010-09-29,21.5
"AP1",201040,"santosdumont",2010-10-06,20.5714285714286
"AP1",201041,"santosdumont",2010-10-13,19.1428571428571
"AP1",201042,"santosdumont",2010-10-20,20.5714285714286
"AP1",201043,"santosdumont",2010-10-27,21.1428571428571
"AP1",201044,"santosdumont",2010-11-03,22
"AP1",201045,"santosdumont",2010-11-10,21
"AP1",201046,"santosdumont",2010-11-17,21.1666666666667
"AP1",201047,"santosdumont",2010-11-24,23
"AP1",201048,"santosdumont",2010-12-01,25
"AP1",201049,"santosdumont",2010-12-08,24.4285714285714
"AP1",201050,"santosdumont",2010-12-15,24.5714285714286
"AP1",201051,"santosdumont",2010-12-22,25
"AP1",201052,"santosdumont",2010-12-29,23.8571428571429
"AP1",201101,"santosdumont",2011-01-05,24.7142857142857
"AP1",201102,"santosdumont",2011-01-12,24.8571428571429
"AP1",201103,"santosdumont",2011-01-19,25.7142857142857
"AP1",201104,"santosdumont",2011-01-26,24.8571428571429
"AP1",201105,"santosdumont",2011-02-02,24
"AP1",201106,"santosdumont",2011-02-09,24.7142857142857
"AP1",201107,"santosdumont",2011-02-16,24.1428571428571
"AP1",201108,"santosdumont",2011-02-23,24
"AP1",201109,"santosdumont",2011-03-02,23
"AP1",201110,"santosdumont",2011-03-09,23
"AP1",201111,"santosdumont",2011-03-16,23.4285714285714
"AP1",201112,"santosdumont",2011-03-23,22.5
"AP1",201113,"santosdumont",2011-03-30,23.5714285714286
"AP1",201114,"santosdumont",2011-04-06,23.2857142857143
"AP1",201115,"santosdumont",2011-04-13,24.4285714285714
"AP1",201116,"santosdumont",2011-04-20,23.5714285714286
"AP1",201117,"santosdumont",2011-04-27,22.1428571428571
"AP1",201118,"santosdumont",2011-05-04,22.2857142857143
"AP1",201119,"santosdumont",2011-05-11,21.1428571428571
"AP1",201120,"santosdumont",2011-05-18,19
"AP1",201121,"santosdumont",2011-05-25,19
"AP1",201122,"santosdumont",2011-06-01,18.8571428571429
"AP1",201123,"santosdumont",2011-06-08,17.8571428571429
"AP1",201124,"santosdumont",2011-06-15,18.5714285714286
"AP1",201125,"santosdumont",2011-06-22,19.7142857142857
"AP1",201126,"santosdumont",2011-06-29,18.8571428571429
"AP1",201127,"santosdumont",2011-07-06,16.5714285714286
"AP1",201128,"santosdumont",2011-07-13,17.4285714285714
"AP1",201129,"santosdumont",2011-07-20,20.5714285714286
"AP1",201130,"santosdumont",2011-07-27,19.1428571428571
"AP1",201131,"santosdumont",2011-08-03,18.8571428571429
"AP1",201132,"santosdumont",2011-08-10,19.5714285714286
"AP1",201133,"santosdumont",2011-08-17,19.8333333333333
"AP1",201134,"santosdumont",2011-08-24,19.1428571428571
"AP1",201135,"santosdumont",2011-08-31,19.1428571428571
"AP1",201136,"santosdumont",2011-09-07,19.5
"AP1",201137,"santosdumont",2011-09-14,19.4285714285714
