"SE","tweets","APS","casos","estacao","x"
201001,NA,"AP1",1,"santosdumont",25.4285714285714
201002,NA,"AP1",0,"santosdumont",25.2857142857143
201003,NA,"AP1",0,"santosdumont",24.2857142857143
201004,NA,"AP1",2,"santosdumont",24.1666666666667
201005,NA,"AP1",1,"santosdumont",25.4285714285714
201006,NA,"AP1",5,"santosdumont",25.7142857142857
201007,NA,"AP1",3,"santosdumont",24.4285714285714
201008,NA,"AP1",6,"santosdumont",24.5714285714286
201009,NA,"AP1",3,"santosdumont",22.1428571428571
201010,NA,"AP1",3,"santosdumont",24.8571428571429
201011,NA,"AP1",2,"santosdumont",23.8571428571429
201012,NA,"AP1",5,"santosdumont",25.8571428571429
201013,NA,"AP1",4,"santosdumont",24.1428571428571
201014,NA,"AP1",4,"santosdumont",21.2857142857143
201015,NA,"AP1",2,"santosdumont",21.7142857142857
201016,NA,"AP1",1,"santosdumont",24.4285714285714
201017,NA,"AP1",10,"santosdumont",22.5714285714286
201018,NA,"AP1",7,"santosdumont",22.8571428571429
201019,NA,"AP1",8,"santosdumont",20.7142857142857
201020,NA,"AP1",4,"santosdumont",21.2857142857143
201021,NA,"AP1",3,"santosdumont",21.2857142857143
201022,NA,"AP1",2,"santosdumont",19.7142857142857
201023,NA,"AP1",0,"santosdumont",18.4285714285714
201024,NA,"AP1",6,"santosdumont",17.8571428571429
201025,NA,"AP1",4,"santosdumont",19.2857142857143
201026,NA,"AP1",1,"santosdumont",19.7142857142857
201027,NA,"AP1",3,"santosdumont",20.1428571428571
201028,NA,"AP1",2,"santosdumont",21
201029,NA,"AP1",4,"santosdumont",20.7142857142857
201030,NA,"AP1",4,"santosdumont",20.5
201031,NA,"AP1",5,"santosdumont",20
201032,NA,"AP1",4,"santosdumont",19.4285714285714
201033,NA,"AP1",3,"santosdumont",17.2857142857143
201034,NA,"AP1",1,"santosdumont",20
201035,NA,"AP1",2,"santosdumont",21.4285714285714
201036,NA,"AP1",4,"santosdumont",19.7142857142857
201037,NA,"AP1",2,"santosdumont",20.5714285714286
