"SE","tweets","APS","casos","estacao","data","tmin"
201001,NA,"AP1",1,"santosdumont","2010-01-06",25.4285714285714
201002,NA,"AP1",0,"santosdumont","2010-01-13",25.2857142857143
201003,NA,"AP1",0,"santosdumont","2010-01-20",24.2857142857143
201004,NA,"AP1",2,"santosdumont","2010-01-27",24.1666666666667
201005,NA,"AP1",1,"santosdumont","2010-02-03",25.4285714285714
201006,NA,"AP1",5,"santosdumont","2010-02-10",25.7142857142857
201007,NA,"AP1",3,"santosdumont","2010-02-17",24.4285714285714
201008,NA,"AP1",6,"santosdumont","2010-02-24",24.5714285714286
201009,NA,"AP1",3,"santosdumont","2010-03-03",22.1428571428571
201010,NA,"AP1",3,"santosdumont","2010-03-10",24.8571428571429
201011,NA,"AP1",2,"santosdumont","2010-03-17",23.8571428571429
201012,NA,"AP1",5,"santosdumont","2010-03-24",25.8571428571429
201013,NA,"AP1",4,"santosdumont","2010-03-31",24.1428571428571
201014,NA,"AP1",4,"santosdumont","2010-04-07",21.2857142857143
201015,NA,"AP1",2,"santosdumont","2010-04-14",21.7142857142857
201016,NA,"AP1",1,"santosdumont","2010-04-21",24.4285714285714
201017,NA,"AP1",10,"santosdumont","2010-04-28",22.5714285714286
201018,NA,"AP1",7,"santosdumont","2010-05-05",22.8571428571429
201019,NA,"AP1",8,"santosdumont","2010-05-12",20.7142857142857
201020,NA,"AP1",4,"santosdumont","2010-05-19",21.2857142857143
201021,NA,"AP1",3,"santosdumont","2010-05-26",21.2857142857143
201022,NA,"AP1",2,"santosdumont","2010-06-02",19.7142857142857
201023,NA,"AP1",0,"santosdumont","2010-06-09",18.4285714285714
201024,NA,"AP1",6,"santosdumont","2010-06-16",17.8571428571429
201025,NA,"AP1",4,"santosdumont","2010-06-23",19.2857142857143
201026,NA,"AP1",1,"santosdumont","2010-06-30",19.7142857142857
201027,NA,"AP1",3,"santosdumont","2010-07-07",20.1428571428571
201028,NA,"AP1",2,"santosdumont","2010-07-14",21
201029,NA,"AP1",4,"santosdumont","2010-07-21",20.7142857142857
201030,NA,"AP1",4,"santosdumont","2010-07-28",20.5
201031,NA,"AP1",5,"santosdumont","2010-08-04",20
201032,NA,"AP1",4,"santosdumont","2010-08-11",19.4285714285714
201033,NA,"AP1",3,"santosdumont","2010-08-18",17.2857142857143
201034,NA,"AP1",1,"santosdumont","2010-08-25",20
201035,NA,"AP1",2,"santosdumont","2010-09-01",21.4285714285714
201036,NA,"AP1",4,"santosdumont","2010-09-08",19.7142857142857
201037,NA,"AP1",2,"santosdumont","2010-09-15",20.5714285714286
201038,NA,"AP1",2,"santosdumont","2010-09-22",20.2857142857143
201039,NA,"AP1",0,"santosdumont","2010-09-29",21.5
201040,NA,"AP1",2,"santosdumont","2010-10-06",20.5714285714286
201041,NA,"AP1",3,"santosdumont","2010-10-13",19.1428571428571
201042,NA,"AP1",1,"santosdumont","2010-10-20",20.5714285714286
201043,NA,"AP1",6,"santosdumont","2010-10-27",21.1428571428571
201044,NA,"AP1",2,"santosdumont","2010-11-03",22
201045,NA,"AP1",1,"santosdumont","2010-11-10",21
201046,NA,"AP1",4,"santosdumont","2010-11-17",21.1666666666667
201047,NA,"AP1",5,"santosdumont","2010-11-24",23
201048,NA,"AP1",6,"santosdumont","2010-12-01",25
201049,NA,"AP1",6,"santosdumont","2010-12-08",24.4285714285714
201050,NA,"AP1",10,"santosdumont","2010-12-15",24.5714285714286
201051,NA,"AP1",4,"santosdumont","2010-12-22",25
201052,NA,"AP1",8,"santosdumont","2010-12-29",23.8571428571429
201101,NA,"AP1",17,"santosdumont","2011-01-05",24.7142857142857
201102,NA,"AP1",31,"santosdumont","2011-01-12",24.8571428571429
201103,60,"AP1",22,"santosdumont","2011-01-19",25.7142857142857
201104,73,"AP1",47,"santosdumont","2011-01-26",24.8571428571429
201105,108,"AP1",74,"santosdumont","2011-02-02",24
201106,203,"AP1",87,"santosdumont","2011-02-09",24.7142857142857
201107,218,"AP1",123,"santosdumont","2011-02-16",24.1428571428571
201108,248,"AP1",137,"santosdumont","2011-02-23",24
201109,251,"AP1",126,"santosdumont","2011-03-02",23
201110,196,"AP1",120,"santosdumont","2011-03-09",23
201111,324,"AP1",168,"santosdumont","2011-03-16",23.4285714285714
201112,695,"AP1",264,"santosdumont","2011-03-23",22.5
201113,800,"AP1",264,"santosdumont","2011-03-30",23.5714285714286
201114,789,"AP1",298,"santosdumont","2011-04-06",23.2857142857143
201115,808,"AP1",282,"santosdumont","2011-04-13",24.4285714285714
201116,639,"AP1",162,"santosdumont","2011-04-20",23.5714285714286
201117,621,"AP1",152,"santosdumont","2011-04-27",22.1428571428571
201118,526,"AP1",169,"santosdumont","2011-05-04",22.2857142857143
201119,671,"AP1",110,"santosdumont","2011-05-11",21.1428571428571
201120,450,"AP1",89,"santosdumont","2011-05-18",19
201121,289,"AP1",58,"santosdumont","2011-05-25",19
201122,244,"AP1",32,"santosdumont","2011-06-01",18.8571428571429
201123,159,"AP1",19,"santosdumont","2011-06-08",17.8571428571429
201124,152,"AP1",7,"santosdumont","2011-06-15",18.5714285714286
201125,130,"AP1",10,"santosdumont","2011-06-22",19.7142857142857
201126,174,"AP1",9,"santosdumont","2011-06-29",18.8571428571429
201127,109,"AP1",5,"santosdumont","2011-07-06",16.5714285714286
201128,89,"AP1",12,"santosdumont","2011-07-13",17.4285714285714
201129,95,"AP1",11,"santosdumont","2011-07-20",20.5714285714286
201130,76,"AP1",5,"santosdumont","2011-07-27",19.1428571428571
201131,56,"AP1",1,"santosdumont","2011-08-03",18.8571428571429
201132,57,"AP1",6,"santosdumont","2011-08-10",19.5714285714286
201133,75,"AP1",3,"santosdumont","2011-08-17",19.8333333333333
201134,43,"AP1",3,"santosdumont","2011-08-24",19.1428571428571
201135,91,"AP1",2,"santosdumont","2011-08-31",19.1428571428571
201136,58,"AP1",2,"santosdumont","2011-09-07",19.5
201137,59,"AP1",0,"santosdumont","2011-09-14",19.4285714285714
201138,42,"AP1",9,"santosdumont","2011-09-21",19.5714285714286
201139,54,"AP1",6,"santosdumont","2011-09-28",19
201140,68,"AP1",5,"santosdumont","2011-10-05",20.6666666666667
201141,61,"AP1",9,"santosdumont","2011-10-12",21.1428571428571
201142,88,"AP1",8,"santosdumont","2011-10-19",18.8571428571429
201143,101,"AP1",10,"santosdumont","2011-10-26",19.6666666666667
201144,81,"AP1",10,"santosdumont","2011-11-02",18.1428571428571
201145,82,"AP1",10,"santosdumont","2011-11-09",20.1666666666667
201146,85,"AP1",11,"santosdumont","2011-11-16",20.7142857142857
201147,71,"AP1",16,"santosdumont","2011-11-23",20.7142857142857
201148,97,"AP1",16,"santosdumont","2011-11-30",20.8571428571429
201149,78,"AP1",23,"santosdumont","2011-12-07",21.4285714285714
201150,98,"AP1",25,"santosdumont","2011-12-14",22
201151,107,"AP1",19,"santosdumont","2011-12-21",23.4285714285714
201152,61,"AP1",26,"santosdumont","2011-12-28",22
201201,140,"AP1",36,"santosdumont","2012-01-04",22
201202,102,"AP1",36,"santosdumont","2012-01-11",22.7142857142857
201203,125,"AP1",45,"santosdumont","2012-01-18",23.1428571428571
201204,77,"AP1",52,"santosdumont","2012-01-25",22
201205,86,"AP1",72,"santosdumont","2012-02-01",22
