"","SE","tweets"
"1",201103,60
"2",201104,73
"3",201105,108
"4",201106,203
"5",201107,218
"6",201108,248
"7",201109,251
"8",201110,196
"9",201111,324
"10",201112,695
"11",201113,800
"12",201114,789
"13",201115,808
"14",201116,639
"15",201117,621
"16",201118,526
"17",201119,671
"18",201120,450
"19",201121,289
"20",201122,244
"21",201123,159
"22",201124,152
"23",201125,130
"24",201126,174
"25",201127,109
"26",201128,89
"27",201129,95
"28",201130,76
"29",201131,56
"30",201132,57
"31",201133,75
"32",201134,43
"33",201135,91
"34",201136,58
"35",201137,59
"36",201138,42
"37",201139,54
"38",201140,68
"39",201141,61
"40",201142,88
"41",201143,101
"42",201144,81
"43",201145,82
"44",201146,85
"45",201147,71
"46",201148,97
"47",201149,78
"48",201150,98
"49",201151,107
"50",201152,61
"51",201201,140
"52",201202,102
"53",201203,125
"54",201204,77
"55",201205,86
"56",201206,87
"57",201207,120
"58",201208,102
"59",201209,222
"60",201210,242
"61",201211,206
"62",201212,252
"63",201213,267
"64",201214,262
"65",201215,300
"66",201216,442
"67",201217,556
"68",201218,429
"69",201219,561
"70",201220,437
"71",201221,323
"72",201222,377
"73",201223,271
"74",201224,215
"75",201225,162
"76",201226,169
"77",201227,148
"78",201228,147
"79",201229,94
"80",201230,66
"81",201231,90
"82",201232,84
"83",201233,63
"84",201234,56
"85",201235,63
"86",201236,53
"87",201237,84
"88",201238,69
"89",201239,49
"90",201240,52
"91",201241,48
"92",201242,63
"93",201243,87
"94",201244,60
"95",201245,53
"96",201246,70
"97",201247,64
"98",201248,74
"99",201249,86
"100",201250,86
"101",201251,71
"102",201252,72
"103",201301,96
"104",201302,135
"105",201303,212
"106",201304,195
"107",201305,185
"108",201306,184
"109",201307,224
"110",201308,440
"111",201309,473
"112",201310,474
"113",201311,659
"114",201312,869
"115",201313,852
"116",201314,932
"117",201315,1369
"118",201316,783
"119",201317,601
"120",201318,443
"121",201319,368
"122",201320,304
"123",201321,206
"124",201322,193
"125",201323,164
"126",201324,146
"127",201325,150
"128",201326,123
"129",201327,88
"130",201328,90
"131",201329,84
"132",201330,57
"133",201331,148
"134",201332,155
"135",201333,71
"136",201334,97
"137",201335,63
"138",201336,55
"139",201337,46
"140",201338,115
"141",201339,45
"142",201340,56
"143",201341,53
"144",201342,57
"145",201343,69
"146",201344,66
"147",201345,54
"148",201346,63
"149",201347,86
"150",201348,74
"151",201349,60
"152",201350,NA
"153",201351,NA
"154",201352,NA
"155",201401,27
