"SE","tweets","APS","casos","estacao","data","tmin","tmed","tmax","umin","umed","umax","pressaomin","pressaomed","pressaomax"
201001,NA,"AP1",1,"santosdumont","2010-01-06",25.4285714285714,28.2840434419382,30.7142857142857,68,79.3166248955723,92.7142857142857,1008.28571428571,1010.30756056809,1012.14285714286
201002,NA,"AP1",0,"santosdumont","2010-01-13",25.2857142857143,28.6512113617377,31.2857142857143,60.7142857142857,76.28111946533,89.8571428571429,1009.71428571429,1011.47201336675,1013.57142857143
201003,NA,"AP1",0,"santosdumont","2010-01-20",24.2857142857143,28.0411445279866,31.1428571428571,60.5714285714286,75.2669381787803,91.2857142857143,1009.57142857143,1011.51382623225,1013.42857142857
201004,NA,"AP1",2,"santosdumont","2010-01-27",24.1666666666667,-51.7163742690058,30.8571428571429,63.6666666666667,76.2826510721248,89.5,1009.57142857143,1011.13450292398,1012.71428571429
201005,NA,"AP1",1,"santosdumont","2010-02-03",25.4285714285714,29.5873015873016,33.1428571428571,53.5714285714286,67.8015873015873,85,1009.71428571429,1011.79365079365,1013.71428571429
201006,NA,"AP1",5,"santosdumont","2010-02-10",25.7142857142857,29.296992481203,33.2857142857143,51.1428571428571,67.5847953216374,85,1008.42857142857,1010.2410192147,1012.28571428571
201007,NA,"AP1",3,"santosdumont","2010-02-17",24.4285714285714,27.5888888888889,31,61.5714285714286,75.562865497076,91.1428571428571,1010.85714285714,1012.73822055138,1014.57142857143
201008,NA,"AP1",6,"santosdumont","2010-02-24",24.5714285714286,27.7638888888889,30.7142857142857,62.4285714285714,76.0793650793651,91.8571428571429,1009.42857142857,1011.35515873016,1013.28571428571
201009,NA,"AP1",3,"santosdumont","2010-03-03",22.1428571428571,23.876365914787,25.4285714285714,79.4285714285714,89.2938512949039,99.1428571428571,1011.71428571429,1013.14323308271,1014.57142857143
201010,NA,"AP1",3,"santosdumont","2010-03-10",24.8571428571429,27.7844611528822,30.2857142857143,68.5714285714286,80.906850459482,92.5714285714286,1005.57142857143,1007.3604845447,1009.42857142857
201011,NA,"AP1",2,"santosdumont","2010-03-17",23.8571428571429,26.7445735550999,30,67.8571428571429,82.9843795093795,94.8571428571429,1011.14285714286,1014.11513252829,1016.71428571429
201012,NA,"AP1",5,"santosdumont","2010-03-24",25.8571428571429,28.5634920634921,31.2857142857143,62.4285714285714,76.8809523809524,87.7142857142857,1009,1011.06349206349,1012.85714285714
201013,NA,"AP1",4,"santosdumont","2010-03-31",24.1428571428571,27.0487528344671,29.5714285714286,73.7142857142857,84.5396825396825,95.8571428571429,1011,1012.45918367347,1014.42857142857
201014,NA,"AP1",4,"santosdumont","2010-04-07",21.2857142857143,23.6865838509317,26.2857142857143,70.2857142857143,83.6585507246377,94.8571428571429,1012.28571428571,1013.81875201288,1015.28571428571
201015,NA,"AP1",2,"santosdumont","2010-04-14",21.7142857142857,24.7962585034014,27.1428571428571,69.7142857142857,81.0399092970522,93.2857142857143,1016.71428571429,1018.22120181406,1020
201016,NA,"AP1",1,"santosdumont","2010-04-21",24.4285714285714,27.4277777777778,30.1428571428571,63.4285714285714,77.5134920634921,91.1428571428571,1011.57142857143,1013.71111111111,1015.71428571429
201017,NA,"AP1",10,"santosdumont","2010-04-28",22.5714285714286,25.3121005978149,27.8571428571429,66.1428571428571,80.0485466914038,93.2857142857143,1013.71428571429,1015.31385281385,1017.42857142857
201018,NA,"AP1",7,"santosdumont","2010-05-05",22.8571428571429,26.2376253132832,29.5714285714286,60.5714285714286,77.5681913116124,90.7142857142857,1012.28571428571,1014.27793441938,1016.28571428571
201019,NA,"AP1",8,"santosdumont","2010-05-12",20.7142857142857,23.0353100660554,25.7142857142857,63.8571428571429,78.3172089125505,92.5714285714286,1013.28571428571,1014.93578822833,1017.14285714286
201020,NA,"AP1",4,"santosdumont","2010-05-19",21.2857142857143,23.7018140589569,25.8571428571429,68.1428571428571,79.2851772287863,90.8571428571429,1012.71428571429,1014.27831483471,1015.85714285714
201021,NA,"AP1",3,"santosdumont","2010-05-26",21.2857142857143,23.5984126984127,26,67.5714285714286,80.7073762838469,91.7142857142857,1015.28571428571,1016.92623716153,1018.57142857143
201022,NA,"AP1",2,"santosdumont","2010-06-02",19.7142857142857,22.3414502164502,25.1428571428571,60.8571428571429,76.386752867016,87.7142857142857,1016.57142857143,1019.10143730538,1021.42857142857
201023,NA,"AP1",0,"santosdumont","2010-06-09",18.4285714285714,21.008658008658,23.2857142857143,61.1428571428571,73.1255411255411,86.1428571428571,1020.57142857143,1022.20634920635,1024.14285714286
201024,NA,"AP1",6,"santosdumont","2010-06-16",17.8571428571429,21.8659147869674,25,56.2857142857143,75.5492898913951,94,1016,1017.60108604845,1019.71428571429
201025,NA,"AP1",4,"santosdumont","2010-06-23",19.2857142857143,22.4494569757728,25.1428571428571,65.8571428571429,80.1361737677527,91.7142857142857,1016.57142857143,1018.29782790309,1020.14285714286
201026,NA,"AP1",1,"santosdumont","2010-06-30",19.7142857142857,22.2590404582886,24.7142857142857,68.1428571428571,81.6794963599475,94,1019.85714285714,1021.57077216852,1023.42857142857
201027,NA,"AP1",3,"santosdumont","2010-07-07",20.1428571428571,23.1260504201681,25.8571428571429,61.5714285714286,75.3734827264239,86.8571428571429,1017.71428571429,1019.27404295051,1020.85714285714
201028,NA,"AP1",2,"santosdumont","2010-07-14",21,23.127485380117,25.2857142857143,72,83.4624060150376,97.4285714285714,1017,1018.86436925647,1021.28571428571
201029,NA,"AP1",4,"santosdumont","2010-07-21",20.7142857142857,23.5854341736695,26.2857142857143,62,76.3716153127918,89.8571428571429,1019,1021.07236227824,1023.28571428571
201030,NA,"AP1",4,"santosdumont","2010-07-28",20.5,23.4907407407407,26.3333333333333,62.8571428571429,76.4603174603175,89.1428571428571,865.333333333333,1011.76851851852,1023.16666666667
201031,NA,"AP1",5,"santosdumont","2010-08-04",20,22.2104883420673,24,68.5714285714286,80.0567707146654,94,1018,1019.80697957014,1022
201032,NA,"AP1",4,"santosdumont","2010-08-11",19.4285714285714,22.2619047619048,24.5714285714286,58.2857142857143,70.7310776942356,83.8571428571429,1018.28571428571,1020.45576441103,1023.14285714286
201033,NA,"AP1",3,"santosdumont","2010-08-18",17.2857142857143,20.1592731829574,22.8571428571429,54.5714285714286,71.0087301587302,86.7142857142857,1021.57142857143,1023.24118629908,1025.28571428571
201034,NA,"AP1",1,"santosdumont","2010-08-25",20,24.1045948203843,27.8571428571429,51.4285714285714,71.8591478696742,89.8571428571429,1014.28571428571,1016.06670843776,1018.14285714286
201035,NA,"AP1",2,"santosdumont","2010-09-01",21.4285714285714,24.9213032581454,27.8571428571429,57,72.8780701754386,90,1014.83333333333,934.496324143693,1019.57142857143
201036,NA,"AP1",4,"santosdumont","2010-09-08",19.7142857142857,21.8825396825397,23.8571428571429,66,76.868253968254,89.4285714285714,1018.85714285714,1021.70873015873,1024.14285714286
201037,NA,"AP1",2,"santosdumont","2010-09-15",20.5714285714286,23.7840852130326,27.1428571428571,54.7142857142857,73.5329573934837,90,1013.14285714286,1015.752213868,1018.28571428571
201038,NA,"AP1",2,"santosdumont","2010-09-22",20.2857142857143,23.5261904761905,27,57.7142857142857,74.5484126984127,90.1428571428571,1014.14285714286,1016.16984126984,1018.14285714286
201039,NA,"AP1",0,"santosdumont","2010-09-29",21.5,-4223.26368421053,-2840.14285714286,75.5,88.1052631578947,100,1009,1011.09298245614,1013.42857142857
201040,NA,"AP1",2,"santosdumont","2010-10-06",20.5714285714286,23.0634920634921,25.7142857142857,58.7142857142857,71.8832199546485,86.2857142857143,1012.71428571429,1015.19274376417,1017.85714285714
201041,NA,"AP1",3,"santosdumont","2010-10-13",19.1428571428571,22.1984126984127,24.2857142857143,56.4285714285714,69.9206349206349,87.5714285714286,1016,1017.68253968254,1019.57142857143
201042,NA,"AP1",1,"santosdumont","2010-10-20",20.5714285714286,22.9658312447786,25.1428571428571,63.2857142857143,74.2052631578947,84.1428571428571,1011.14285714286,1013.07439431913,1015.28571428571
201043,NA,"AP1",6,"santosdumont","2010-10-27",21.1428571428571,23.6214569160998,26.2857142857143,63.7142857142857,77.3761337868481,90,1008,1010.03854875283,1012.28571428571
201044,NA,"AP1",2,"santosdumont","2010-11-03",22,24.4583333333333,26.6666666666667,66.1428571428571,78.0892857142857,90.1428571428571,1008.83333333333,1011.09027777778,1013.5
201045,NA,"AP1",1,"santosdumont","2010-11-10",21,23.6480367585631,25.8571428571429,65.5714285714286,77.5544695071011,91.5714285714286,1012.57142857143,1014.72426900585,1017
201046,NA,"AP1",4,"santosdumont","2010-11-17",21.1666666666667,23.1471734892788,24.6666666666667,72.2857142857143,82.8575605680869,92.4285714285714,1008.33333333333,1010.28265107212,1012.16666666667
201047,NA,"AP1",5,"santosdumont","2010-11-24",23,25.0889724310777,27.2857142857143,74.7142857142857,85.3968253968254,94.8571428571429,1005.57142857143,1007.29782790309,1009.28571428571
201048,NA,"AP1",6,"santosdumont","2010-12-01",25,27.4955982392957,29.8571428571429,69.4285714285714,80.2425636921435,91.2857142857143,1007,1008.78684807256,1010.85714285714
201049,NA,"AP1",6,"santosdumont","2010-12-08",24.4285714285714,26.7720864661654,28.5714285714286,76.4285714285714,83.0565998329156,93.4285714285714,1005.85714285714,1007.85385338346,1009.85714285714
201050,NA,"AP1",10,"santosdumont","2010-12-15",24.5714285714286,27.4372598162072,30.1428571428571,69,80.6264828738513,92.5714285714286,1004.14285714286,1006.63780284043,1009.85714285714
201051,NA,"AP1",4,"santosdumont","2010-12-22",25,27.1436562420544,29.1428571428571,72.4285714285714,82.9624786604192,91.1428571428571,1008.14285714286,1009.66532272711,1011.28571428571
201052,NA,"AP1",8,"santosdumont","2010-12-29",23.8571428571429,25.911066486091,28.4285714285714,70.7142857142857,82.6015348931335,93.4285714285714,1006,1007.46206873291,1008.57142857143
201101,NA,"AP1",17,"santosdumont","2011-01-05",24.7142857142857,27.3425229741019,29.4285714285714,71.2857142857143,79.0355054302423,89.4285714285714,1007.28571428571,1009.00722043203,1010.57142857143
201102,NA,"AP1",31,"santosdumont","2011-01-12",24.8571428571429,27.6541062801932,31.1428571428571,64.8571428571429,80.9573081253859,92,1004.28571428571,1005.94321128909,1007.71428571429
201103,60,"AP1",22,"santosdumont","2011-01-19",25.7142857142857,28.7039682539683,31.4285714285714,67.2857142857143,79.3896825396825,91.1428571428571,1007,1008.59523809524,1010.14285714286
201104,73,"AP1",47,"santosdumont","2011-01-26",24.8571428571429,28.6587301587302,31.7142857142857,57.2857142857143,70.5714285714286,84.2857142857143,1009.57142857143,1011.34920634921,1012.85714285714
201105,108,"AP1",74,"santosdumont","2011-02-02",24,27.6825396825397,30.8571428571429,61.2857142857143,76.7039682539683,92.7142857142857,1009.28571428571,1011.04920634921,1012.85714285714
201106,203,"AP1",87,"santosdumont","2011-02-09",24.7142857142857,28.8642857142857,32.4285714285714,53,68.4833333333333,87.1428571428571,1008.57142857143,1010.46746031746,1012.14285714286
201107,218,"AP1",123,"santosdumont","2011-02-16",24.1428571428571,27.8253968253968,30.8571428571429,58,71.2857142857143,88.1428571428571,1009.85714285714,1011.84920634921,1013.42857142857
201108,248,"AP1",137,"santosdumont","2011-02-23",24,27.1959064327485,31,61.5714285714286,76.3964076858814,91,1008.57142857143,1010.49456975773,1012.57142857143
201109,251,"AP1",126,"santosdumont","2011-03-02",23,24.7393483709273,27,74.1428571428571,87.040559732665,96.5714285714286,1010.14285714286,1011.70104427736,1013.28571428571
201110,196,"AP1",120,"santosdumont","2011-03-09",23,25.0702947845805,27.2857142857143,77.2857142857143,88.415306122449,98.2857142857143,1009.71428571429,1011.32743764172,1012.85714285714
201111,324,"AP1",168,"santosdumont","2011-03-16",23.4285714285714,26.0941102756892,28.8571428571429,69.5714285714286,83.0205931495405,95,1008.14285714286,1010.13746867168,1012.14285714286
201112,695,"AP1",264,"santosdumont","2011-03-23",22.5,-54.7543100174679,26.8571428571429,78.5,88.2547846889952,99,1012.33333333333,926.98401306296,1015.71428571429
201113,800,"AP1",264,"santosdumont","2011-03-30",23.5714285714286,25.8709273182957,28.4285714285714,74.8571428571429,86.8525480367586,95.7142857142857,1010.14285714286,1012.16750208855,1013.85714285714
201114,789,"AP1",298,"santosdumont","2011-04-06",23.2857142857143,25.3392952077163,27.7142857142857,71.2857142857143,81.5618049452636,91.5714285714286,1011.28571428571,1013.13174711671,1015
201115,808,"AP1",282,"santosdumont","2011-04-13",24.4285714285714,27.0355054302423,29.4285714285714,71.2857142857143,82.172096908939,91.8571428571429,1011.57142857143,1013.29156223893,1015.14285714286
201116,639,"AP1",162,"santosdumont","2011-04-20",23.5714285714286,27.0873015873016,30,63.4285714285714,76.6031746031746,89.5714285714286,1013.28571428571,1014.75396825397,1016.28571428571
201117,621,"AP1",152,"santosdumont","2011-04-27",22.1428571428571,24.5223535028046,27.1428571428571,69.7142857142857,82.5679884234395,92.2857142857143,1014.85714285714,1016.65704738036,1018.71428571429
201118,526,"AP1",169,"santosdumont","2011-05-04",22.2857142857143,24.3964621699175,26.8571428571429,67.8571428571429,79.8305909701791,91.7142857142857,1014,1015.60515418982,1017.57142857143
201119,671,"AP1",110,"santosdumont","2011-05-11",21.1428571428571,23.2292676134781,25.2857142857143,72.8571428571429,82.6170843776107,92.4285714285714,1014.42857142857,1015.93576998051,1017.57142857143
201120,450,"AP1",89,"santosdumont","2011-05-18",19,21.2357142857143,23.2857142857143,70.4285714285714,80.8336485152275,90.7142857142857,1015.57142857143,1017.52504366978,1019.85714285714
201121,289,"AP1",58,"santosdumont","2011-05-25",19,22.1841750841751,25,64,79.7901298701299,92.2857142857143,1017.16666666667,1018.74831649832,1020.5
201122,244,"AP1",32,"santosdumont","2011-06-01",18.8571428571429,21.5463492063492,24,64.7142857142857,76.7365079365079,89.2857142857143,1015.28571428571,1017.12428571429,1019
201123,159,"AP1",19,"santosdumont","2011-06-08",17.8571428571429,20.7152229312778,23.4285714285714,59.7142857142857,73.3356324986135,89.8571428571429,1014.28571428571,1016.85385031205,1019.57142857143
201124,152,"AP1",7,"santosdumont","2011-06-15",18.5714285714286,21.1111111111111,23.5714285714286,60.1428571428571,76.5453514739229,90,1018.85714285714,1020.77437641723,1023.14285714286
201125,130,"AP1",10,"santosdumont","2011-06-22",19.7142857142857,22.0838763575606,24.2857142857143,70.5714285714286,83.5173350041771,94,1015.71428571429,1017.07297410192,1018.85714285714
201126,174,"AP1",9,"santosdumont","2011-06-29",18.8571428571429,21.1203007518797,23.5714285714286,65.1428571428571,78.9360484544695,90.7142857142857,1014.71428571429,1016.85918964077,1019
201127,109,"AP1",5,"santosdumont","2011-07-06",16.5714285714286,18.4889664637785,20,70.1428571428571,81.6606814655687,93.1428571428571,1017.14285714286,1018.60426661893,1020.28571428571
201128,89,"AP1",12,"santosdumont","2011-07-13",17.4285714285714,21.3552213868003,24.7142857142857,61.4285714285714,79.3261487050961,96.5714285714286,1015.28571428571,1017.01541353383,1019
201129,95,"AP1",11,"santosdumont","2011-07-20",20.5714285714286,22.6832031058037,25.1428571428571,68.8571428571429,80.6683620816748,91.4285714285714,1016.85714285714,1018.92965256278,1020.85714285714
201130,76,"AP1",5,"santosdumont","2011-07-27",19.1428571428571,22.5171261487051,26.4285714285714,54,72.1821637426901,88.4285714285714,1016.28571428571,1018.74899749373,1021.71428571429
201131,56,"AP1",1,"santosdumont","2011-08-03",18.8571428571429,21.2285714285714,23.8571428571429,58.8571428571429,73.1243107769424,84.1428571428571,1013.71428571429,1015.78262322473,1018
201132,57,"AP1",6,"santosdumont","2011-08-10",19.5714285714286,22.215037593985,25.1428571428571,68.7142857142857,81.7695906432749,92.2857142857143,1014.71428571429,1017.00342522974,1019.42857142857
201133,75,"AP1",3,"santosdumont","2011-08-17",19.8333333333333,24.1491228070175,28.1666666666667,54.8571428571429,73.203425229741,90.1428571428571,1011.33333333333,1014.12037037037,1017.5
201134,43,"AP1",3,"santosdumont","2011-08-24",19.1428571428571,21.20559732665,23.2857142857143,72.8571428571429,81.8531746031746,92.4285714285714,1019.57142857143,1021.57397660819,1023.85714285714
201135,91,"AP1",2,"santosdumont","2011-08-31",19.1428571428571,22.6170187373195,25.8571428571429,47.8571428571429,64.8524286907746,83,1016.85714285714,1019.41383219955,1022.14285714286
201136,58,"AP1",2,"santosdumont","2011-09-07",19.5,22.7962962962963,25.6666666666667,59.4285714285714,73.8650793650794,89.1428571428571,1013.16666666667,1015.41666666667,1017.83333333333
201137,59,"AP1",0,"santosdumont","2011-09-14",19.4285714285714,21.1733880154933,23,68.8571428571429,79.0627325890484,87.8571428571429,1021.2,-144.341687552214,1024.57142857143
201138,42,"AP1",9,"santosdumont","2011-09-21",19.5714285714286,22.639880952381,25.4285714285714,58.2857142857143,71.3333333333333,83.7142857142857,1015.14285714286,1018.57638888889,1022.14285714286
201139,54,"AP1",6,"santosdumont","2011-09-28",19,22.6269841269841,25.8571428571429,59,74.3015873015873,89.1428571428571,1015.71428571429,1017.69047619048,1019.57142857143
201140,68,"AP1",5,"santosdumont","2011-10-05",20.6666666666667,22.9342592592593,25.1666666666667,67.7142857142857,78.615873015873,90,1015.2,710.710185185185,1018.83333333333
201141,61,"AP1",9,"santosdumont","2011-10-12",21.1428571428571,24.0518721045037,28,66.4285714285714,83.4068124857599,96.5714285714286,1007,291.563568010936,1011.14285714286
201142,88,"AP1",8,"santosdumont","2011-10-19",18.8571428571429,20.6657059314954,22.7142857142857,70.5714285714286,82.1595655806182,91.7142857142857,1016.25,-112.449081035923,1018.14285714286
201143,101,"AP1",10,"santosdumont","2011-10-26",19.6666666666667,24.1835561125035,27.5,64.1428571428571,75.9577873254565,92.2857142857143,1008.66666666667,1011.22006404901,1013.66666666667
201144,81,"AP1",10,"santosdumont","2011-11-02",18.1428571428571,21.0058753325892,23.5714285714286,57.8571428571429,72.0964550732574,88.5714285714286,1018.75,304.720470293381,1020.28571428571
201145,82,"AP1",10,"santosdumont","2011-11-09",20.1666666666667,23.7521786492375,26.6666666666667,64.2857142857143,77.2455648926237,91.5714285714286,1011.33333333333,1013.13779956427,1015
201146,85,"AP1",11,"santosdumont","2011-11-16",20.7142857142857,22.0896849968057,23.7142857142857,75.5714285714286,84.8710501744557,94.1428571428571,781.25,411.921200058971,1014.14285714286
201147,71,"AP1",16,"santosdumont","2011-11-23",20.7142857142857,24.2767335004177,27,64.8571428571429,78.2774018379282,94,1011.25,115.194945697577,1013.71428571429
201148,97,"AP1",16,"santosdumont","2011-11-30",20.8571428571429,23.5413509263354,26.2857142857143,67.7142857142857,82.2663374121578,94.8571428571429,1009.33333333333,696.892508231363,1013.57142857143
201149,78,"AP1",23,"santosdumont","2011-12-07",21.4285714285714,23.5613378684807,26,76.4285714285714,86.3213748657358,95.7142857142857,1008.71428571429,1010.92999164578,1012.85714285714
201150,98,"AP1",25,"santosdumont","2011-12-14",22,25.1724668814894,28.7142857142857,67.8571428571429,81.8917472252059,95.7142857142857,1006.14285714286,1008.28866213152,1010.85714285714
201151,107,"AP1",19,"santosdumont","2011-12-21",23.4285714285714,27.002380952381,30.5714285714286,59.7142857142857,75.4634920634921,92.7142857142857,1007.85714285714,1009.48888888889,1011.57142857143
201152,61,"AP1",26,"santosdumont","2011-12-28",22,24.0482456140351,25.8571428571429,76,86.2,96.5714285714286,1011.57142857143,1013.26470342523,1014.71428571429
201201,140,"AP1",36,"santosdumont","2012-01-04",22,-50.7389686337055,27,72.5,85.4016037568669,94,1008,927.410533910534,1012
201202,102,"AP1",36,"santosdumont","2012-01-11",22.7142857142857,25.981746031746,29.2857142857143,67.4285714285714,79.8608187134503,92.4285714285714,881.714285714286,1006.51186299081,1015.28571428571
201203,125,"AP1",45,"santosdumont","2012-01-18",23.1428571428571,26.2409698488646,29.4285714285714,66.4285714285714,79.8371914635073,94.1428571428571,1010.42857142857,1012.0847725374,1013.42857142857
201204,77,"AP1",52,"santosdumont","2012-01-25",22,25.9016290726817,29.4285714285714,62.2857142857143,77.3911683971834,93.4285714285714,1009.71428571429,1011.44095954171,1013
201205,86,"AP1",72,"santosdumont","2012-02-01",22,25.3008317362033,28.1428571428571,66.8571428571429,80.122937133386,91.7142857142857,1011.57142857143,1013.15287717958,1014.71428571429
201206,87,"AP1",73,"santosdumont","2012-02-08",22.8571428571429,26.7437641723356,29.8571428571429,63,78.7278911564626,93.4285714285714,1008.16666666667,934.783446712018,1011.42857142857
201207,120,"AP1",56,"santosdumont","2012-02-15",23,26.2568542568543,29.2857142857143,66.4285714285714,79.3246753246753,94.1428571428571,1014.16666666667,871.936507936508,1016.71428571429
201208,102,"AP1",113,"santosdumont","2012-02-22",23,26.7925942306747,30.2857142857143,57.2857142857143,73.1383360361689,89.4285714285714,1008.83333333333,762.298343898963,1012.42857142857
201209,222,"AP1",144,"santosdumont","2012-02-29",23.8571428571429,27.6428571428571,31.2857142857143,55.5714285714286,72.8650793650794,90.4285714285714,1009.71428571429,1011.34920634921,1013.14285714286
201210,242,"AP1",150,"santosdumont","2012-03-07",22.8571428571429,25.468253968254,27.5714285714286,72.8571428571429,82.5396825396825,95.8571428571429,1013.71428571429,1015.73015873016,1017.14285714286
201211,206,"AP1",147,"santosdumont","2012-03-14",23,26.2564745196324,29.8571428571429,57.8571428571429,78.3157894736842,96,1010.2,842.212197159566,1014
201212,252,"AP1",149,"santosdumont","2012-03-21",23,-49.642629300524,29,64.6666666666667,79.0820042530569,93.1666666666667,1011.5,371.216222374117,1013.42857142857
201213,267,"AP1",161,"santosdumont","2012-03-28",22.7142857142857,25.3151629072682,28.4285714285714,64.4285714285714,86.0601086048455,97.4285714285714,1012.5,676.210860484545,1016.85714285714
201214,262,"AP1",183,"santosdumont","2012-04-04",23.4285714285714,25.8796992481203,27.8571428571429,74.2857142857143,84.3462823725982,95,1011.42857142857,1012.97869674185,1015
201215,300,"AP1",252,"santosdumont","2012-04-11",23.3333333333333,-49.2478475600767,28.5714285714286,73.5,84.0835511982571,93.1666666666667,1012.33333333333,931.189078087375,1015.85714285714
201216,442,"AP1",244,"santosdumont","2012-04-18",22.2857142857143,24.9660997732426,27.4285714285714,69.8571428571429,81.2685941043084,91.5714285714286,831.4,766.215873015873,1016.28571428571
201217,556,"AP1",283,"santosdumont","2012-04-25",22.5,25.0739348370927,27.5,70.2857142857143,82.250566893424,95,1009,722.433792815372,1014.66666666667
201218,429,"AP1",253,"santosdumont","2012-05-02",20,22.6706528225325,25,65.1428571428571,80.599910490512,93.2857142857143,1019.25,211.310949994033,1020.14285714286
201219,561,"AP1",250,"santosdumont","2012-05-09",20.7142857142857,24.2404344193818,27,62.4285714285714,77.0447368421053,91.4285714285714,1014.71428571429,1016.50426065163,1018.42857142857
201220,437,"AP1",264,"santosdumont","2012-05-16",18.8571428571429,21.2447189402077,24,69.6666666666667,81.3729462545252,95,835.2,757.599534550662,1020.71428571429
201221,323,"AP1",243,"santosdumont","2012-05-23",19.7142857142857,22.8492063492063,25.2857142857143,61.8571428571429,75.5476190476191,87.5714285714286,1016.14285714286,1018.19841269841,1021
201222,377,"AP1",138,"santosdumont","2012-05-30",21.7142857142857,23.8327485380117,26.4285714285714,72.8571428571429,85.5168337510443,95.7142857142857,1014.14285714286,1016.19670008354,1017.85714285714
201223,271,"AP1",116,"santosdumont","2012-06-06",21.1428571428571,23.3280284043442,25.7142857142857,72.4285714285714,85.7011278195489,96,1012,23.1157477025898,1017.57142857143
201224,215,"AP1",93,"santosdumont","2012-06-13",20.1428571428571,22.6106934001671,25.1428571428571,70.7142857142857,83.6629072681704,96.5714285714286,1016.14285714286,1017.98621553885,1019.71428571429
201225,162,"AP1",54,"santosdumont","2012-06-20",21.4285714285714,23.4,26.1428571428571,67.5714285714286,82.084126984127,93.2857142857143,1012.83333333333,935.777777777778,1017.14285714286
201226,169,"AP1",37,"santosdumont","2012-06-27",19.7142857142857,22.7126148705096,25.5714285714286,66.2857142857143,81.0689223057644,94.8571428571429,1020,1021.43149540518,1024.71428571429
201227,148,"AP1",58,"santosdumont","2012-07-04",20.8333333333333,24.3494152046784,28.1666666666667,53.1428571428571,74.5321637426901,90,1015.16666666667,1016.89035087719,1018.83333333333
201228,147,"AP1",37,"santosdumont","2012-07-11",18.3333333333333,-54.3249791144528,23.1428571428571,64.1666666666667,76.2009259259259,88.5,846,694.728153717627,1019.57142857143
201229,94,"AP1",21,"santosdumont","2012-07-18",18,19.9549884813043,21.8333333333333,72.5714285714286,82.8538201564517,92.2857142857143,1017.25,469.255298600035,1022.5
201230,66,"AP1",20,"santosdumont","2012-07-25",20.4285714285714,23.7080200501253,27.1428571428571,56.7142857142857,78.6274018379281,94,1015.57142857143,1017.58145363409,1019.71428571429
201231,90,"AP1",28,"santosdumont","2012-08-01",20.5714285714286,23.4114452798663,26.2857142857143,67.1428571428571,80.6140350877193,90.5714285714286,1018.71428571429,1020.82957393484,1023.28571428571
201232,84,"AP1",16,"santosdumont","2012-08-08",18.8571428571429,22.2470669427191,25.4285714285714,57.5714285714286,73.9623878536922,88.4285714285714,1018.71428571429,1020.67977915804,1022.71428571429
201233,63,"AP1",27,"santosdumont","2012-08-15",20.1666666666667,23.4259259259259,26.3333333333333,61,75.2936507936508,88.1428571428571,1022.66666666667,1024.12037037037,1025.66666666667
201234,56,"AP1",18,"santosdumont","2012-08-22",18.8333333333333,22.8835282651072,27,49.7142857142857,70.7510442773601,86,1019.83333333333,1023.48050682261,1026
201235,63,"AP1",12,"santosdumont","2012-08-29",18.5714285714286,20.9273182957393,24.1428571428571,61.5714285714286,78.7330827067669,94,1018.71428571429,1020.4857978279,1022.28571428571
201236,53,"AP1",10,"santosdumont","2012-09-05",18.7142857142857,22.3454469507101,25.8571428571429,55.7142857142857,75.0258980785297,93.2857142857143,887.285714285714,1013.35171261487,1023.57142857143
201237,84,"AP1",10,"santosdumont","2012-09-12",20.7142857142857,23.5539682539683,26.2857142857143,67.8571428571429,80.1952380952381,93.1428571428571,845.166666666667,838.880158730159,1019.14285714286
