Ano,SE,Inicio,Termino,
2010,1,03/01/2010,09/01/2010,
2010,2,10/01/2010,16/01/2010,
2010,3,17/01/2010,23/01/2010,
2010,4,24/01/2010,30/01/2010,
2010,5,31/01/2010,06/02/2010,
2010,6,07/02/2010,13/02/2010,
2010,7,14/02/2010,20/02/2010,
2010,8,21/02/2010,27/02/2010,
2010,9,28/02/2010,06/03/2010,
2010,10,07/03/2010,13/03/2010,
2010,11,14/03/2010,20/03/2010,
2010,12,21/03/2010,27/03/2010,
2010,13,28/03/2010,03/04/2010,
2010,14,04/04/2010,10/04/2010,
2010,15,11/04/2010,17/04/2010,
2010,16,18/04/2010,24/04/2010,
2010,17,25/04/2010,01/05/2010,
2010,18,02/05/2010,08/05/2010,
2010,19,09/05/2010,15/05/2010,
2010,20,16/05/2010,22/05/2010,
2010,21,23/05/2010,29/05/2010,
2010,22,30/05/2010,05/06/2010,
2010,23,06/06/2010,12/06/2010,
2010,24,13/06/2010,19/06/2010,
2010,25,20/06/2010,26/06/2010,
2010,26,27/06/2010,03/07/2010,
2010,27,04/07/2010,10/07/2010,
2010,28,11/07/2010,17/07/2010,
2010,29,18/07/2010,24/07/2010,
2010,30,25/07/2010,31/07/2010,
2010,31,01/08/2010,07/08/2010,
2010,32,08/08/2010,14/08/2010,
2010,33,15/08/2010,21/08/2010,
2010,34,22/08/2010,28/08/2010,
2010,35,29/08/2010,04/09/2010,
2010,36,05/09/2010,11/09/2010,
2010,37,12/09/2010,18/09/2010,
2010,38,19/09/2010,25/09/2010,
2010,39,26/09/2010,02/10/2010,
2010,40,03/10/2010,09/10/2010,
2010,41,10/10/2010,16/10/2010,
2010,42,17/10/2010,23/10/2010,
2010,43,24/10/2010,30/10/2010,
2010,44,31/10/2010,06/11/2010,
2010,45,07/11/2010,13/11/2010,
2010,46,14/11/2010,20/11/2010,
2010,47,21/11/2010,27/11/2010,
2010,48,28/11/2010,04/12/2010,
2010,49,05/12/2010,11/12/2010,
2010,50,12/12/2010,18/12/2010,
2010,51,19/12/2010,25/12/2010,
2010,52,26/12/2010,01/01/2011,
2011,1,02/01/2011,08/01/2011,
2011,2,09/01/2011,15/01/2011,
2011,3,16/01/2011,22/01/2011,
2011,4,23/01/2011,29/01/2011,
2011,5,30/01/2011,05/02/2011,
2011,6,06/02/2011,12/02/2011,
2011,7,13/02/2011,19/02/2011,
2011,8,20/02/2011,26/02/2011,
2011,9,27/02/2011,05/03/2011,
2011,10,06/03/2011,12/03/2011,
2011,11,13/03/2011,19/03/2011,
2011,12,20/03/2011,26/03/2011,
2011,13,27/03/2011,02/04/2011,
2011,14,03/04/2011,09/04/2011,
2011,15,10/04/2011,16/04/2011,
2011,16,17/04/2011,23/04/2011,
2011,17,24/04/2011,30/04/2011,
2011,18,01/05/2011,07/05/2011,
2011,19,08/05/2011,14/05/2011,
2011,20,15/05/2011,21/05/2011,
2011,21,22/05/2011,28/05/2011,
2011,22,29/05/2011,04/06/2011,
2011,23,05/06/2011,11/06/2011,
2011,24,12/06/2011,18/06/2011,
2011,25,19/06/2011,25/06/2011,
2011,26,26/06/2011,02/07/2011,
2011,27,03/07/2011,09/07/2011,
2011,28,10/07/2011,16/07/2011,
2011,29,17/07/2011,23/07/2011,
2011,30,24/07/2011,30/07/2011,
2011,31,31/07/2011,06/08/2011,
2011,32,07/08/2011,13/08/2011,
2011,33,14/08/2011,20/08/2011,
2011,34,21/08/2011,27/08/2011,
2011,35,28/08/2011,03/09/2011,
2011,36,04/09/2011,10/09/2011,
2011,37,11/09/2011,17/09/2011,
2011,38,18/09/2011,24/09/2011,
2011,39,25/09/2011,01/10/2011,
2011,40,02/10/2011,08/10/2011,
2011,41,09/10/2011,15/10/2011,
2011,42,16/10/2011,22/10/2011,
2011,43,23/10/2011,29/10/2011,
2011,44,30/10/2011,05/11/2011,
2011,45,06/11/2011,12/11/2011,
2011,46,13/11/2011,19/11/2011,
2011,47,20/11/2011,26/11/2011,
2011,48,27/11/2011,03/12/2011,
2011,49,04/12/2011,10/12/2011,
2011,50,11/12/2011,17/12/2011,
2011,51,18/12/2011,24/12/2011,
2011,52,25/12/2011,31/12/2011,
2012,1,01/01/2012,07/01/2012, 
2012,2,08/01/2012,14/01/2012, 
2012,3,15/01/2012,21/01/2012, 
2012,4,22/01/2012,28/01/2012, 
2012,5,29/01/2012,04/02/2012, 
2012,6,05/02/2012,11/02/2012, 
2012,7,12/02/2012,18/02/2012, 
2012,8,19/02/2012,25/02/2012, 
2012,9,26/02/2012,03/03/2012, 
2012,10,04/03/2012,10/03/2012, 
2012,11,11/03/2012,17/03/2012, 
2012,12,18/03/2012,24/03/2012, 
2012,13,25/03/2012,31/03/2012, 
2012,14,01/04/2012,07/04/2012, 
2012,15,08/04/2012,14/04/2012, 
2012,16,15/04/2012,21/04/2012, 
2012,17,22/04/2012,28/04/2012, 
2012,18,29/04/2012,05/05/2012, 
2012,19,06/05/2012,12/05/2012, 
2012,20,13/05/2012,19/05/2012, 
2012,21,20/05/2012,26/05/2012, 
2012,22,27/05/2012,02/06/2012, 
2012,23,03/06/2012,09/06/2012, 
2012,24,10/06/2012,16/06/2012, 
2012,25,17/06/2012,23/06/2012, 
2012,26,24/06/2012,30/06/2012, 
2012,27,01/07/2012,07/07/2012,
2012,28,08/07/2012,14/07/2012,
2012,29,15/07/2012,21/07/2012,
2012,30,22/07/2012,28/07/2012,
2012,31,29/07/2012,04/08/2012,
2012,32,05/08/2012,11/08/2012,
2012,33,12/08/2012,18/08/2012,
2012,34,19/08/2012,25/08/2012,
2012,35,26/08/2012,01/09/2012,
2012,36,02/09/2012,08/09/2012,
2012,37,09/09/2012,15/09/2012,
2012,38,16/09/2012,22/09/2012,
2012,39,23/09/2012,29/09/2012,
2012,40,30/09/2012,06/10/2012,
2012,41,07/10/2012,13/10/2012,
2012,42,14/10/2012,20/10/2012,
2012,43,21/10/2012,27/10/2012,
2012,44,28/10/2012,03/11/2012,
2012,45,04/11/2012,10/11/2012,
2012,46,11/11/2012,17/11/2012,
2012,47,18/11/2012,24/11/2012,
2012,48,25/11/2012,01/12/2012,
2012,49,02/12/2012,08/12/2012,
2012,50,09/12/2012,15/12/2012,
2012,51,16/12/2012,22/12/2012,
2012,52,23/12/2012,29/12/2012,
2013,1,30/12/2012,05/01/2013,
2013,2,06/01/2013,12/01/2013,
2013,3,13/01/2013,19/01/2013,
2013,4,20/01/2013,26/01/2013,
2013,5,27/01/2013,02/02/2013,
2013,6,03/02/2013,09/02/2013,
2013,7,10/02/2013,16/02/2013,
2013,8,17/02/2013,23/02/2013,
2013,9,24/02/2013,02/03/2013,
2013,10,03/03/2013,09/03/2013,
2013,11,10/03/2013,16/03/2013,
2013,12,17/03/2013,23/03/2013,
2013,13,24/03/2013,30/03/2013,
2013,14,31/03/2013,06/04/2013,
2013,15,07/04/2013,13/04/2013,
2013,16,14/04/2013,20/04/2013,
2013,17,21/04/2013,27/04/2013,
2013,18,28/04/2013,04/05/2013,
2013,19,05/05/2013,11/05/2013,
2013,20,12/05/2013,18/05/2013,
2013,21,19/05/2013,25/05/2013,
2013,22,26/05/2013,01/06/2013,
2013,23,02/06/2013,08/06/2013,
2013,24,09/06/2013,15/06/2013,
2013,25,16/06/2013,22/06/2013,
2013,26,23/06/2013,29/06/2013,
2013,27,30/06/2013,06/07/2013,
2013,28,07/07/2013,13/07/2013,
2013,29,14/07/2013,20/07/2013,
2013,30,21/07/2013,27/07/2013,
2013,31,28/07/2013,03/08/2013,
2013,32,04/08/2013,10/08/2013,
2013,33,11/08/2013,17/08/2013,
2013,34,18/08/2013,24/08/2013,
2013,35,25/08/2013,31/08/2013,
2013,36,01/09/2013,07/09/2013,
2013,37,08/09/2013,14/09/2013,
2013,38,15/09/2013,21/09/2013,
2013,39,22/09/2013,28/09/2013,
2013,40,29/09/2013,05/10/2013,
2013,41,06/10/2013,12/10/2013,
2013,42,13/10/2013,19/10/2013,
2013,43,20/10/2013,26/10/2013,
2013,44,27/10/2013,02/11/2013,
2013,45,03/11/2013,09/11/2013,
2013,46,10/11/2013,16/11/2013,
2013,47,17/11/2013,23/11/2013,
2013,48,24/11/2013,30/11/2013,
2013,49,01/12/2013,07/12/2013,
2013,50,08/12/2013,14/12/2013,
2013,51,15/12/2013,21/12/2013,
2013,52,22/12/2013,28/12/2013,
2014,1,29/12/2013,4/1/2014,
2014,2,5/1/2014,11/1/2014,
2014,3,12/1/2014,18/1/2014,
2014,4,19/1/2014,25/1/2014,
2014,5,26/1/2014,1/2/2014,
2014,6,2/2/2014,8/2/2014,
2014,7,9/2/2014,15/2/2014,
2014,8,16/2/2014,22/2/2014,
2014,9,23/2/2014,1/3/2014,
2014,10,2/3/2014,8/3/2014,
2014,11,9/3/2014,15/3/2014,
2014,12,16/3/2014,22/3/2014,
2014,13,23/3/2014,29/3/2014,
2014,14,30/3/2014,5/4/2014,
2014,15,6/4/2014,12/4/2014,
2014,16,13/4/2014,19/4/2014,
2014,17,20/4/2014,26/4/2014,
2014,18,27/4/2014,3/5/2014,
2014,19,4/5/2014,10/5/2014,
2014,20,11/5/2014,17/5/2014,
2014,21,18/5/2014,24/5/2014,
2014,22,25/5/2014,31/5/2014,
2014,23,1/6/2014,7/6/2014,
2014,24,8/6/2014,14/6/2014,
2014,25,15/6/2014,21/6/2014,
2014,26,22/6/2014,28/6/2014,
2014,27,29/6/2014,5/7/2014,
2014,28,6/7/2014,12/7/2014,
2014,29,13/7/2014,19/7/2014,
2014,30,20/7/2014,26/7/2014,
2014,31,27/7/2014,2/8/2014,
2014,32,3/8/2014,9/8/2014,
2014,33,10/8/2014,16/8/2014,
2014,34,17/8/2014,23/8/2014,
2014,35,24/8/2014,30/8/2014,
2014,36,31/8/2014,6/9/2014,
2014,37,7/9/2014,13/9/2014,
2014,38,14/9/2014,20/9/2014,
2014,39,21/9/2014,27/9/2014,
2014,40,28/9/2014,4/10/2014,
2014,41,5/10/2014,11/10/2014,
2014,42,12/10/2014,18/10/2014,
2014,43,19/10/2014,25/10/2014,
2014,44,26/10/2014,1/11/2014,
2014,45,2/11/2014,8/11/2014,
2014,46,9/11/2014,15/11/2014,
2014,47,16/11/2014,22/11/2014,
2014,48,23/11/2014,29/11/2014,
2014,49,30/11/2014,6/12/2014,
2014,50,7/12/2014,13/12/2014,
2014,51,14/12/2014,20/12/2014
2014,52,21/12/2014,27/12/2014
2014,53,28/12/2014,3/1/2015
2015,1,04/01/2015,10/01/2015
2015,2,11/01/2015,17/01/2015
2015,3,18/01/2015,24/01/2015
2015,4,25/01/2015,31/01/2015
2015,5,01/02/2015,07/02/2015
2015,6,08/02/2015,14/02/2015
2015,7,15/02/2015,21/02/2015
2015,8,22/02/2015,28/02/2015
2015,9,01/03/2015,07/03/2015
2015,10,08/03/2015,14/03/2015
2015,11,15/03/2015,21/03/2015
2015,12,22/03/2015,28/03/2015
2015,13,29/03/2015,04/04/2015
2015,14,05/04/2015,11/04/2015
2015,15,12/04/2015,18/04/2015
2015,16,19/04/2015,25/04/2015
2015,17,26/04/2015,02/05/2015
2015,18,03/05/2015,09/05/2015
2015,19,10/05/2015,16/05/2015
2015,20,17/05/2015,23/05/2015
2015,21,24/05/2015,30/05/2015
2015,22,31/05/2015,06/06/2015
2015,23,07/06/2015,13/06/2015
2015,24,14/06/2015,20/06/2015
