BAIRRO,pop
CAJU,20477
GAMBOA,13108
SANTO CRISTO,12330
SAUDE,2749
CENTRO ,41142
CATUMBI,12556
CIDADE NOVA,5466
ESTACIO,17189
RIO COMPRIDO,43764
BENFICA,25081
MANGUEIRA,17835
IMPERIAL DE SAO CRISTOVAO ,26510
VASCO DA GAMA,15482
PAQUETA ,3361
SANTA TERESA,40926
BOTAFOGO,82890
CATETE,24057
COSME VELHO,7178
FLAMENGO,50043
GLORIA,9661
HUMAITA,13285
LARANJEIRAS,45554
URCA,7061
COPACABANA,146392
LEME,14799
GAVEA ,16003
IPANEMA,42743
JARDIM BOTANICO,18009
LAGOA,21198
LEBLON,46044
SAO CONRADO,10980
VIDIGAL,12797
ALTO DA BOA VISTA,9343
PRACA DA BANDEIRA,8662
TIJUCA,163805
ANDARAI,39365
GRAJAU,38671
MARACANA,25256
VILA ISABEL,86018
ROCINHA ,69356
BONSUCESSO,18711
MANGUINHOS,36160
OLARIA,57514
RAMOS,40792
BRAS DE PINA,59222
PENHA,78678
PENHA CIRCULAR,47816
DEL CASTILHO,15610
ENGENHO DA RAINHA,26659
HIGIENOPOLIS,15734
INHAUMA,45698
MARIA DA GRACA,7972
TOMAS COELHO,22676
ABOLICAO,11356
AGUA SANTA,8756
CACHAMBI ,42415
ENCANTADO,15021
ENGENHO DE DENTRO,45540
ENGENHO NOVO,42172
JACARE,9276
LINS DE VASCONCELOS,37487
MEIER,49828
PIEDADE,43378
PILARES,27250
RIACHUELO,12653
ROCHA,8766
SAMPAIO,10895
SAO FRANCISCO XAVIER,8343
TODOS OS SANTOS,24646
COLEGIO,29245
IRAJA,96382
VICENTE DE CARVALHO,24964
VILA COSMOS,18274
VILA DA PENHA,25465
VISTA ALEGRE,8622
BENTO RIBEIRO,43707
CAMPINHO,10156
CASCADURA,34456
CAVALCANTI,16141
ENGENHEIRO LEAL,6113
HONORIO GURGEL,21989
MADUREIRA,50106
MARECHAL HERMES,48061
OSWALDO CRUZ,34040
QUINTINO BOCAIUVA,31185
ROCHA MIRANDA,44188
TURIACU,17246
VAZ LOBO,15167
BANCARIOS,12512
CACUIA,11013
CIDADE UNIVERSITARIA,1556
COCOTA,4877
FREGUESIA,19437
GALEAO,22971
JARDIM CARIOCA,24848
JARDIM GUANABARA,32213
MONERO,6476
PITANGUEIRAS,11756
PORTUGUESA,23856
PRAIA DA BANDEIRA,5948
RIBEIRA,3528
TAUA,29567
ZUMBI,2016
ANCHIETA,55652
GUADALUPE,47144
PARQUE ANCHIETA,26212
RICARDO DE ALBUQUERQUE,29310
ACARI,27347
BARROS FILHO,14049
COELHO NETO,32423
COSTA BARROS,28442
PARQUE COLUMBIA,9202
PAVUNA,97350
JACAREZINHO ,37839
COMPLEXO DO ALEMAO,69143
MARE ,129770
CORDOVIL,45202
JARDIM AMERICA,25226
PARADA DE LUCAS,23923
VIGARIO GERAL,41820
ANIL,24172
CURICICA,31189
FREGUESIA,70511
GARDENIA AZUL,17715
JACAREPAGUA,157326
PECHINCHA,34709
PRACA SECA,64147
TANQUE,37856
TAQUARA,102126
VILA VALQUEIRE,32279
BARRA DA TIJUCA,135924
CAMORIM,1970
GRUMARI,167
ITANHANGA,38415
JOA,818
RECREIO DOS BANDEIRANTES,82240
VARGEM GRANDE,14039
VARGEM PEQUENA,27250
CIDADE DE DEUS,36515
BANGU,243125
GERICINO ,15167
PADRE MIGUEL,64228
SENADOR CAMARA,105515
CAMPO GRANDE,328370
COSMOS,77007
INHOAIBA,64649
SANTISSIMO,41458
SENADOR VASCONCELOS,30600
PACIENCIA,94626
SANTA CRUZ,217333
SEPETIBA,56575
BARRA DE GUARATIBA,3577
GUARATIBA,110049
PEDRA DE GUARATIBA,9488
CAMPO DOS AFONSOS,1365
DEODORO,10842
JARDIM SULACAP,13062
MAGALHAES BASTOS,24430
REALENGO,180123
VILA MILITAR,13184
