"","estacao_id","latitude","longitude","nome","data_dia","temp_min","umid_max"
"1","SBPN",10.72,-48.38,"PORTO NACIONAL (AEROPORTO)",2018-01-04,NA,NA
"2","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2018-10-26,25,88.6796
"3","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2019-03-15,24,100
"4","SBTE",-5.03,-42.82,"TERESINA (AER. PETRONIO PORTELA)",2019-06-26,22,94.0625
"5","SBMA",-5.37,-49.13,"MARABA",2019-07-20,22,94.1058
"6","SBMA",-5.37,-49.13,"MARABA",2019-12-09,25,100
"7","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-05-26,23,100
"8","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-08-25,20,88.3537
"9","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-11-28,26,88.8375
"10","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2018-01-05,24,94.1486
"11","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2018-05-28,31,52.0129
"12","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2018-10-26,24,69.1632
"13","SBTE",-5.03,-42.82,"TERESINA (AER. PETRONIO PORTELA)",2019-03-28,24,100
"14","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2019-04-30,28,88.9153
"15","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2019-06-06,24,78.3541
"16","SBTE",-5.03,-42.82,"TERESINA (AER. PETRONIO PORTELA)",2019-06-25,23,94.1058
"17","SBMA",-5.37,-49.13,"MARABA",2019-07-19,21,100
"18","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2019-10-22,24,94.1486
"19","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-02-06,24,94.191
"20","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-31,28,88.9153
"21","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-30,24,94.1486
"22","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-29,26,83.5653
"23","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-28,27,83.677
"24","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-27,23,100
"25","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-24,26,88.7589
"26","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-23,25,94.2329
"27","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-22,30,66.18
"28","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-21,31,70.4758
"29","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-20,28,69.9228
"30","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-17,31,70.4758
"31","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-16,32,62.7144
"32","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-15,29,79.0585
"33","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-14,30,66.18
"34","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-13,29,79.0585
"35","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-10,27,88.8375
"36","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2018-09-10,23,78.2092
"37","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2019-06-07,21,94.0188
"38","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2019-10-21,24,83.3388
"39","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-11-07,24,94.1486
"40","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-11-15,25,88.6796
"41","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2019-12-13,30,74.789
"42","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-09,26,94.2329
"43","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-07,25,88.6796
"44","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-06,25,88.6796
"45","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-03,25,94.191
"46","SBAA",-8.35,-49.3,"CONCEICAO DO ARAGUAIA",2020-01-02,27,83.677
"47","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2020-02-27,23,94.1058
"48","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2020-02-26,22,94.0625
"49","SBTE",-5.03,-42.82,"TERESINA (AER. PETRONIO PORTELA)",2020-03-10,23,94.191
"50","SBMA",-5.37,-49.13,"MARABA",2018-10-27,25,100
"51","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2019-04-13,23,88.6796
"52","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-11-06,25,88.6796
"53","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2018-01-04,24,88.5993
"54","SBTE",-5.03,-42.82,"TERESINA (AER. PETRONIO PORTELA)",2018-07-14,22,88.5993
"55","SBIZ",-5.52,-47.45,"IMPERATRIZ",2018-11-26,26,94.2329
"56","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-09-01,22,94.0625
"57","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-09-02,22,88.4364
"58","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-11-05,25,83.5653
