"";"Município";"Código";"ICAO"
"1";"ACRELÂNDIA";1200013;"SBRB"
"2";"ACRELÂNDIA";1200013;"SBGM"
"3";"ASSIS BRASIL";1200054;"SBRB"
"4";"ASSIS BRASIL";1200054;"SBTK"
"5";"BRASILÉIA";1200104;"SBRB"
"6";"BRASILÉIA";1200104;"SBTK"
"7";"BUJARI";1200138;"SBRB"
"8";"BUJARI";1200138;"SBTK"
"9";"CAPIXABA";1200179;"SBRB"
"10";"CAPIXABA";1200179;"SBGM"
"11";"CRUZEIRO DO SUL";1200203;"SBCZ"
"12";"CRUZEIRO DO SUL";1200203;"SBTK"
"13";"EPITACIOLÂNDIA";1200252;"SBRB"
"14";"EPITACIOLÂNDIA";1200252;"SBGM"
"15";"FEIJÓ";1200302;"SBCZ"
"16";"FEIJÓ";1200302;"SBTK"
"17";"JORDÃO";1200328;"SBCZ"
"18";"JORDÃO";1200328;"SBTK"
"19";"MÂNCIO LIMA";1200336;"SBCZ"
"20";"MÂNCIO LIMA";1200336;"SBTK"
"21";"MANOEL URBANO";1200344;"SBRB"
"22";"MANOEL URBANO";1200344;"SBTK"
"23";"MARECHAL THAUMATURGO";1200351;"SBCZ"
"24";"MARECHAL THAUMATURGO";1200351;"SBTK"
"25";"PLÁCIDO DE CASTRO";1200385;"SBRB"
"26";"PLÁCIDO DE CASTRO";1200385;"SBGM"
"27";"PORTO ACRE";1200807;"SBRB"
"28";"PORTO ACRE";1200807;"SBGM"
"29";"PORTO WALTER";1200393;"SBCZ"
"30";"PORTO WALTER";1200393;"SBTK"
"31";"RIO BRANCO";1200401;"SBRB"
"32";"RIO BRANCO";1200401;"SBTK"
"33";"RODRIGUES ALVES";1200427;"SBCZ"
"34";"RODRIGUES ALVES";1200427;"SBTK"
"35";"SANTA ROSA DO PURUS";1200435;"SBRB"
"36";"SANTA ROSA DO PURUS";1200435;"SBTK"
"37";"SENA MADUREIRA";1200500;"SBRB"
"38";"SENA MADUREIRA";1200500;"SBTK"
"39";"SENADOR GUIOMARD";1200450;"SBRB"
"40";"SENADOR GUIOMARD";1200450;"SBGM"
"41";"TARAUACÁ";1200609;"SBCZ"
"42";"TARAUACÁ";1200609;"SBTK"
"43";"XAPURI";1200708;"SBRB"
"44";"XAPURI";1200708;"SBGM"
