"";"Município";"Código";"ICAO"
"1";"ÁGUA BRANCA";2700102;"SBMO"
"2";"ÁGUA BRANCA";2700102;"SBAR"
"3";"ANADIA";2700201;"SBMO"
"4";"ANADIA";2700201;"SBAR"
"5";"ARAPIRACA";2700300;"SBMO"
"6";"ARAPIRACA";2700300;"SBAR"
"7";"ATALAIA";2700409;"SBMO"
"8";"ATALAIA";2700409;"SBAR"
"9";"BARRA DE SANTO ANTÔNIO";2700508;"SBMO"
"10";"BARRA DE SANTO ANTÔNIO";2700508;"SBRF"
"11";"BARRA DE SÃO MIGUEL";2700607;"SBMO"
"12";"BARRA DE SÃO MIGUEL";2700607;"SBAR"
"13";"BATALHA";2700706;"SBMO"
"14";"BATALHA";2700706;"SBAR"
"15";"BELÉM";2700805;"SBMO"
"16";"BELÉM";2700805;"SBAR"
"17";"BELO MONTE";2700904;"SBMO"
"18";"BELO MONTE";2700904;"SBAR"
"19";"BOCA DA MATA";2701001;"SBMO"
"20";"BOCA DA MATA";2701001;"SBAR"
"21";"BRANQUINHA";2701100;"SBMO"
"22";"BRANQUINHA";2701100;"SBRF"
"23";"CACIMBINHAS";2701209;"SBMO"
"24";"CACIMBINHAS";2701209;"SBUF"
"25";"CAJUEIRO";2701308;"SBMO"
"26";"CAJUEIRO";2701308;"SBRF"
"27";"CAMPESTRE";2701357;"SBMO"
"28";"CAMPESTRE";2701357;"SBRF"
"29";"CAMPO ALEGRE";2701407;"SBMO"
"30";"CAMPO ALEGRE";2701407;"SBAR"
"31";"CAMPO GRANDE";2701506;"SBMO"
"32";"CAMPO GRANDE";2701506;"SBAR"
"33";"CANAPI";2701605;"SBMO"
"34";"CANAPI";2701605;"SBUF"
"35";"CAPELA";2701704;"SBMO"
"36";"CAPELA";2701704;"SBRF"
"37";"CARNEIROS";2701803;"SBMO"
"38";"CARNEIROS";2701803;"SBAR"
"39";"CHÃ PRETA";2701902;"SBMO"
"40";"CHÃ PRETA";2701902;"SBRF"
"41";"COITÉ DO NÓIA";2702009;"SBMO"
"42";"COITÉ DO NÓIA";2702009;"SBAR"
"43";"COLÔNIA LEOPOLDINA";2702108;"SBMO"
"44";"COLÔNIA LEOPOLDINA";2702108;"SBRF"
"45";"COQUEIRO SECO";2702207;"SBMO"
"46";"COQUEIRO SECO";2702207;"SBRF"
"47";"CORURIPE";2702306;"SBMO"
"48";"CORURIPE";2702306;"SBAR"
"49";"CRAÍBAS";2702355;"SBMO"
"50";"CRAÍBAS";2702355;"SBAR"
"51";"DELMIRO GOUVEIA";2702405;"SBMO"
"52";"DELMIRO GOUVEIA";2702405;"SBAR"
"53";"DOIS RIACHOS";2702504;"SBMO"
"54";"DOIS RIACHOS";2702504;"SBUF"
"55";"ESTRELA DE ALAGOAS";2702553;"SBMO"
"56";"ESTRELA DE ALAGOAS";2702553;"SBUF"
"57";"FEIRA GRANDE";2702603;"SBMO"
"58";"FEIRA GRANDE";2702603;"SBAR"
"59";"FELIZ DESERTO";2702702;"SBMO"
"60";"FELIZ DESERTO";2702702;"SBAR"
"61";"FLEXEIRAS";2702801;"SBMO"
"62";"FLEXEIRAS";2702801;"SBRF"
"63";"GIRAU DO PONCIANO";2702900;"SBMO"
"64";"GIRAU DO PONCIANO";2702900;"SBAR"
"65";"IBATEGUARA";2703007;"SBMO"
"66";"IBATEGUARA";2703007;"SBRF"
"67";"IGACI";2703106;"SBMO"
"68";"IGACI";2703106;"SBAR"
"69";"IGREJA NOVA";2703205;"SBMO"
"70";"IGREJA NOVA";2703205;"SBAR"
"71";"INHAPI";2703304;"SBMO"
"72";"INHAPI";2703304;"SBAR"
"73";"JACARÉ DOS HOMENS";2703403;"SBMO"
"74";"JACARÉ DOS HOMENS";2703403;"SBAR"
"75";"JACUÍPE";2703502;"SBMO"
"76";"JACUÍPE";2703502;"SBRF"
"77";"JAPARATINGA";2703601;"SBMO"
"78";"JAPARATINGA";2703601;"SBRF"
"79";"JARAMATAIA";2703700;"SBMO"
"80";"JARAMATAIA";2703700;"SBUF"
"81";"JEQUIÁ DA PRAIA";2703759;"SBMO"
"82";"JEQUIÁ DA PRAIA";2703759;"SBAR"
"83";"JOAQUIM GOMES";2703809;"SBMO"
"84";"JOAQUIM GOMES";2703809;"SBRF"
"85";"JUNDIÁ";2703908;"SBMO"
"86";"JUNDIÁ";2703908;"SBRF"
"87";"JUNQUEIRO";2704005;"SBMO"
"88";"JUNQUEIRO";2704005;"SBAR"
