"";"Município";"Código";"ICAO"
"1";"ALVARÃES";1300029;"SBTF"
"2";"ALVARÃES";1300029;"SBUY"
"3";"AMATURÁ";1300060;"SBTT"
"4";"AMATURÁ";1300060;"SBBC"
"5";"ANAMÃ";1300086;"SBMN"
"6";"ANAMÃ";1300086;"SBMY"
"7";"ANORI";1300102;"SBMN"
"8";"ANORI";1300102;"SBMY"
"9";"APUÍ";1300144;"SBAT"
"10";"APUÍ";1300144;"SBMY"
"11";"ATALAIA DO NORTE";1300201;"SBCZ"
"12";"ATALAIA DO NORTE";1300201;"SBER"
"13";"AUTAZES";1300300;"SBMN"
"14";"AUTAZES";1300300;"SBEG"
"15";"BARCELOS";1300409;"SBTF"
"16";"BARCELOS";1300409;"SBUA"
"17";"BARREIRINHA";1300508;"SBTS"
"18";"BARREIRINHA";1300508;"SBIC"
"19";"BENJAMIN CONSTANT";1300607;"SBTT"
"20";"BENJAMIN CONSTANT";1300607;"SBER"
"21";"BERURI";1300631;"SBMN"
"22";"BERURI";1300631;"SBMY"
"23";"BOA VISTA DO RAMOS";1300680;"SBTS"
"24";"BOA VISTA DO RAMOS";1300680;"SBIC"
"25";"BOCA DO ACRE";1300706;"SBRB"
"26";"BOCA DO ACRE";1300706;"SBTK"
"27";"BORBA";1300805;"SBMN"
"28";"BORBA";1300805;"SBMY"
"29";"CAAPIRANGA";1300839;"SBMN"
"30";"CAAPIRANGA";1300839;"SBEG"
"31";"CANUTAMA";1300904;"SBPV"
"32";"CANUTAMA";1300904;"SBUY"
"33";"CARAUARI";1301001;"SBTT"
"34";"CARAUARI";1301001;"SBUY"
"35";"CAREIRO";1301100;"SBMN"
"36";"CAREIRO";1301100;"SBEG"
"37";"CAREIRO DA VÁRZEA";1301159;"SBMN"
"38";"CAREIRO DA VÁRZEA";1301159;"SBEG"
"39";"COARI";1301209;"SBTF"
"40";"COARI";1301209;"SBUY"
"41";"CODAJÁS";1301308;"SBTF"
"42";"CODAJÁS";1301308;"SBUY"
"43";"EIRUNEPÉ";1301407;"SBCZ"
"44";"EIRUNEPÉ";1301407;"SBTK"
"45";"ENVIRA";1301506;"SBCZ"
"46";"ENVIRA";1301506;"SBTK"
"47";"FONTE BOA";1301605;"SBTF"
"48";"FONTE BOA";1301605;"SBUA"
"49";"GUAJARÁ";1301654;"SBCZ"
"50";"GUAJARÁ";1301654;"SBTK"
"51";"HUMAITÁ";1301704;"SBPV"
"52";"HUMAITÁ";1301704;"SBMY"
"53";"IPIXUNA";1301803;"SBCZ"
"54";"IPIXUNA";1301803;"SBTK"
"55";"IRANDUBA";1301852;"SBMN"
"56";"IRANDUBA";1301852;"SBEG"
"57";"ITACOATIARA";1301902;"SBMN"
"58";"ITACOATIARA";1301902;"SBEG"
"59";"ITAMARATI";1301951;"SBER"
"60";"ITAPIRANGA";1302009;"SBMN"
"61";"ITAPIRANGA";1302009;"SBEG"
"62";"JAPURÁ";1302108;"SBTT"
"63";"JAPURÁ";1302108;"SBUA"
"64";"JURUÁ";1302207;"SBTF"
"65";"JURUÁ";1302207;"SBUY"
"66";"JUTAÍ";1302306;"SBTT"
"67";"JUTAÍ";1302306;"SBBC"
"68";"LÁBREA";1302405;"SBPV"
"69";"MANACAPURU";1302504;"SBMN"
"70";"MANACAPURU";1302504;"SBEG"
"71";"MANAQUIRI";1302553;"SBMN"
"72";"MANAQUIRI";1302553;"SBMY"
"73";"MANAUS";1302603;"SBMN"
"74";"MANAUS";1302603;"SBEG"
"75";"MANICORÉ";1302702;"SBPV"
"76";"MANICORÉ";1302702;"SBMY"
"77";"MARAÃ";1302801;"SBTF"
"78";"MARAÃ";1302801;"SBUY"
"79";"MAUÉS";1302900;"SBEK"
"80";"MAUÉS";1302900;"SBIH"
"81";"NHAMUNDÁ";1303007;"SBTB"
"82";"NHAMUNDÁ";1303007;"SBIC"
"83";"NOVA OLINDA DO NORTE";1303106;"SBMN"
"84";"NOVA OLINDA DO NORTE";1303106;"SBEG"
"85";"NOVO AIRÃO";1303205;"SBMN"
"86";"NOVO AIRÃO";1303205;"SBEG"
"87";"NOVO ARIPUANÃ";1303304;"SBMN"
"88";"NOVO ARIPUANÃ";1303304;"SBMY"
"89";"PARINTINS";1303403;"SBTS"
"90";"PARINTINS";1303403;"SBTB"
"91";"PAUINI";1303502;"SBRB"
"92";"PAUINI";1303502;"SBER"
"93";"PRESIDENTE FIGUEIREDO";1303536;"SBMN"
"94";"PRESIDENTE FIGUEIREDO";1303536;"SBEG"
"95";"RIO PRETO DA EVA";1303569;"SBMN"
"96";"RIO PRETO DA EVA";1303569;"SBEG"
"97";"SANTA ISABEL DO RIO NEGRO";1303601;"SBTF"
"98";"SANTA ISABEL DO RIO NEGRO";1303601;"SBUA"
"99";"SANTO ANTÔNIO DO IÇÁ";1303700;"SBTT"
"100";"SANTO ANTÔNIO DO IÇÁ";1303700;"SBBC"
"101";"SÃO GABRIEL DA CACHOEIRA";1303809;"SBTF"
"102";"SÃO GABRIEL DA CACHOEIRA";1303809;"SBUA"
"103";"SÃO PAULO DE OLIVENÇA";1303908;"SBTT"
"104";"SÃO PAULO DE OLIVENÇA";1303908;"SBER"
"105";"SÃO SEBASTIÃO DO UATUMÃ";1303957;"SBMN"
"106";"SÃO SEBASTIÃO DO UATUMÃ";1303957;"SBEG"
"107";"SILVES";1304005;"SBMN"
"108";"SILVES";1304005;"SBEG"
"109";"TABATINGA";1304062;"SBTT"
"110";"TABATINGA";1304062;"SBER"
"111";"TAPAUÁ";1304104;"SBUY"
"112";"TEFÉ";1304203;"SBTF"
"113";"TEFÉ";1304203;"SBUY"
"114";"TONANTINS";1304237;"SBTT"
"115";"TONANTINS";1304237;"SBUA"
"116";"UARINI";1304260;"SBTF"
"117";"UARINI";1304260;"SBUY"
"118";"URUCARÁ";1304302;"SBMN"
"119";"URUCARÁ";1304302;"SBEG"
"120";"URUCURITUBA";1304401;"SBTB"
"121";"URUCURITUBA";1304401;"SBIC"
