"";"Município";"Código";"ICAO"
"1";"AMAPÁ";1600105;"SBMQ"
"2";"AMAPÁ";1600105;"SBOI"
"3";"CALÇOENE";1600204;"SBMQ"
"4";"CALÇOENE";1600204;"SBOI"
"5";"CUTIAS";1600212;"SBMQ"
"6";"CUTIAS";1600212;"SBMD"
"7";"FERREIRA GOMES";1600238;"SBMQ"
"8";"FERREIRA GOMES";1600238;"SBMD"
"9";"ITAUBAL";1600253;"SBMQ"
"10";"ITAUBAL";1600253;"SBMD"
"11";"LARANJAL DO JARI";1600279;"SBMQ"
"12";"LARANJAL DO JARI";1600279;"SBMD"
"13";"MACAPÁ";1600303;"SBMQ"
"14";"MACAPÁ";1600303;"SBMD"
"15";"MAZAGÃO";1600402;"SBMQ"
"16";"MAZAGÃO";1600402;"SBMD"
"17";"OIAPOQUE";1600501;"SBMQ"
"18";"OIAPOQUE";1600501;"SBOI"
"19";"PEDRA BRANCA DO AMAPARI";1600154;"SBMQ"
"20";"PEDRA BRANCA DO AMAPARI";1600154;"SBMD"
"21";"PORTO GRANDE";1600535;"SBMQ"
"22";"PORTO GRANDE";1600535;"SBMD"
"23";"PRACUÚBA";1600550;"SBMQ"
"24";"PRACUÚBA";1600550;"SBOI"
"25";"SANTANA";1600600;"SBMQ"
"26";"SANTANA";1600600;"SBMD"
"27";"SERRA DO NAVIO";1600055;"SBMQ"
"28";"SERRA DO NAVIO";1600055;"SBOI"
"29";"TARTARUGALZINHO";1600709;"SBMQ"
"30";"TARTARUGALZINHO";1600709;"SBOI"
"31";"VITÓRIA DO JARI";1600808;"SBMQ"
"32";"VITÓRIA DO JARI";1600808;"SBMD"
