"";"Município";"Código";"ICAO"
"1";"ABAÍRA";2900108;"SBLE"
"2";"ABAÍRA";2900108;"SBQV"
"3";"ABARÉ";2900207;"SBPL"
"4";"ABARÉ";2900207;"SBJU"
"5";"ACAJUTIBA";2900306;"SBSV"
"6";"ACAJUTIBA";2900306;"SBAR"
"7";"ADUSTINA";2900355;"SBSV"
"8";"ADUSTINA";2900355;"SBAR"
"9";"ÁGUA FRIA";2900405;"SBSV"
"10";"ÁGUA FRIA";2900405;"SBAR"
"11";"AIQUARA";2900603;"SBIL"
"12";"AIQUARA";2900603;"SBTC"
"13";"ALAGOINHAS";2900702;"SBSV"
"14";"ALAGOINHAS";2900702;"SBAR"
"15";"ALCOBAÇA";2900801;"SBPS"
"16";"ALCOBAÇA";2900801;"SBTC"
"17";"ALMADINA";2900900;"SBIL"
"18";"ALMADINA";2900900;"SBTC"
"19";"AMARGOSA";2901007;"SBSV"
"20";"AMARGOSA";2901007;"SBIL"
"21";"AMÉLIA RODRIGUES";2901106;"SBSV"
"22";"AMÉLIA RODRIGUES";2901106;"SBIL"
"23";"AMÉRICA DOURADA";2901155;"SBPL"
"24";"AMÉRICA DOURADA";2901155;"SBLE"
"25";"ANAGÉ";2901205;"SBIL"
"26";"ANAGÉ";2901205;"SBTC"
"27";"ANDARAÍ";2901304;"SBLE"
"28";"ANDARAÍ";2901304;"SBQV"
"29";"ANDORINHA";2901353;"SBPL"
"30";"ANDORINHA";2901353;"SBUF"
"31";"ANGICAL";2901403;"SBLE"
"32";"ANGICAL";2901403;"SBLP"
"33";"ANGUERA";2901502;"SBSV"
"34";"ANGUERA";2901502;"SBAR"
"35";"ANTAS";2901601;"SBPL"
"36";"ANTAS";2901601;"SBAR"
"37";"ANTÔNIO CARDOSO";2901700;"SBSV"
"38";"ANTÔNIO CARDOSO";2901700;"SBIL"
"39";"ANTÔNIO GONÇALVES";2901809;"SBPL"
"40";"ANTÔNIO GONÇALVES";2901809;"SBUF"
"41";"APORÁ";2901908;"SBSV"
"42";"APORÁ";2901908;"SBAR"
"43";"APUAREMA";2901957;"SBIL"
"44";"APUAREMA";2901957;"SBTC"
"45";"ARAÇAS";2902054;"SBSV"
"46";"ARAÇAS";2902054;"SBAR"
"47";"ARACATU";2902005;"SBLE"
"48";"ARACATU";2902005;"SBQV"
"49";"ARACI";2902104;"SBSV"
"50";"ARACI";2902104;"SBAR"
"51";"ARAMARI";2902203;"SBSV"
"52";"ARAMARI";2902203;"SBAR"
"53";"ARATACA";2902252;"SBIL"
"54";"ARATACA";2902252;"SBPS"
"55";"ARATUÍPE";2902302;"SBSV"
"56";"ARATUÍPE";2902302;"SBIL"
"57";"AURELINO LEAL";2902401;"SBIL"
"58";"AURELINO LEAL";2902401;"SBTC"
"59";"BAIANÓPOLIS";2902500;"SBLE"
"60";"BAIANÓPOLIS";2902500;"SBLP"
"61";"BAIXA GRANDE";2902609;"SBPL"
"62";"BAIXA GRANDE";2902609;"SBSV"
"63";"BANZAÊ";2902658;"SBPL"
"64";"BANZAÊ";2902658;"SBAR"
"65";"BARRA";2902708;"SBPL"
"66";"BARRA";2902708;"SBLE"
"67";"BARRA DA ESTIVA";2902807;"SBLE"
"68";"BARRA DA ESTIVA";2902807;"SBQV"
"69";"BARRA DO CHOÇA";2902906;"SBIL"
"70";"BARRA DO CHOÇA";2902906;"SBTC"
"71";"BARRA DO MENDES";2903003;"SBPL"
"72";"BARRA DO MENDES";2903003;"SBLE"
"73";"BARRA DO ROCHA";2903102;"SBIL"
"74";"BARRA DO ROCHA";2903102;"SBTC"
"75";"BARREIRAS";2903201;"SBLP"
"76";"BARREIRAS";2903201;"SBPN"
"77";"BARRO ALTO";2903235;"SBPL"
"78";"BARRO ALTO";2903235;"SBLE"
"79";"BARRO PRETO";2903300;"SBIL"
"80";"BARRO PRETO";2903300;"SBTC"
"81";"BARROCAS";2903276;"SBSV"
"82";"BARROCAS";2903276;"SBAR"
"83";"BELMONTE";2903409;"SBIL"
"84";"BELMONTE";2903409;"SBPS"
"85";"BELO CAMPO";2903508;"SBIL"
"86";"BELO CAMPO";2903508;"SBTC"
"87";"BIRITINGA";2903607;"SBSV"
"88";"BIRITINGA";2903607;"SBAR"
"89";"BOA NOVA";2903706;"SBIL"
"90";"BOA NOVA";2903706;"SBTC"
"91";"BOA VISTA DO TUPIM";2903805;"SBSV"
"92";"BOA VISTA DO TUPIM";2903805;"SBLE"
"93";"BOM JESUS DA LAPA";2903904;"SBLE"
"94";"BOM JESUS DA LAPA";2903904;"SBQV"
"95";"BOM JESUS DA SERRA";2903953;"SBIL"
"96";"BOM JESUS DA SERRA";2903953;"SBTC"
"97";"BONINAL";2904001;"SBLE"
"98";"BONINAL";2904001;"SBQV"
"99";"BONITO";2904050;"SBPL"
"100";"BONITO";2904050;"SBLE"
"101";"BOQUIRA";2904100;"SBLE"
"102";"BOQUIRA";2904100;"SBQV"
"103";"BOTUPORÃ";2904209;"SBLE"
"104";"BOTUPORÃ";2904209;"SBQV"
"105";"BREJÕES";2904308;"SBIL"
"106";"BREJÕES";2904308;"SBLE"
"107";"BREJOLÂNDIA";2904407;"SBLE"
"108";"BREJOLÂNDIA";2904407;"SBQV"
"109";"BROTAS DE MACAÚBAS";2904506;"SBLE"
"110";"BROTAS DE MACAÚBAS";2904506;"SBQV"
"111";"BRUMADO";2904605;"SBLE"
"112";"BRUMADO";2904605;"SBQV"
"113";"BUERAREMA";2904704;"SBIL"
"114";"BUERAREMA";2904704;"SBPS"
"115";"BURITIRAMA";2904753;"SBPL"
"116";"BURITIRAMA";2904753;"SBLE"
"117";"CAATIBA";2904803;"SBIL"
"118";"CAATIBA";2904803;"SBTC"
"119";"CABACEIRAS DO PARAGUAÇU";2904852;"SBSV"
"120";"CABACEIRAS DO PARAGUAÇU";2904852;"SBIL"
"121";"CACHOEIRA";2904902;"SBSV"
"122";"CACHOEIRA";2904902;"SBIL"
"123";"CACULÉ";2905008;"SBLE"
"124";"CACULÉ";2905008;"SBQV"
"125";"CAÉM";2905107;"SBPL"
"126";"CAÉM";2905107;"SBSV"
"127";"CAETANOS";2905156;"SBIL"
"128";"CAETANOS";2905156;"SBLE"
"129";"CAETITÉ";2905206;"SBLE"
"130";"CAETITÉ";2905206;"SBQV"
"131";"CAFARNAUM";2905305;"SBPL"
"132";"CAFARNAUM";2905305;"SBLE"
"133";"CAIRU";2905404;"SBSV"
"134";"CAIRU";2905404;"SBIL"
"135";"CALDEIRÃO GRANDE";2905503;"SBPL"
"136";"CALDEIRÃO GRANDE";2905503;"SBUF"
"137";"CAMACAN";2905602;"SBIL"
"138";"CAMACAN";2905602;"SBPS"
"139";"CAMAÇARI";2905701;"SBSV"
"140";"CAMAÇARI";2905701;"SBIL"
"141";"CAMAMU";2905800;"SBSV"
"142";"CAMAMU";2905800;"SBIL"
"143";"CAMPO ALEGRE DE LOURDES";2905909;"SBPL"
"144";"CAMPO ALEGRE DE LOURDES";2905909;"SBLE"
"145";"CAMPO FORMOSO";2906006;"SBPL"
"146";"CAMPO FORMOSO";2906006;"SBUF"
"147";"CANÁPOLIS";2906105;"SBMK"
"148";"CANÁPOLIS";2906105;"SBLE"
"149";"CANARANA";2906204;"SBPL"
"150";"CANARANA";2906204;"SBLE"
"151";"CANAVIEIRAS";2906303;"SBIL"
"152";"CANAVIEIRAS";2906303;"SBPS"
"153";"CANDEAL";2906402;"SBSV"
"154";"CANDEAL";2906402;"SBAR"
"155";"CANDEIAS";2906501;"SBSV"
"156";"CANDEIAS";2906501;"SBAR"
"157";"CANDIBA";2906600;"SBLE"
"158";"CANDIBA";2906600;"SBQV"
"159";"CÂNDIDO SALES";2906709;"SBIL"
"160";"CÂNDIDO SALES";2906709;"SBTC"
"161";"CANSANÇÃO";2906808;"SBPL"
"162";"CANSANÇÃO";2906808;"SBAR"
"163";"CANUDOS";2906824;"SBPL"
"164";"CANUDOS";2906824;"SBAR"
"165";"CAPELA DO ALTO ALEGRE";2906857;"SBPL"
"166";"CAPELA DO ALTO ALEGRE";2906857;"SBSV"
"167";"CAPIM GROSSO";2906873;"SBPL"
"168";"CAPIM GROSSO";2906873;"SBSV"
"169";"CARAÍBAS";2906899;"SBIL"
"170";"CARAÍBAS";2906899;"SBLE"
"171";"CARAVELAS";2906907;"SBPS"
"172";"CARAVELAS";2906907;"SBTC"
"173";"CARDEAL DA SILVA";2907004;"SBSV"
"174";"CARDEAL DA SILVA";2907004;"SBAR"
"175";"CARINHANHA";2907103;"SBMK"
"176";"CARINHANHA";2907103;"SBLE"
"177";"CASA NOVA";2907202;"SBPL"
"178";"CASA NOVA";2907202;"SBJU"
"179";"CASTRO ALVES";2907301;"SBSV"
"180";"CASTRO ALVES";2907301;"SBIL"
"181";"CATOLÂNDIA";2907400;"SBLE"
"182";"CATOLÂNDIA";2907400;"SBLP"
"183";"CATU";2907509;"SBSV"
"184";"CATU";2907509;"SBIL"
"185";"CATURAMA";2907558;"SBLE"
"186";"CATURAMA";2907558;"SBQV"
"187";"CENTRAL";2907608;"SBPL"
"188";"CENTRAL";2907608;"SBLE"
"189";"CHORROCHÓ";2907707;"SBPL"
"190";"CHORROCHÓ";2907707;"SBJU"
"191";"CÍCERO DANTAS";2907806;"SBPL"
"192";"CÍCERO DANTAS";2907806;"SBAR"
"193";"CIPÓ";2907905;"SBSV"
"194";"CIPÓ";2907905;"SBAR"
"195";"COARACI";2908002;"SBIL"
"196";"COARACI";2908002;"SBTC"
"197";"COCOS";2908101;"SBMK"
"198";"COCOS";2908101;"SBBR"
"199";"CONCEIÇÃO DA FEIRA";2908200;"SBSV"
"200";"CONCEIÇÃO DA FEIRA";2908200;"SBIL"
"201";"CONCEIÇÃO DO ALMEIDA";2908309;"SBSV"
"202";"CONCEIÇÃO DO ALMEIDA";2908309;"SBIL"
"203";"CONCEIÇÃO DO COITÉ";2908408;"SBSV"
"204";"CONCEIÇÃO DO COITÉ";2908408;"SBAR"
"205";"CONCEIÇÃO DO JACUÍPE";2908507;"SBSV"
"206";"CONCEIÇÃO DO JACUÍPE";2908507;"SBIL"
"207";"CONDE";2908606;"SBSV"
"208";"CONDE";2908606;"SBAR"
"209";"CONDEÚBA";2908705;"SBMK"
"210";"CONDEÚBA";2908705;"SBQV"
"211";"CONTENDAS DO SINCORÁ";2908804;"SBIL"
"212";"CONTENDAS DO SINCORÁ";2908804;"SBLE"
"213";"CORAÇÃO DE MARIA";2908903;"SBSV"
"214";"CORAÇÃO DE MARIA";2908903;"SBAR"
"215";"CORDEIROS";2909000;"SBLE"
"216";"CORDEIROS";2909000;"SBQV"
"217";"CORIBE";2909109;"SBMK"
"218";"CORIBE";2909109;"SBLE"
"219";"CORONEL JOÃO SÁ";2909208;"SBMO"
"220";"CORONEL JOÃO SÁ";2909208;"SBAR"
"221";"CORRENTINA";2909307;"SBBR"
"222";"CORRENTINA";2909307;"SBLP"
"223";"COTEGIPE";2909406;"SBLE"
"224";"COTEGIPE";2909406;"SBLP"
"225";"CRAVOLÂNDIA";2909505;"SBIL"
"226";"CRAVOLÂNDIA";2909505;"SBTC"
"227";"CRISÓPOLIS";2909604;"SBSV"
"228";"CRISÓPOLIS";2909604;"SBAR"
"229";"CRISTÓPOLIS";2909703;"SBLE"
"230";"CRISTÓPOLIS";2909703;"SBLP"
"231";"CRUZ DAS ALMAS";2909802;"SBSV"
"232";"CRUZ DAS ALMAS";2909802;"SBAR"
"233";"CURAÇÁ";2909901;"SBPL"
"234";"CURAÇÁ";2909901;"SBJU"
"235";"DÁRIO MEIRA";2910008;"SBIL"
"236";"DÁRIO MEIRA";2910008;"SBLE"
"237";"DIAS D'ÁVILA";2910057;"SBSV"
"238";"DIAS D'ÁVILA";2910057;"SBIL"
"239";"DOM BASÍLIO";2910107;"SBLE"
"240";"DOM BASÍLIO";2910107;"SBQV"
"241";"DOM MACEDO COSTA";2910206;"SBSV"
"242";"DOM MACEDO COSTA";2910206;"SBIL"
"243";"ELÍSIO MEDRADO";2910305;"SBSV"
"244";"ELÍSIO MEDRADO";2910305;"SBIL"
"245";"ENCRUZILHADA";2910404;"SBPS"
"246";"ENCRUZILHADA";2910404;"SBTC"
"247";"ENTRE RIOS";2910503;"SBSV"
"248";"ENTRE RIOS";2910503;"SBAR"
"249";"ÉRICO CARDOSO";2900504;"SBLE"
"250";"ÉRICO CARDOSO";2900504;"SBQV"
"251";"ESPLANADA";2910602;"SBSV"
"252";"ESPLANADA";2910602;"SBAR"
"253";"EUCLIDES DA CUNHA";2910701;"SBPL"
"254";"EUCLIDES DA CUNHA";2910701;"SBAR"
"255";"EUNÁPOLIS";2910727;"SBPS"
"256";"EUNÁPOLIS";2910727;"SBTC"
"257";"FÁTIMA";2910750;"SBSV"
"258";"FÁTIMA";2910750;"SBAR"
"259";"FEIRA DA MATA";2910776;"SBMK"
"260";"FEIRA DA MATA";2910776;"SBLE"
"261";"FEIRA DE SANTANA";2910800;"SBSV"
"262";"FEIRA DE SANTANA";2910800;"SBAR"
"263";"FILADÉLFIA";2910859;"SBPL"
"264";"FILADÉLFIA";2910859;"SBUF"
"265";"FIRMINO ALVES";2910909;"SBIL"
"266";"FIRMINO ALVES";2910909;"SBTC"
"267";"FLORESTA AZUL";2911006;"SBIL"
"268";"FLORESTA AZUL";2911006;"SBTC"
"269";"FORMOSA DO RIO PRETO";2911105;"SBPJ"
"270";"FORMOSA DO RIO PRETO";2911105;"SBLP"
"271";"GANDU";2911204;"SBSV"
"272";"GANDU";2911204;"SBIL"
"273";"GAVIÃO";2911253;"SBPL"
"274";"GAVIÃO";2911253;"SBSV"
"275";"GENTIO DO OURO";2911303;"SBPL"
"276";"GENTIO DO OURO";2911303;"SBLE"
"277";"GLÓRIA";2911402;"SBPL"
"278";"GLÓRIA";2911402;"SBJU"
"279";"GONGOGI";2911501;"SBIL"
"280";"GONGOGI";2911501;"SBTC"
"281";"GOVERNADOR MANGABEIRA";2911600;"SBSV"
"282";"GOVERNADOR MANGABEIRA";2911600;"SBIL"
"283";"GUAJERU";2911659;"SBLE"
"284";"GUAJERU";2911659;"SBQV"
"285";"GUANAMBI";2911709;"SBLE"
"286";"GUANAMBI";2911709;"SBQV"
"287";"GUARATINGA";2911808;"SBPS"
"288";"GUARATINGA";2911808;"SBTC"
"289";"HELIÓPOLIS";2911857;"SBSV"
"290";"HELIÓPOLIS";2911857;"SBAR"
"291";"IAÇU";2911907;"SBSV"
"292";"IAÇU";2911907;"SBLE"
"293";"IBIASSUCÊ";2912004;"SBLE"
"294";"IBIASSUCÊ";2912004;"SBQV"
"295";"IBICARAÍ";2912103;"SBIL"
"296";"IBICARAÍ";2912103;"SBTC"
"297";"IBICOARA";2912202;"SBLE"
"298";"IBICOARA";2912202;"SBQV"
"299";"IBICUÍ";2912301;"SBIL"
"300";"IBICUÍ";2912301;"SBTC"
"301";"IBIPEBA";2912400;"SBPL"
"302";"IBIPEBA";2912400;"SBLE"
"303";"IBIPITANGA";2912509;"SBLE"
"304";"IBIPITANGA";2912509;"SBQV"
"305";"IBIQUERA";2912608;"SBSV"
"306";"IBIQUERA";2912608;"SBLE"
"307";"IBIRAPITANGA";2912707;"SBIL"
"308";"IBIRAPITANGA";2912707;"SBTC"
"309";"IBIRAPUÃ";2912806;"SBPS"
"310";"IBIRATAIA";2912905;"SBIL"
"311";"IBIRATAIA";2912905;"SBTC"
"312";"IBITIARA";2913002;"SBLE"
"313";"IBITIARA";2913002;"SBQV"
"314";"IBITITÁ";2913101;"SBPL"
"315";"IBITITÁ";2913101;"SBLE"
"316";"IBOTIRAMA";2913200;"SBLE"
"317";"IBOTIRAMA";2913200;"SBQV"
"318";"ICHU";2913309;"SBSV"
"319";"ICHU";2913309;"SBAR"
"320";"IGAPORÃ";2913408;"SBLE"
"321";"IGAPORÃ";2913408;"SBQV"
"322";"IGRAPIÚNA";2913457;"SBSV"
"323";"IGRAPIÚNA";2913457;"SBIL"
"324";"IGUAÍ";2913507;"SBIL"
"325";"IGUAÍ";2913507;"SBTC"
"326";"ILHÉUS";2913606;"SBIL"
"327";"ILHÉUS";2913606;"SBTC"
"328";"INHAMBUPE";2913705;"SBSV"
"329";"INHAMBUPE";2913705;"SBAR"
"330";"IPECAETÁ";2913804;"SBSV"
"331";"IPECAETÁ";2913804;"SBAR"
"332";"IPIAÚ";2913903;"SBIL"
"333";"IPIAÚ";2913903;"SBTC"
"334";"IPIRÁ";2914000;"SBSV"
"335";"IPIRÁ";2914000;"SBIL"
"336";"IPUPIARA";2914109;"SBPL"
"337";"IPUPIARA";2914109;"SBLE"
"338";"IRAJUBA";2914208;"SBSV"
"339";"IRAJUBA";2914208;"SBIL"
"340";"IRAMAIA";2914307;"SBIL"
"341";"IRAMAIA";2914307;"SBLE"
"342";"IRAQUARA";2914406;"SBLE"
"343";"IRAQUARA";2914406;"SBQV"
"344";"IRARÁ";2914505;"SBSV"
"345";"IRARÁ";2914505;"SBAR"
"346";"IRECÊ";2914604;"SBPL"
"347";"IRECÊ";2914604;"SBLE"
"348";"ITABELA";2914653;"SBPS"
"349";"ITABELA";2914653;"SBTC"
"350";"ITABERABA";2914703;"SBSV"
"351";"ITABERABA";2914703;"SBLE"
"352";"ITABUNA";2914802;"SBIL"
"353";"ITABUNA";2914802;"SBTC"
"354";"ITACARÉ";2914901;"SBSV"
"355";"ITACARÉ";2914901;"SBIL"
"356";"ITAETÉ";2915007;"SBLE"
"357";"ITAETÉ";2915007;"SBQV"
"358";"ITAGI";2915106;"SBIL"
"359";"ITAGI";2915106;"SBTC"
"360";"ITAGIBÁ";2915205;"SBIL"
"361";"ITAGIBÁ";2915205;"SBTC"
"362";"ITAGIMIRIM";2915304;"SBIL"
"363";"ITAGIMIRIM";2915304;"SBPS"
"364";"ITAGUAÇU DA BAHIA";2915353;"SBPL"
"365";"ITAGUAÇU DA BAHIA";2915353;"SBLE"
"366";"ITAJU DO COLÔNIA";2915403;"SBIL"
"367";"ITAJU DO COLÔNIA";2915403;"SBTC"
"368";"ITAJUÍPE";2915502;"SBIL"
"369";"ITAJUÍPE";2915502;"SBTC"
"370";"ITAMARAJU";2915601;"SBPS"
"371";"ITAMARAJU";2915601;"SBTC"
"372";"ITAMARI";2915700;"SBSV"
"373";"ITAMARI";2915700;"SBIL"
"374";"ITAMBÉ";2915809;"SBIL"
"375";"ITAMBÉ";2915809;"SBTC"
"376";"ITANAGRA";2915908;"SBSV"
"377";"ITANAGRA";2915908;"SBIL"
"378";"ITANHÉM";2916005;"SBPS"
"379";"ITANHÉM";2916005;"SBTC"
"380";"ITAPARICA";2916104;"SBSV"
"381";"ITAPARICA";2916104;"SBIL"
"382";"ITAPÉ";2916203;"SBIL"
"383";"ITAPÉ";2916203;"SBTC"
"384";"ITAPEBI";2916302;"SBIL"
"385";"ITAPEBI";2916302;"SBPS"
"386";"ITAPETINGA";2916401;"SBIL"
"387";"ITAPETINGA";2916401;"SBTC"
"388";"ITAPICURU";2916500;"SBSV"
"389";"ITAPICURU";2916500;"SBAR"
"390";"ITAPITANGA";2916609;"SBIL"
"391";"ITAPITANGA";2916609;"SBTC"
"392";"ITAQUARA";2916708;"SBSV"
