"";"Município";"Código";"ICAO"
"1";"ABAIARA";2300101;"SBPL"
"2";"ABAIARA";2300101;"SBJU"
"3";"ACARAPE";2300150;"SBFZ"
"4";"ACARAPE";2300150;"SBJU"
"5";"ACARAÚ";2300200;"SBFZ"
"6";"ACARAÚ";2300200;"SBTE"
"7";"ACOPIARA";2300309;"SBFZ"
"8";"ACOPIARA";2300309;"SBJU"
"9";"AIUABA";2300408;"SBPL"
"10";"AIUABA";2300408;"SBJU"
"11";"ALCÂNTARAS";2300507;"SBFZ"
"12";"ALCÂNTARAS";2300507;"SBTE"
"13";"ALTANEIRA";2300606;"SBPL"
"14";"ALTANEIRA";2300606;"SBJU"
"15";"ALTO SANTO";2300705;"SBFZ"
"16";"ALTO SANTO";2300705;"SBJU"
"17";"AMONTADA";2300754;"SBFZ"
"18";"AMONTADA";2300754;"SBMS"
"19";"ANTONINA DO NORTE";2300804;"SBPL"
"20";"ANTONINA DO NORTE";2300804;"SBJU"
"21";"APUIARÉS";2300903;"SBFZ"
"22";"APUIARÉS";2300903;"SBMS"
"23";"AQUIRAZ";2301000;"SBFZ"
"24";"AQUIRAZ";2301000;"SBJU"
"25";"ARACATI";2301109;"SBFZ"
"26";"ARACATI";2301109;"SBNT"
"27";"ARACOIABA";2301208;"SBFZ"
"28";"ARACOIABA";2301208;"SBJU"
"29";"ARARENDÁ";2301257;"SBFZ"
"30";"ARARENDÁ";2301257;"SBTE"
"31";"ARARIPE";2301307;"SBPL"
"32";"ARARIPE";2301307;"SBJU"
"33";"ARATUBA";2301406;"SBFZ"
"34";"ARATUBA";2301406;"SBJU"
"35";"ARNEIROZ";2301505;"SBTE"
"36";"ARNEIROZ";2301505;"SBJU"
"37";"ASSARÉ";2301604;"SBPL"
"38";"ASSARÉ";2301604;"SBJU"
"39";"AURORA";2301703;"SBJU"
"40";"AURORA";2301703;"SBMS"
"41";"BAIXIO";2301802;"SBFZ"
"42";"BAIXIO";2301802;"SBJU"
"43";"BANABUIÚ";2301851;"SBFZ"
"44";"BANABUIÚ";2301851;"SBJU"
"45";"BARBALHA";2301901;"SBPL"
