"";"Município";"Código";"ICAO"
"1";"AFONSO CLÁUDIO";3200102;"SBVT"
"2";"AFONSO CLÁUDIO";3200102;"SBIP"
"3";"ÁGUA DOCE DO NORTE";3200169;"SBIP"
"4";"ÁGUIA BRANCA";3200136;"SBVT"
"5";"ÁGUIA BRANCA";3200136;"SBIP"
"6";"ALEGRE";3200201;"SBCP"
"7";"ALEGRE";3200201;"SBVT"
"8";"ALFREDO CHAVES";3200300;"SBCP"
"9";"ALFREDO CHAVES";3200300;"SBVT"
"10";"ALTO RIO NOVO";3200359;"SBVT"
"11";"ALTO RIO NOVO";3200359;"SBIP"
"12";"ANCHIETA";3200409;"SBCP"
"13";"ANCHIETA";3200409;"SBVT"
"14";"APIACÁ";3200508;"SBCP"
"15";"APIACÁ";3200508;"SBME"
"16";"ARACRUZ";3200607;"SBCP"
"17";"ARACRUZ";3200607;"SBVT"
"18";"ATILIO VIVACQUA";3200706;"SBCP"
"19";"ATILIO VIVACQUA";3200706;"SBVT"
"20";"BAIXO GUANDU";3200805;"SBVT"
"21";"BAIXO GUANDU";3200805;"SBIP"
"22";"BARRA DE SÃO FRANCISCO";3200904;"SBVT"
"23";"BOA ESPERANÇA";3201001;"SBVT"
"24";"BOM JESUS DO NORTE";3201100;"SBCP"
"25";"BOM JESUS DO NORTE";3201100;"SBME"
"26";"BREJETUBA";3201159;"SBVT"
"27";"BREJETUBA";3201159;"SBIP"
"28";"CACHOEIRO DE ITAPEMIRIM";3201209;"SBCP"
"29";"CACHOEIRO DE ITAPEMIRIM";3201209;"SBVT"
"30";"CARIACICA";3201308;"SBCP"
"31";"CARIACICA";3201308;"SBVT"
"32";"CASTELO";3201407;"SBCP"
"33";"CASTELO";3201407;"SBVT"
"34";"COLATINA";3201506;"SBVT"
"35";"COLATINA";3201506;"SBIP"
"36";"CONCEIÇÃO DA BARRA";3201605;"SBVT"
"37";"CONCEIÇÃO DO CASTELO";3201704;"SBCP"
"38";"CONCEIÇÃO DO CASTELO";3201704;"SBVT"
"39";"DIVINO DE SÃO LOURENÇO";3201803;"SBCP"
"40";"DIVINO DE SÃO LOURENÇO";3201803;"SBVT"
"41";"DOMINGOS MARTINS";3201902;"SBCP"
"42";"DOMINGOS MARTINS";3201902;"SBVT"
"43";"DORES DO RIO PRETO";3202009;"SBCP"
"44";"DORES DO RIO PRETO";3202009;"SBVT"
"45";"ECOPORANGA";3202108;"SBIP"
"46";"FUNDÃO";3202207;"SBCP"
"47";"FUNDÃO";3202207;"SBVT"
"48";"GOVERNADOR LINDENBERG";3202256;"SBVT"
"49";"GOVERNADOR LINDENBERG";3202256;"SBIP"
"50";"GUAÇUÍ";3202306;"SBCP"
"51";"GUAÇUÍ";3202306;"SBVT"
"52";"GUARAPARI";3202405;"SBCP"
"53";"GUARAPARI";3202405;"SBVT"
"54";"IBATIBA";3202454;"SBVT"
"55";"IBATIBA";3202454;"SBIP"
"56";"IBIRAÇU";3202504;"SBVT"
"57";"IBIRAÇU";3202504;"SBIP"
"58";"IBITIRAMA";3202553;"SBCP"
"59";"IBITIRAMA";3202553;"SBVT"
"60";"ICONHA";3202603;"SBCP"
"61";"ICONHA";3202603;"SBVT"
"62";"IRUPI";3202652;"SBCP"
"63";"IRUPI";3202652;"SBVT"
"64";"ITAGUAÇU";3202702;"SBVT"
"65";"ITAGUAÇU";3202702;"SBIP"
"66";"ITAPEMIRIM";3202801;"SBCP"
"67";"ITAPEMIRIM";3202801;"SBVT"
"68";"ITARANA";3202900;"SBVT"
"69";"ITARANA";3202900;"SBIP"
"70";"IÚNA";3203007;"SBCP"
"71";"IÚNA";3203007;"SBVT"
"72";"JAGUARÉ";3203056;"SBVT"
"73";"JERÔNIMO MONTEIRO";3203106;"SBCP"
"74";"JERÔNIMO MONTEIRO";3203106;"SBVT"
"75";"JOÃO NEIVA";3203130;"SBVT"
"76";"JOÃO NEIVA";3203130;"SBIP"
"77";"LARANJA DA TERRA";3203163;"SBVT"
"78";"LARANJA DA TERRA";3203163;"SBIP"
"79";"LINHARES";3203205;"SBVT"
"80";"MANTENÓPOLIS";3203304;"SBVT"
"81";"MANTENÓPOLIS";3203304;"SBIP"
"82";"MARATAÍZES";3203320;"SBCP"
"83";"MARATAÍZES";3203320;"SBVT"
"84";"MARECHAL FLORIANO";3203346;"SBCP"
"85";"MARECHAL FLORIANO";3203346;"SBVT"
"86";"MARILÂNDIA";3203353;"SBVT"
"87";"MARILÂNDIA";3203353;"SBIP"
"88";"MIMOSO DO SUL";3203403;"SBCP"
"89";"MIMOSO DO SUL";3203403;"SBVT"
"90";"MONTANHA";3203502;"SBPS"
"91";"MUCURICI";3203601;"SBPS"
"92";"MUNIZ FREIRE";3203700;"SBCP"
"93";"MUNIZ FREIRE";3203700;"SBVT"
"94";"MUQUI";3203809;"SBCP"
"95";"MUQUI";3203809;"SBVT"
"96";"NOVA VENÉCIA";3203908;"SBVT"
"97";"PANCAS";3204005;"SBVT"
"98";"PANCAS";3204005;"SBIP"
"99";"PEDRO CANÁRIO";3204054;"SBPS"
"100";"PINHEIROS";3204104;"SBVT"
"101";"PIÚMA";3204203;"SBCP"
"102";"PIÚMA";3204203;"SBVT"
"103";"PONTO BELO";3204252;"SBVT"
"104";"PRESIDENTE KENNEDY";3204302;"SBCP"
"105";"PRESIDENTE KENNEDY";3204302;"SBVT"
"106";"RIO BANANAL";3204351;"SBVT"
"107";"RIO NOVO DO SUL";3204401;"SBCP"
"108";"RIO NOVO DO SUL";3204401;"SBVT"
"109";"SANTA LEOPOLDINA";3204500;"SBCP"
"110";"SANTA LEOPOLDINA";3204500;"SBVT"
"111";"SANTA MARIA DE JETIBÁ";3204559;"SBCP"
