"";"Município";"Código";"ICAO"
"1";"ABADIA DE GOIÁS";5200050;"SBAN"
"2";"ABADIA DE GOIÁS";5200050;"SBGO"
"3";"ABADIÂNIA";5200100;"SBAN"
"4";"ABADIÂNIA";5200100;"SBGO"
"5";"ACREÚNA";5200134;"SBAN"
"6";"ACREÚNA";5200134;"SBGO"
"7";"ADELÂNDIA";5200159;"SBAN"
"8";"ADELÂNDIA";5200159;"SBGO"
"9";"ÁGUA FRIA DE GOIÁS";5200175;"SBBR"
"10";"ÁGUA LIMPA";5200209;"SBUL"
"11";"ÁGUA LIMPA";5200209;"SBGO"
"12";"ÁGUAS LINDAS DE GOIÁS";5200258;"SBBR"
"13";"ÁGUAS LINDAS DE GOIÁS";5200258;"SBAN"
"14";"ALEXÂNIA";5200308;"SBBR"
"15";"ALEXÂNIA";5200308;"SBAN"
"16";"ALOÂNDIA";5200506;"SBAN"
"17";"ALOÂNDIA";5200506;"SBGO"
"18";"ALTO HORIZONTE";5200555;"SBBR"
"19";"ALTO HORIZONTE";5200555;"SBAN"
"20";"ALTO PARAÍSO DE GOIÁS";5200605;"SBBR"
"21";"ALVORADA DO NORTE";5200803;"SBBR"
"22";"AMARALINA";5200829;"SBAN"
"23";"AMERICANO DO BRASIL";5200852;"SBAN"
"24";"AMERICANO DO BRASIL";5200852;"SBGO"
"25";"AMORINÓPOLIS";5200902;"SBAN"
"26";"AMORINÓPOLIS";5200902;"SBGO"
"27";"ANÁPOLIS";5201108;"SBAN"
"28";"ANÁPOLIS";5201108;"SBGO"
"29";"ANHANGUERA";5201207;"SBUL"
"30";"ANHANGUERA";5201207;"SBUR"
"31";"ANICUNS";5201306;"SBAN"
"32";"ANICUNS";5201306;"SBGO"
"33";"APARECIDA DE GOIÂNIA";5201405;"SBAN"
"34";"APARECIDA DE GOIÂNIA";5201405;"SBGO"
"35";"APARECIDA DO RIO DOCE";5201454;"SBGO"
"36";"APARECIDA DO RIO DOCE";5201454;"SBBW"
"37";"APORÉ";5201504;"SBAU"
"38";"ARAÇU";5201603;"SBAN"
"39";"ARAÇU";5201603;"SBGO"
"40";"ARAGARÇAS";5201702;"SBGO"
"41";"ARAGARÇAS";5201702;"SBBW"
"42";"ARAGOIÂNIA";5201801;"SBAN"
"43";"ARAGOIÂNIA";5201801;"SBGO"
"44";"ARAGUAPAZ";5202155;"SBAN"
"45";"ARAGUAPAZ";5202155;"SBGO"
"46";"ARENÓPOLIS";5202353;"SBGO"
"47";"ARENÓPOLIS";5202353;"SBBW"
"48";"ARUANÃ";5202502;"SBAN"
"49";"ARUANÃ";5202502;"SBBW"
"50";"AURILÂNDIA";5202601;"SBAN"
"51";"AURILÂNDIA";5202601;"SBGO"
"52";"AVELINÓPOLIS";5202809;"SBAN"
"53";"AVELINÓPOLIS";5202809;"SBGO"
