"";"Município";"Código";"ICAO"
"1";"AÇAILÂNDIA";2100055;"SBMA"
"2";"AÇAILÂNDIA";2100055;"SBIZ"
"3";"AFONSO CUNHA";2100105;"SBSL"
"4";"AFONSO CUNHA";2100105;"SBTE"
"5";"ÁGUA DOCE DO MARANHÃO";2100154;"SBSL"
"6";"ÁGUA DOCE DO MARANHÃO";2100154;"SBTE"
"7";"ALCÂNTARA";2100204;"SBSL"
"8";"ALCÂNTARA";2100204;"SBPB"
"9";"ALDEIAS ALTAS";2100303;"SBSL"
"10";"ALDEIAS ALTAS";2100303;"SBTE"
"11";"ALTAMIRA DO MARANHÃO";2100402;"SBSL"
"12";"ALTAMIRA DO MARANHÃO";2100402;"SBIZ"
"13";"ALTO ALEGRE DO MARANHÃO";2100436;"SBSL"
"14";"ALTO ALEGRE DO MARANHÃO";2100436;"SBTE"
"15";"ALTO ALEGRE DO PINDARÉ";2100477;"SBSL"
"16";"ALTO ALEGRE DO PINDARÉ";2100477;"SBIZ"
"17";"ALTO PARNAÍBA";2100501;"SBPJ"
"18";"ALTO PARNAÍBA";2100501;"SBCI"
"19";"AMAPÁ DO MARANHÃO";2100550;"SBSL"
"20";"AMAPÁ DO MARANHÃO";2100550;"SBBE"
"21";"AMARANTE DO MARANHÃO";2100600;"SBMA"
"22";"AMARANTE DO MARANHÃO";2100600;"SBIZ"
"23";"ANAJATUBA";2100709;"SBSL"
"24";"ANAJATUBA";2100709;"SBTE"
"25";"ANAPURUS";2100808;"SBSL"
"26";"ANAPURUS";2100808;"SBTE"
"27";"APICUM-AÇU";2100832;"SBSL"
"28";"APICUM-AÇU";2100832;"SBBE"
"29";"ARAGUANÃ";2100873;"SBSL"
"30";"ARAGUANÃ";2100873;"SBIZ"
"31";"ARAIOSES";2100907;"SBSL"
"32";"ARAIOSES";2100907;"SBTE"
"33";"ARAME";2100956;"SBSL"
"34";"ARAME";2100956;"SBIZ"
"35";"ARARI";2101004;"SBSL"
"36";"ARARI";2101004;"SBTE"
"37";"AXIXÁ";2101103;"SBSL"
"38";"AXIXÁ";2101103;"SBPB"
"39";"BACABAL";2101202;"SBSL"
"40";"BACABAL";2101202;"SBTE"
"41";"BACABEIRA";2101251;"SBSL"
"42";"BACABEIRA";2101251;"SBTE"
"43";"BACURI";2101301;"SBSL"
"44";"BACURI";2101301;"SBBE"
"45";"BACURITUBA";2101350;"SBSL"
"46";"BACURITUBA";2101350;"SBPB"
"47";"BALSAS";2101400;"SBPJ"
"48";"BALSAS";2101400;"SBCI"
"49";"BARÃO DE GRAJAÚ";2101509;"SBPL"
"50";"BARÃO DE GRAJAÚ";2101509;"SBTE"
"51";"BARRA DO CORDA";2101608;"SBTE"
"52";"BARRA DO CORDA";2101608;"SBIZ"
"53";"BARREIRINHAS";2101707;"SBSL"
"54";"BARREIRINHAS";2101707;"SBPB"
"55";"BELA VISTA DO MARANHÃO";2101772;"SBSL"
"56";"BELA VISTA DO MARANHÃO";2101772;"SBIZ"
"57";"BELÁGUA";2101731;"SBSL"
"58";"BELÁGUA";2101731;"SBPB"
"59";"BENEDITO LEITE";2101806;"SBTE"
"60";"BENEDITO LEITE";2101806;"SBCI"
"61";"BEQUIMÃO";2101905;"SBSL"
"62";"BEQUIMÃO";2101905;"SBPB"
"63";"BERNARDO DO MEARIM";2101939;"SBSL"
"64";"BERNARDO DO MEARIM";2101939;"SBTE"
"65";"BOA VISTA DO GURUPI";2101970;"SBSL"
"66";"BOA VISTA DO GURUPI";2101970;"SBBE"
"67";"BOM JARDIM";2102002;"SBSL"
"68";"BOM JARDIM";2102002;"SBIZ"
"69";"BOM JESUS DAS SELVAS";2102036;"SBMA"
"70";"BOM JESUS DAS SELVAS";2102036;"SBIZ"
"71";"BOM LUGAR";2102077;"SBSL"
"72";"BOM LUGAR";2102077;"SBTE"
"73";"BREJO";2102101;"SBSL"
"74";"BREJO";2102101;"SBTE"
"75";"BREJO DE AREIA";2102150;"SBSL"
"76";"BREJO DE AREIA";2102150;"SBIZ"
"77";"BURITI";2102200;"SBSL"
"78";"BURITI";2102200;"SBTE"
"79";"BURITI BRAVO";2102309;"SBSL"
"80";"BURITI BRAVO";2102309;"SBTE"
"81";"BURITICUPU";2102325;"SBSL"
"82";"BURITICUPU";2102325;"SBIZ"
"83";"BURITIRANA";2102358;"SBMA"
"84";"BURITIRANA";2102358;"SBIZ"
"85";"CACHOEIRA GRANDE";2102374;"SBSL"
"86";"CACHOEIRA GRANDE";2102374;"SBPB"
"87";"CAJAPIÓ";2102408;"SBSL"
"88";"CAJAPIÓ";2102408;"SBTE"
"89";"CAJARI";2102507;"SBSL"
"90";"CAJARI";2102507;"SBTE"
"91";"CAMPESTRE DO MARANHÃO";2102556;"SBMA"
"92";"CAMPESTRE DO MARANHÃO";2102556;"SBIZ"
"93";"CÂNDIDO MENDES";2102606;"SBSL"
"94";"CÂNDIDO MENDES";2102606;"SBBE"
"95";"CANTANHEDE";2102705;"SBSL"
"96";"CANTANHEDE";2102705;"SBTE"
"97";"CAPINZAL DO NORTE";2102754;"SBSL"
"98";"CAPINZAL DO NORTE";2102754;"SBTE"
"99";"CAROLINA";2102804;"SBIZ"
"100";"CAROLINA";2102804;"SBCI"
"101";"CARUTAPERA";2102903;"SBSL"
"102";"CARUTAPERA";2102903;"SBBE"
