"";"Município";"Código";"ICAO"
"1";"ABADIA DOS DOURADOS";3100104;"SBUL"
"2";"ABADIA DOS DOURADOS";3100104;"SBAX"
"3";"ABAETÉ";3100203;"SBLS"
"4";"ABAETÉ";3100203;"SBCF"
"5";"ABRE CAMPO";3100302;"SBBH"
"6";"ABRE CAMPO";3100302;"SBIP"
"7";"ACAIACA";3100401;"SBLS"
"8";"ACAIACA";3100401;"SBPR"
"9";"AÇUCENA";3100500;"SBLS"
"10";"AÇUCENA";3100500;"SBIP"
"11";"ÁGUA BOA";3100609;"SBMK"
"12";"ÁGUA BOA";3100609;"SBIP"
"13";"ÁGUA COMPRIDA";3100708;"SBUR"
"14";"ÁGUA COMPRIDA";3100708;"SBFC"
"15";"AGUANIL";3100807;"SBVG"
"16";"AGUANIL";3100807;"SBPC"
"17";"ÁGUAS FORMOSAS";3100906;"SBPS"
"18";"ÁGUAS VERMELHAS";3101003;"SBPS"
"19";"ÁGUAS VERMELHAS";3101003;"SBMK"
"20";"AIMORÉS";3101102;"SBVT"
"21";"AIMORÉS";3101102;"SBIP"
"22";"AIURUOCA";3101201;"SBGW"
"23";"AIURUOCA";3101201;"SBVG"
"24";"ALAGOA";3101300;"SBGW"
"25";"ALAGOA";3101300;"SBVG"
"26";"ALBERTINA";3101409;"SBKP"
"27";"ALBERTINA";3101409;"SBYS"
"28";"ALÉM PARAÍBA";3101508;"SBME"
"29";"ALÉM PARAÍBA";3101508;"SBJF"
"30";"ALFENAS";3101607;"SBVG"
"31";"ALFENAS";3101607;"SBPC"
"32";"ALFREDO VASCONCELOS";3101631;"SBBQ"
"33";"ALFREDO VASCONCELOS";3101631;"SBPR"
"34";"ALMENARA";3101706;"SBPS"
"35";"ALMENARA";3101706;"SBTC"
"36";"ALPERCATA";3101805;"SBLS"
"37";"ALPERCATA";3101805;"SBIP"
"38";"ALPINÓPOLIS";3101904;"SBPC"
"39";"ALPINÓPOLIS";3101904;"SBFC"
"40";"ALTEROSA";3102001;"SBVG"
"41";"ALTEROSA";3102001;"SBPC"
"42";"ALTO CAPARAÓ";3102050;"SBCP"
"43";"ALTO CAPARAÓ";3102050;"SBVT"
"44";"ALTO JEQUITIBÁ";3153509;"SBCP"
"45";"ALTO JEQUITIBÁ";3153509;"SBVT"
"46";"ALTO RIO DOCE";3102100;"SBBQ"
"47";"ALTO RIO DOCE";3102100;"SBPR"
"48";"ALVARENGA";3102209;"SBVT"
"49";"ALVARENGA";3102209;"SBIP"
"50";"ALVINÓPOLIS";3102308;"SBLS"
"51";"ALVINÓPOLIS";3102308;"SBPR"
"52";"ALVORADA DE MINAS";3102407;"SBLS"
"53";"ALVORADA DE MINAS";3102407;"SBCF"
"54";"AMPARO DO SERRA";3102506;"SBBQ"
"55";"AMPARO DO SERRA";3102506;"SBPR"
"56";"ANDRADAS";3102605;"SBKP"
"57";"ANDRADAS";3102605;"SBYS"
"58";"ANDRELÂNDIA";3102803;"SBBQ"
"59";"ANDRELÂNDIA";3102803;"SBJF"
"60";"ANGELÂNDIA";3102852;"SBMK"
"61";"ANGELÂNDIA";3102852;"SBIP"
"62";"ANTÔNIO CARLOS";3102902;"SBBQ"
"63";"ANTÔNIO CARLOS";3102902;"SBJF"
"64";"ANTÔNIO DIAS";3103009;"SBLS"
"65";"ANTÔNIO DIAS";3103009;"SBCF"
"66";"ANTÔNIO PRADO DE MINAS";3103108;"SBCP"
"67";"ANTÔNIO PRADO DE MINAS";3103108;"SBME"
"68";"ARAÇAÍ";3103207;"SBLS"
"69";"ARAÇAÍ";3103207;"SBCF"
"70";"ARACITABA";3103306;"SBBQ"
"71";"ARACITABA";3103306;"SBJF"
"72";"ARAÇUAÍ";3103405;"SBMK"
"73";"ARAÇUAÍ";3103405;"SBQV"
"74";"ARAGUARI";3103504;"SBUL"
"75";"ARAGUARI";3103504;"SBUR"
"76";"ARANTINA";3103603;"SBBQ"
"77";"ARANTINA";3103603;"SBJF"
"78";"ARAPONGA";3103702;"SBBQ"
"79";"ARAPONGA";3103702;"SBIP"
"80";"ARAPORÃ";3103751;"SBUL"
"81";"ARAPORÃ";3103751;"SBUR"
"82";"ARAPUÁ";3103801;"SBAX"
"83";"ARAPUÁ";3103801;"SBUR"
"84";"ARAÚJOS";3103900;"SBPR"
"85";"ARAÚJOS";3103900;"SBCF"
"86";"ARAXÁ";3104007;"SBAX"
"87";"ARAXÁ";3104007;"SBUR"
"88";"ARCEBURGO";3104106;"SBRP"
"89";"ARCEBURGO";3104106;"SBYS"
"90";"ARCOS";3104205;"SBVG"
"91";"ARCOS";3104205;"SBAX"
"92";"AREADO";3104304;"SBVG"
"93";"AREADO";3104304;"SBPC"
"94";"ARGIRITA";3104403;"SBBQ"
"95";"ARGIRITA";3104403;"SBJF"
"96";"ARICANDUVA";3104452;"SBMK"
"97";"ARICANDUVA";3104452;"SBIP"
"98";"ARINOS";3104502;"SBMK"
"99";"ARINOS";3104502;"SBBR"
"100";"ASTOLFO DUTRA";3104601;"SBBQ"
"101";"ASTOLFO DUTRA";3104601;"SBJF"
"102";"ATALÉIA";3104700;"SBIP"
"103";"AUGUSTO DE LIMA";3104809;"SBLS"
"104";"AUGUSTO DE LIMA";3104809;"SBMK"
"105";"BAEPENDI";3104908;"SBGW"
"106";"BAEPENDI";3104908;"SBVG"
"107";"BALDIM";3105004;"SBLS"
"108";"BALDIM";3105004;"SBCF"
"109";"BAMBUÍ";3105103;"SBAX"
"110";"BAMBUÍ";3105103;"SBFC"
"111";"BANDEIRA";3105202;"SBPS"
"112";"BANDEIRA";3105202;"SBTC"
"113";"BANDEIRA DO SUL";3105301;"SBVG"
"114";"BANDEIRA DO SUL";3105301;"SBPC"
"115";"BARÃO DE COCAIS";3105400;"SBLS"
"116";"BARÃO DE COCAIS";3105400;"SBPR"
"117";"BARÃO DE MONTE ALTO";3105509;"SBCP"
"118";"BARÃO DE MONTE ALTO";3105509;"SBME"
"119";"BARBACENA";3105608;"SBBQ"
"120";"BARBACENA";3105608;"SBJF"
"121";"BARRA LONGA";3105707;"SBLS"
"122";"BARRA LONGA";3105707;"SBPR"
"123";"BARROSO";3105905;"SBBQ"
"124";"BARROSO";3105905;"SBPR"
"125";"BELA VISTA DE MINAS";3106002;"SBLS"
"126";"BELA VISTA DE MINAS";3106002;"SBBH"
"127";"BELMIRO BRAGA";3106101;"SBBQ"
"128";"BELMIRO BRAGA";3106101;"SBJF"
"129";"BELO HORIZONTE";3106200;"SBLS"
"130";"BELO HORIZONTE";3106200;"SBPR"
"131";"BELO ORIENTE";3106309;"SBLS"
"132";"BELO ORIENTE";3106309;"SBIP"
"133";"BELO VALE";3106408;"SBLS"
"134";"BELO VALE";3106408;"SBPR"
"135";"BERILO";3106507;"SBMK"
"136";"BERILO";3106507;"SBQV"
"137";"BERIZAL";3106655;"SBPS"
"138";"BERIZAL";3106655;"SBMK"
"139";"BERTÓPOLIS";3106606;"SBPS"
"140";"BERTÓPOLIS";3106606;"SBQV"
"141";"BETIM";3106705;"SBPR"
"142";"BETIM";3106705;"SBCF"
"143";"BIAS FORTES";3106804;"SBBQ"
"144";"BIAS FORTES";3106804;"SBJF"
"145";"BICAS";3106903;"SBBQ"
"146";"BICAS";3106903;"SBJF"
"147";"BIQUINHAS";3107000;"SBLS"
"148";"BIQUINHAS";3107000;"SBCF"
"149";"BOA ESPERANÇA";3107109;"SBVG"
"150";"BOA ESPERANÇA";3107109;"SBPC"
"151";"BOCAINA DE MINAS";3107208;"SBGW"
"152";"BOCAINA DE MINAS";3107208;"SBSC"
"153";"BOCAIÚVA";3107307;"SBMK"
"154";"BOCAIÚVA";3107307;"SBCF"
"155";"BOM DESPACHO";3107406;"SBPR"
"156";"BOM DESPACHO";3107406;"SBCF"
"157";"BOM JARDIM DE MINAS";3107505;"SBBQ"
"158";"BOM JARDIM DE MINAS";3107505;"SBJF"
"159";"BOM JESUS DA PENHA";3107604;"SBPC"
"160";"BOM JESUS DA PENHA";3107604;"SBFC"
"161";"BOM JESUS DO AMPARO";3107703;"SBLS"
"162";"BOM JESUS DO AMPARO";3107703;"SBCF"
"163";"BOM JESUS DO GALHO";3107802;"SBLS"
"164";"BOM JESUS DO GALHO";3107802;"SBIP"
"165";"BOM REPOUSO";3107901;"SBSJ"
"166";"BOM REPOUSO";3107901;"SBPC"
"167";"BOM SUCESSO";3108008;"SBBQ"
"168";"BOM SUCESSO";3108008;"SBPR"
"169";"BONFIM";3108107;"SBLS"
"170";"BONFIM";3108107;"SBPR"
"171";"BONFINÓPOLIS DE MINAS";3108206;"SBMK"
"172";"BONFINÓPOLIS DE MINAS";3108206;"SBBR"
"173";"BONITO DE MINAS";3108255;"SBMK"
"174";"BONITO DE MINAS";3108255;"SBBR"
"175";"BORDA DA MATA";3108305;"SBVG"
"176";"BORDA DA MATA";3108305;"SBPC"
"177";"BOTELHOS";3108404;"SBVG"
"178";"BOTELHOS";3108404;"SBYS"
"179";"BOTUMIRIM";3108503;"SBMK"
"180";"BOTUMIRIM";3108503;"SBIP"
"181";"BRÁS PIRES";3108701;"SBBQ"
"182";"BRÁS PIRES";3108701;"SBPR"
