"";"Município";"Código";"ICAO"
"1";"ÁGUA CLARA";5000203;"SBCG"
"2";"ÁGUA CLARA";5000203;"SBAU"
"3";"ALCINÓPOLIS";5000252;"SBBW"
"4";"ALCINÓPOLIS";5000252;"SBCG"
"5";"AMAMBAI";5000609;"SBPP"
"6";"AMAMBAI";5000609;"SBCA"
"7";"ANASTÁCIO";5000708;"SBCR"
"8";"ANASTÁCIO";5000708;"SBPP"
"9";"ANAURILÂNDIA";5000807;"SBMG"
"10";"ANAURILÂNDIA";5000807;"SBDN"
"11";"ANGÉLICA";5000856;"SBMG"
"12";"ANGÉLICA";5000856;"SBPP"
"13";"ANTÔNIO JOÃO";5000906;"SBPP"
"14";"ANTÔNIO JOÃO";5000906;"SBCG"
"15";"APARECIDA DO TABOADO";5001003;"SBSR"
"16";"APARECIDA DO TABOADO";5001003;"SBAU"
"17";"AQUIDAUANA";5001102;"SBCR"
"18";"AQUIDAUANA";5001102;"SBPP"
"19";"ARAL MOREIRA";5001243;"SBPP"
"20";"ARAL MOREIRA";5001243;"SBCG"
"21";"BANDEIRANTES";5001508;"SBPP"
"22";"BANDEIRANTES";5001508;"SBCG"
"23";"BATAGUASSU";5001904;"SBMG"
"24";"BATAGUASSU";5001904;"SBDN"
"25";"BATAYPORÃ";5002001;"SBMG"
"26";"BATAYPORÃ";5002001;"SBDN"
"27";"BELA VISTA";5002100;"SBCR"
"28";"BELA VISTA";5002100;"SBPP"
"29";"BODOQUENA";5002159;"SBCR"
"30";"BODOQUENA";5002159;"SBPP"
"31";"BONITO";5002209;"SBCR"
"32";"BONITO";5002209;"SBPP"
"33";"BRASILÂNDIA";5002308;"SBDN"
"34";"BRASILÂNDIA";5002308;"SBAU"
"35";"CAARAPÓ";5002407;"SBPP"
"36";"CAARAPÓ";5002407;"SBCG"
"37";"CAMAPUÃ";5002605;"SBCR"
"38";"CAMAPUÃ";5002605;"SBCG"
"39";"CAMPO GRANDE";5002704;"SBPP"
"40";"CAMPO GRANDE";5002704;"SBCG"
"41";"CARACOL";5002803;"SBCR"
"42";"CARACOL";5002803;"SBPP"
"43";"CASSILÂNDIA";5002902;"SBCG"
"44";"CASSILÂNDIA";5002902;"SBAU"
"45";"CHAPADÃO DO SUL";5002951;"SBCG"
"46";"CHAPADÃO DO SUL";5002951;"SBAU"
"47";"CORGUINHO";5003108;"SBCR"
"48";"CORGUINHO";5003108;"SBPP"
"49";"CORONEL SAPUCAIA";5003157;"SBPP"
"50";"CORONEL SAPUCAIA";5003157;"SBCA"
"51";"CORUMBÁ";5003207;"SBCR"
"52";"CORUMBÁ";5003207;"SBCY"
"53";"COSTA RICA";5003256;"SBBW"
"54";"COSTA RICA";5003256;"SBCG"
"55";"COXIM";5003306;"SBCR"
"56";"COXIM";5003306;"SBCY"
"57";"DEODÁPOLIS";5003454;"SBMG"
"58";"DEODÁPOLIS";5003454;"SBPP"
"59";"DOIS IRMÃOS DO BURITI";5003488;"SBCR"
"60";"DOIS IRMÃOS DO BURITI";5003488;"SBPP"
"61";"DOURADINA";5003504;"SBPP"
"62";"DOURADINA";5003504;"SBCG"
"63";"DOURADOS";5003702;"SBPP"
"64";"DOURADOS";5003702;"SBCG"
"65";"ELDORADO";5003751;"SBPP"
"66";"ELDORADO";5003751;"SBCA"
"67";"FÁTIMA DO SUL";5003801;"SBPP"
"68";"FÁTIMA DO SUL";5003801;"SBCG"
"69";"FIGUEIRÃO";5003900;"SBBW"
"70";"FIGUEIRÃO";5003900;"SBCG"
"71";"GLÓRIA DE DOURADOS";5004007;"SBMG"
"72";"GLÓRIA DE DOURADOS";5004007;"SBPP"
"73";"GUIA LOPES DA LAGUNA";5004106;"SBCR"
"74";"GUIA LOPES DA LAGUNA";5004106;"SBPP"
"75";"IGUATEMI";5004304;"SBPP"
"76";"IGUATEMI";5004304;"SBCA"
"77";"INOCÊNCIA";5004403;"SBDN"
"78";"INOCÊNCIA";5004403;"SBAU"
"79";"ITAPORÃ";5004502;"SBPP"
"80";"ITAPORÃ";5004502;"SBCG"
"81";"ITAQUIRAÍ";5004601;"SBPP"
"82";"ITAQUIRAÍ";5004601;"SBCA"
"83";"IVINHEMA";5004700;"SBMG"
"84";"IVINHEMA";5004700;"SBPP"
"85";"JAPORÃ";5004809;"SBPP"
"86";"JAPORÃ";5004809;"SBCA"
"87";"JARAGUARI";5004908;"SBPP"
"88";"JARAGUARI";5004908;"SBCG"
"89";"JARDIM";5005004;"SBCR"
"90";"JARDIM";5005004;"SBPP"
"91";"JATEÍ";5005103;"SBMG"
"92";"JATEÍ";5005103;"SBPP"
"93";"JUTI";5005152;"SBPP"
"94";"JUTI";5005152;"SBCG"
"95";"LADÁRIO";5005202;"SBCR"
"96";"LADÁRIO";5005202;"SBCY"
"97";"LAGUNA CARAPÃ";5005251;"SBPP"
"98";"LAGUNA CARAPÃ";5005251;"SBCG"
"99";"MARACAJU";5005400;"SBCR"
"100";"MARACAJU";5005400;"SBPP"
"101";"MIRANDA";5005608;"SBCR"
"102";"MIRANDA";5005608;"SBPP"
"103";"MUNDO NOVO";5005681;"SBFI"
