"";"Município";"Código";"ICAO"
"1";"ACORIZAL";5100102;"SBCY"
"2";"ACORIZAL";5100102;"SBBW"
"3";"ÁGUA BOA";5100201;"SBBW"
"4";"ÁGUA BOA";5100201;"SBXV"
"5";"ALTA FLORESTA";5100250;"SBCC"
"6";"ALTA FLORESTA";5100250;"SBAT"
"7";"ALTO ARAGUAIA";5100300;"SBCY"
"8";"ALTO ARAGUAIA";5100300;"SBBW"
"9";"ALTO BOA VISTA";5100359;"SBXV"
"10";"ALTO BOA VISTA";5100359;"SBPN"
"11";"ALTO GARÇAS";5100409;"SBCY"
"12";"ALTO GARÇAS";5100409;"SBBW"
"13";"ALTO PARAGUAI";5100508;"SBCY"
"14";"ALTO PARAGUAI";5100508;"SBVH"
"15";"ALTO TAQUARI";5100607;"SBBW"
"16";"ALTO TAQUARI";5100607;"SBCG"
"17";"APIACÁS";5100805;"SBCC"
"18";"APIACÁS";5100805;"SBAT"
"19";"ARAGUAIANA";5101001;"SBGO"
"20";"ARAGUAIANA";5101001;"SBBW"
"21";"ARAGUAINHA";5101209;"SBCY"
"22";"ARAGUAINHA";5101209;"SBBW"
"23";"ARAPUTANGA";5101258;"SBCR"
"24";"ARAPUTANGA";5101258;"SBCY"
"25";"ARENÁPOLIS";5101308;"SBCY"
"26";"ARENÁPOLIS";5101308;"SBVH"
"27";"ARIPUANÃ";5101407;"SBPV"
"28";"ARIPUANÃ";5101407;"SBAT"
"29";"BARÃO DE MELGAÇO";5101605;"SBCR"
"30";"BARÃO DE MELGAÇO";5101605;"SBCY"
"31";"BARRA DO BUGRES";5101704;"SBCR"
"32";"BARRA DO BUGRES";5101704;"SBCY"
"33";"BARRA DO GARÇAS";5101803;"SBGO"
"34";"BARRA DO GARÇAS";5101803;"SBBW"
"35";"BOM JESUS DO ARAGUAIA";5101852;"SBXV"
"36";"BOM JESUS DO ARAGUAIA";5101852;"SBPN"
"37";"BRASNORTE";5101902;"SBCY"
"38";"BRASNORTE";5101902;"SBAT"
"39";"CÁCERES";5102504;"SBCR"
"40";"CÁCERES";5102504;"SBCY"
"41";"CAMPINÁPOLIS";5102603;"SBCY"
"42";"CAMPINÁPOLIS";5102603;"SBBW"
"43";"CAMPO NOVO DO PARECIS";5102637;"SBCY"
"44";"CAMPO NOVO DO PARECIS";5102637;"SBAT"
"45";"CAMPO VERDE";5102678;"SBCY"
"46";"CAMPO VERDE";5102678;"SBBW"
"47";"CAMPOS DE JÚLIO";5102686;"SBCY"
"48";"CAMPOS DE JÚLIO";5102686;"SBAT"
"49";"CANABRAVA DO NORTE";5102694;"SBPJ"
"50";"CANABRAVA DO NORTE";5102694;"SBPN"
"51";"CANARANA";5102702;"SBBW"
"52";"CANARANA";5102702;"SBXV"
