"";"Município";"Código";"ICAO"
"1";"ABAETETUBA";1500107;"SBMQ"
"2";"ABAETETUBA";1500107;"SBBE"
"3";"ABEL FIGUEIREDO";1500131;"SBMA"
"4";"ABEL FIGUEIREDO";1500131;"SBIZ"
"5";"ACARÁ";1500206;"SBMQ"
"6";"ACARÁ";1500206;"SBBE"
"7";"AFUÁ";1500305;"SBMQ"
"8";"AFUÁ";1500305;"SBMD"
"9";"ÁGUA AZUL DO NORTE";1500347;"SBMA"
"10";"ÁGUA AZUL DO NORTE";1500347;"SBCJ"
"11";"ALENQUER";1500404;"SBTS"
"12";"ALENQUER";1500404;"SBTB"
"13";"ALMEIRIM";1500503;"SBMQ"
"14";"ALMEIRIM";1500503;"SBMD"
"15";"ALTAMIRA";1500602;"SBCC"
"16";"ALTAMIRA";1500602;"SBIH"
"17";"ANAJÁS";1500701;"SBMQ"
"18";"ANAJÁS";1500701;"SBBE"
"19";"ANANINDEUA";1500800;"SBMQ"
"20";"ANANINDEUA";1500800;"SBBE"
"21";"ANAPU";1500859;"SBHT"
"22";"ANAPU";1500859;"SBTU"
"23";"AUGUSTO CORRÊA";1500909;"SBSL"
"24";"AUGUSTO CORRÊA";1500909;"SBBE"
"25";"AURORA DO PARÁ";1500958;"SBBE"
"26";"AURORA DO PARÁ";1500958;"SBIZ"
"27";"AVEIRO";1501006;"SBTS"
"28";"AVEIRO";1501006;"SBIH"
"29";"BAGRE";1501105;"SBBE"
"30";"BAGRE";1501105;"SBTU"
"31";"BAIÃO";1501204;"SBMA"
"32";"BAIÃO";1501204;"SBBE"
"33";"BANNACH";1501253;"SBMA"
"34";"BANNACH";1501253;"SBCJ"
"35";"BARCARENA";1501303;"SBMQ"
"36";"BARCARENA";1501303;"SBBE"
"37";"BELÉM";1501402;"SBMQ"
"38";"BELÉM";1501402;"SBBE"
"39";"BELTERRA";1501451;"SBTS"
"40";"BELTERRA";1501451;"SBSN"
"41";"BENEVIDES";1501501;"SBMQ"
"42";"BENEVIDES";1501501;"SBBE"
"43";"BOM JESUS DO TOCANTINS";1501576;"SBMA"
"44";"BOM JESUS DO TOCANTINS";1501576;"SBIZ"
"45";"BONITO";1501600;"SBSL"
"46";"BONITO";1501600;"SBBE"
"47";"BRAGANÇA";1501709;"SBSL"
"48";"BRAGANÇA";1501709;"SBBE"
"49";"BRASIL NOVO";1501725;"SBSN"
"50";"BRASIL NOVO";1501725;"SBHT"
"51";"BREJO GRANDE DO ARAGUAIA";1501758;"SBMA"
"52";"BREJO GRANDE DO ARAGUAIA";1501758;"SBIZ"
"53";"BREU BRANCO";1501782;"SBMA"
"54";"BREU BRANCO";1501782;"SBCJ"
"55";"BREVES";1501808;"SBMQ"
"56";"BREVES";1501808;"SBMD"
"57";"BUJARU";1501907;"SBMQ"
"58";"BUJARU";1501907;"SBBE"
"59";"CACHOEIRA DO ARARI";1502004;"SBMQ"
"60";"CACHOEIRA DO ARARI";1502004;"SBBE"
"61";"CACHOEIRA DO PIRIÁ";1501956;"SBSL"
"62";"CACHOEIRA DO PIRIÁ";1501956;"SBBE"
"63";"CAMETÁ";1502103;"SBMQ"
"64";"CAMETÁ";1502103;"SBBE"
"65";"CANAÃ DOS CARAJÁS";1502152;"SBMA"
"66";"CANAÃ DOS CARAJÁS";1502152;"SBCJ"
"67";"CAPANEMA";1502202;"SBSL"
"68";"CAPANEMA";1502202;"SBBE"
"69";"CAPITÃO POÇO";1502301;"SBBE"
"70";"CAPITÃO POÇO";1502301;"SBTU"
"71";"CASTANHAL";1502400;"SBMQ"
"72";"CASTANHAL";1502400;"SBBE"
"73";"CHAVES";1502509;"SBMQ"
"74";"CHAVES";1502509;"SBBE"
"75";"COLARES";1502608;"SBMQ"
"76";"COLARES";1502608;"SBBE"
"77";"CONCEIÇÃO DO ARAGUAIA";1502707;"SBCJ"
"78";"CONCEIÇÃO DO ARAGUAIA";1502707;"SBCI"
"79";"CONCÓRDIA DO PARÁ";1502756;"SBBE"
"80";"CONCÓRDIA DO PARÁ";1502756;"SBTU"
"81";"CUMARU DO NORTE";1502764;"SBCJ"
"82";"CUMARU DO NORTE";1502764;"SBAA"
"83";"CURIONÓPOLIS";1502772;"SBMA"
"84";"CURIONÓPOLIS";1502772;"SBCJ"
"85";"CURRALINHO";1502806;"SBMQ"
"86";"CURRALINHO";1502806;"SBBE"
"87";"CURUÁ";1502855;"SBTS"
"88";"CURUÁ";1502855;"SBTB"
"89";"CURUÇÁ";1502905;"SBMQ"
"90";"CURUÇÁ";1502905;"SBBE"
"91";"DOM ELISEU";1502939;"SBMA"
