"";"Município";"Código";"ICAO"
"1";"ÁGUA BRANCA";2500106;"SBKG"
"2";"ÁGUA BRANCA";2500106;"SBJU"
"3";"AGUIAR";2500205;"SBJU"
"4";"AGUIAR";2500205;"SBMS"
"5";"ALAGOA GRANDE";2500304;"SBKG"
"6";"ALAGOA GRANDE";2500304;"SBNT"
"7";"ALAGOA NOVA";2500403;"SBKG"
"8";"ALAGOA NOVA";2500403;"SBNT"
"9";"ALAGOINHA";2500502;"SBKG"
"10";"ALAGOINHA";2500502;"SBNT"
"11";"ALCANTIL";2500536;"SBKG"
"12";"ALCANTIL";2500536;"SBRF"
"13";"ALGODÃO DE JANDAÍRA";2500577;"SBKG"
"14";"ALGODÃO DE JANDAÍRA";2500577;"SBNT"
"15";"ALHANDRA";2500601;"SBRF"
"16";"ALHANDRA";2500601;"SBJP"
"17";"AMPARO";2500734;"SBKG"
"18";"AMPARO";2500734;"SBJP"
"19";"APARECIDA";2500775;"SBKG"
"20";"APARECIDA";2500775;"SBJU"
"21";"ARAÇAGI";2500809;"SBKG"
"22";"ARAÇAGI";2500809;"SBNT"
"23";"ARARA";2500908;"SBKG"
"24";"ARARA";2500908;"SBNT"
"25";"ARARUNA";2501005;"SBKG"
"26";"ARARUNA";2501005;"SBNT"
"27";"AREIA";2501104;"SBKG"
"28";"AREIA";2501104;"SBNT"
"29";"AREIA DE BARAÚNAS";2501153;"SBKG"
"30";"AREIA DE BARAÚNAS";2501153;"SBMS"
"31";"AREIAL";2501203;"SBKG"
"32";"AREIAL";2501203;"SBNT"
"33";"AROEIRAS";2501302;"SBKG"
"34";"AROEIRAS";2501302;"SBJP"
"35";"ASSUNÇÃO";2501351;"SBKG"
"36";"ASSUNÇÃO";2501351;"SBNT"
"37";"BAÍA DA TRAIÇÃO";2501401;"SBKG"
"38";"BAÍA DA TRAIÇÃO";2501401;"SBNT"
"39";"BANANEIRAS";2501500;"SBKG"
"40";"BANANEIRAS";2501500;"SBNT"
"41";"BARAÚNA";2501534;"SBKG"
"42";"BARAÚNA";2501534;"SBNT"
"43";"BARRA DE SANTA ROSA";2501609;"SBKG"
"44";"BARRA DE SANTA ROSA";2501609;"SBNT"
"45";"BARRA DE SANTANA";2501575;"SBKG"
"46";"BARRA DE SANTANA";2501575;"SBJP"
"47";"BARRA DE SÃO MIGUEL";2501708;"SBKG"
"48";"BARRA DE SÃO MIGUEL";2501708;"SBRF"
"49";"BAYEUX";2501807;"SBRF"
"50";"BAYEUX";2501807;"SBJP"
"51";"BELÉM";2501906;"SBKG"
"52";"BELÉM";2501906;"SBNT"
"53";"BELÉM DO BREJO DO CRUZ";2502003;"SBKG"
"54";"BELÉM DO BREJO DO CRUZ";2502003;"SBNT"
"55";"BERNARDINO BATISTA";2502052;"SBFZ"
"56";"BERNARDINO BATISTA";2502052;"SBJU"
"57";"BOA VENTURA";2502102;"SBKG"
"58";"BOA VENTURA";2502102;"SBJU"
"59";"BOA VISTA";2502151;"SBKG"
"60";"BOA VISTA";2502151;"SBJP"
"61";"BOM JESUS";2502201;"SBKG"
"62";"BOM JESUS";2502201;"SBJU"
"63";"BOM SUCESSO";2502300;"SBKG"
"64";"BOM SUCESSO";2502300;"SBJU"
"65";"BONITO DE SANTA FÉ";2502409;"SBJU"
"66";"BONITO DE SANTA FÉ";2502409;"SBMS"
"67";"BOQUEIRÃO";2502508;"SBKG"
"68";"BOQUEIRÃO";2502508;"SBJP"
"69";"BORBOREMA";2502706;"SBKG"
"70";"BORBOREMA";2502706;"SBNT"
"71";"BREJO DO CRUZ";2502805;"SBKG"
"72";"BREJO DO CRUZ";2502805;"SBJU"
"73";"BREJO DOS SANTOS";2502904;"SBKG"
"74";"BREJO DOS SANTOS";2502904;"SBJU"
"75";"CAAPORÃ";2503001;"SBRF"
"76";"CAAPORÃ";2503001;"SBJP"
"77";"CABACEIRAS";2503100;"SBKG"
"78";"CABACEIRAS";2503100;"SBJP"
"79";"CABEDELO";2503209;"SBKG"
"80";"CABEDELO";2503209;"SBNT"
"81";"CACHOEIRA DOS ÍNDIOS";2503308;"SBJU"
"82";"CACHOEIRA DOS ÍNDIOS";2503308;"SBMS"
"83";"CACIMBA DE AREIA";2503407;"SBKG"
"84";"CACIMBA DE AREIA";2503407;"SBJU"
"85";"CACIMBA DE DENTRO";2503506;"SBKG"
"86";"CACIMBA DE DENTRO";2503506;"SBNT"
"87";"CACIMBAS";2503555;"SBKG"
"88";"CACIMBAS";2503555;"SBMS"
"89";"CAIÇARA";2503605;"SBKG"
"90";"CAIÇARA";2503605;"SBNT"
"91";"CAJAZEIRAS";2503704;"SBJU"
"92";"CAJAZEIRAS";2503704;"SBMS"
"93";"CAJAZEIRINHAS";2503753;"SBKG"
"94";"CAJAZEIRINHAS";2503753;"SBJU"
"95";"CALDAS BRANDÃO";2503803;"SBKG"
"96";"CALDAS BRANDÃO";2503803;"SBJP"
"97";"CAMALAÚ";2503902;"SBKG"
"98";"CAMALAÚ";2503902;"SBRF"
"99";"CAMPINA GRANDE";2504009;"SBKG"
"100";"CAMPINA GRANDE";2504009;"SBJP"
"101";"CAPIM";2504033;"SBKG"
"102";"CAPIM";2504033;"SBNT"
"103";"CARAÚBAS";2504074;"SBKG"
"104";"CARAÚBAS";2504074;"SBRF"
"105";"CARRAPATEIRA";2504108;"SBJU"
"106";"CARRAPATEIRA";2504108;"SBMS"
"107";"CASSERENGUE";2504157;"SBKG"
"108";"CASSERENGUE";2504157;"SBNT"
"109";"CATINGUEIRA";2504207;"SBKG"
"110";"CATINGUEIRA";2504207;"SBJU"
"111";"CATOLÉ DO ROCHA";2504306;"SBKG"
"112";"CATOLÉ DO ROCHA";2504306;"SBJU"
"113";"CATURITÉ";2504355;"SBKG"
"114";"CATURITÉ";2504355;"SBJP"
"115";"CONCEIÇÃO";2504405;"SBJU"
"116";"CONCEIÇÃO";2504405;"SBMS"
"117";"CONDADO";2504504;"SBKG"
"118";"CONDADO";2504504;"SBJU"
"119";"CONDE";2504603;"SBRF"
"120";"CONDE";2504603;"SBJP"
"121";"CONGO";2504702;"SBKG"
"122";"CONGO";2504702;"SBRF"
"123";"COREMAS";2504801;"SBKG"
"124";"COREMAS";2504801;"SBJU"
"125";"COXIXOLA";2504850;"SBKG"
"126";"COXIXOLA";2504850;"SBJP"
"127";"CRUZ DO ESPÍRITO SANTO";2504900;"SBKG"
"128";"CRUZ DO ESPÍRITO SANTO";2504900;"SBJP"
"129";"CUBATI";2505006;"SBKG"
"130";"CUBATI";2505006;"SBNT"
"131";"CUITÉ";2505105;"SBKG"
"132";"CUITÉ";2505105;"SBNT"
"133";"CUITÉ DE MAMANGUAPE";2505238;"SBKG"
"134";"CUITÉ DE MAMANGUAPE";2505238;"SBNT"
"135";"CUITEGI";2505204;"SBKG"
"136";"CUITEGI";2505204;"SBNT"
"137";"CURRAL DE CIMA";2505279;"SBKG"
"138";"CURRAL DE CIMA";2505279;"SBNT"
"139";"CURRAL VELHO";2505303;"SBKG"
"140";"CURRAL VELHO";2505303;"SBJU"
"141";"DAMIÃO";2505352;"SBKG"
"142";"DAMIÃO";2505352;"SBNT"
"143";"DESTERRO";2505402;"SBKG"
"144";"DESTERRO";2505402;"SBMS"
"145";"DIAMANTE";2505600;"SBJU"
"146";"DIAMANTE";2505600;"SBMS"
"147";"DONA INÊS";2505709;"SBKG"
"148";"DONA INÊS";2505709;"SBNT"
"149";"DUAS ESTRADAS";2505808;"SBKG"
"150";"DUAS ESTRADAS";2505808;"SBNT"
"151";"EMAS";2505907;"SBKG"
"152";"EMAS";2505907;"SBJU"
"153";"ESPERANÇA";2506004;"SBKG"
"154";"ESPERANÇA";2506004;"SBNT"
"155";"FAGUNDES";2506103;"SBKG"
"156";"FAGUNDES";2506103;"SBJP"
"157";"FREI MARTINHO";2506202;"SBKG"
"158";"FREI MARTINHO";2506202;"SBNT"
"159";"GADO BRAVO";2506251;"SBKG"
"160";"GADO BRAVO";2506251;"SBJP"
"161";"GUARABIRA";2506301;"SBKG"
"162";"GUARABIRA";2506301;"SBNT"
"163";"GURINHÉM";2506400;"SBKG"
"164";"GURINHÉM";2506400;"SBJP"
"165";"GURJÃO";2506509;"SBKG"
"166";"GURJÃO";2506509;"SBJP"
"167";"IBIARA";2506608;"SBJU"
"168";"IBIARA";2506608;"SBMS"
"169";"IGARACY";2502607;"SBKG"
"170";"IGARACY";2502607;"SBJU"
"171";"IMACULADA";2506707;"SBKG"
"172";"IMACULADA";2506707;"SBJU"
"173";"INGÁ";2506806;"SBKG"
"174";"INGÁ";2506806;"SBJP"
"175";"ITABAIANA";2506905;"SBKG"
"176";"ITABAIANA";2506905;"SBJP"
"177";"ITAPORANGA";2507002;"SBJU"
"178";"ITAPORANGA";2507002;"SBMS"
"179";"ITAPOROROCA";2507101;"SBKG"
"180";"ITAPOROROCA";2507101;"SBNT"
"181";"ITATUBA";2507200;"SBKG"
"182";"ITATUBA";2507200;"SBJP"
"183";"JACARAÚ";2507309;"SBKG"
"184";"JACARAÚ";2507309;"SBNT"
"185";"JERICÓ";2507408;"SBKG"
"186";"JERICÓ";2507408;"SBJU"
"187";"JOÃO PESSOA";2507507;"SBRF"
