"";"Município";"Código";"ICAO"
"1";"ABREU E LIMA";2600054;"SBRF"
"2";"ABREU E LIMA";2600054;"SBJP"
"3";"AFOGADOS DA INGAZEIRA";2600104;"SBKG"
"4";"AFOGADOS DA INGAZEIRA";2600104;"SBJU"
"5";"AFRÂNIO";2600203;"SBPL"
"6";"AFRÂNIO";2600203;"SBJU"
"7";"AGRESTINA";2600302;"SBMO"
"8";"AGRESTINA";2600302;"SBRF"
"9";"ÁGUA PRETA";2600401;"SBMO"
"10";"ÁGUA PRETA";2600401;"SBRF"
"11";"ÁGUAS BELAS";2600500;"SBMO"
"12";"ÁGUAS BELAS";2600500;"SBUF"
"13";"ALAGOINHA";2600609;"SBMO"
"14";"ALAGOINHA";2600609;"SBKG"
"15";"ALIANÇA";2600708;"SBRF"
"16";"ALIANÇA";2600708;"SBJP"
"17";"ALTINHO";2600807;"SBMO"
"18";"ALTINHO";2600807;"SBKG"
"19";"AMARAJI";2600906;"SBKG"
"20";"AMARAJI";2600906;"SBRF"
"21";"ANGELIM";2601003;"SBMO"
"22";"ANGELIM";2601003;"SBRF"
"23";"ARAÇOIABA";2601052;"SBRF"
"24";"ARAÇOIABA";2601052;"SBJP"
"25";"ARARIPINA";2601102;"SBPL"
"26";"ARARIPINA";2601102;"SBJU"
"27";"ARCOVERDE";2601201;"SBMO"
"28";"ARCOVERDE";2601201;"SBKG"
"29";"BARRA DE GUABIRABA";2601300;"SBMO"
"30";"BARRA DE GUABIRABA";2601300;"SBRF"
"31";"BARREIROS";2601409;"SBMO"
"32";"BARREIROS";2601409;"SBRF"
"33";"BELÉM DE MARIA";2601508;"SBMO"
"34";"BELÉM DE MARIA";2601508;"SBRF"
"35";"BELÉM DO SÃO FRANCISCO";2601607;"SBPL"
"36";"BELÉM DO SÃO FRANCISCO";2601607;"SBJU"
"37";"BELO JARDIM";2601706;"SBMO"
"38";"BELO JARDIM";2601706;"SBKG"
"39";"BETÂNIA";2601805;"SBKG"
"40";"BETÂNIA";2601805;"SBJU"
"41";"BEZERROS";2601904;"SBKG"
"42";"BEZERROS";2601904;"SBRF"
"43";"BODOCÓ";2602001;"SBPL"
"44";"BODOCÓ";2602001;"SBJU"
"45";"BOM CONSELHO";2602100;"SBMO"
"46";"BOM CONSELHO";2602100;"SBUF"
"47";"BOM JARDIM";2602209;"SBKG"
"48";"BOM JARDIM";2602209;"SBRF"
"49";"BONITO";2602308;"SBMO"
"50";"BONITO";2602308;"SBRF"
"51";"BREJÃO";2602407;"SBMO"
"52";"BREJÃO";2602407;"SBUF"
"53";"BREJINHO";2602506;"SBKG"
"54";"BREJINHO";2602506;"SBJU"
"55";"BREJO DA MADRE DE DEUS";2602605;"SBKG"
"56";"BREJO DA MADRE DE DEUS";2602605;"SBRF"
"57";"BUENOS AIRES";2602704;"SBKG"
"58";"BUENOS AIRES";2602704;"SBRF"
"59";"BUÍQUE";2602803;"SBMO"
"60";"BUÍQUE";2602803;"SBUF"
"61";"CABO DE SANTO AGOSTINHO";2602902;"SBRF"
"62";"CABO DE SANTO AGOSTINHO";2602902;"SBJP"
"63";"CABROBÓ";2603009;"SBPL"
"64";"CABROBÓ";2603009;"SBJU"
"65";"CACHOEIRINHA";2603108;"SBMO"
"66";"CACHOEIRINHA";2603108;"SBKG"
"67";"CAETÉS";2603207;"SBMO"
"68";"CAETÉS";2603207;"SBUF"
"69";"CALÇADO";2603306;"SBMO"
"70";"CALÇADO";2603306;"SBRF"
"71";"CALUMBI";2603405;"SBKG"
"72";"CALUMBI";2603405;"SBJU"
"73";"CAMARAGIBE";2603454;"SBKG"
"74";"CAMARAGIBE";2603454;"SBNT"
