"";"Município";"Código";"ICAO"
"1";"ACAUÃ";2200053;"SBPL"
"2";"ACAUÃ";2200053;"SBJU"
"3";"AGRICOLÂNDIA";2200103;"SBTE"
"4";"AGRICOLÂNDIA";2200103;"SBPB"
"5";"ÁGUA BRANCA";2200202;"SBTE"
"6";"ÁGUA BRANCA";2200202;"SBPB"
"7";"ALAGOINHA DO PIAUÍ";2200251;"SBPL"
"8";"ALAGOINHA DO PIAUÍ";2200251;"SBJU"
"9";"ALEGRETE DO PIAUÍ";2200277;"SBPL"
"10";"ALEGRETE DO PIAUÍ";2200277;"SBJU"
"11";"ALTO LONGÁ";2200301;"SBTE"
"12";"ALTO LONGÁ";2200301;"SBPB"
"13";"ALTOS";2200400;"SBTE"
"14";"ALTOS";2200400;"SBPB"
"15";"ALVORADA DO GURGUÉIA";2200459;"SBPL"
"16";"ALVORADA DO GURGUÉIA";2200459;"SBTE"
"17";"AMARANTE";2200509;"SBTE"
"18";"AMARANTE";2200509;"SBJU"
"19";"ANGICAL DO PIAUÍ";2200608;"SBTE"
"20";"ANGICAL DO PIAUÍ";2200608;"SBPB"
"21";"ANÍSIO DE ABREU";2200707;"SBPL"
"22";"ANÍSIO DE ABREU";2200707;"SBLE"
"23";"ANTÔNIO ALMEIDA";2200806;"SBTE"
"24";"ANTÔNIO ALMEIDA";2200806;"SBCI"
"25";"AROAZES";2200905;"SBTE"
"26";"AROAZES";2200905;"SBJU"
"27";"AROEIRAS DO ITAIM";2200954;"SBPL"
"28";"AROEIRAS DO ITAIM";2200954;"SBJU"
"29";"ARRAIAL";2201002;"SBTE"
"30";"ARRAIAL";2201002;"SBJU"
"31";"ASSUNÇÃO DO PIAUÍ";2201051;"SBTE"
"32";"ASSUNÇÃO DO PIAUÍ";2201051;"SBJU"
"33";"AVELINO LOPES";2201101;"SBPL"
"34";"AVELINO LOPES";2201101;"SBLE"
"35";"BAIXA GRANDE DO RIBEIRO";2201150;"SBPJ"
"36";"BAIXA GRANDE DO RIBEIRO";2201150;"SBCI"
"37";"BARRA D'ALCÂNTARA";2201176;"SBTE"
"38";"BARRA D'ALCÂNTARA";2201176;"SBJU"
"39";"BARRAS";2201200;"SBSL"
"40";"BARRAS";2201200;"SBTE"
"41";"BARREIRAS DO PIAUÍ";2201309;"SBPJ"
"42";"BARREIRAS DO PIAUÍ";2201309;"SBCI"
"43";"BARRO DURO";2201408;"SBTE"
"44";"BARRO DURO";2201408;"SBPB"
"45";"BATALHA";2201507;"SBSL"
"46";"BATALHA";2201507;"SBTE"
"47";"BELA VISTA DO PIAUÍ";2201556;"SBPL"
"48";"BELA VISTA DO PIAUÍ";2201556;"SBJU"
"49";"BELÉM DO PIAUÍ";2201572;"SBPL"
"50";"BELÉM DO PIAUÍ";2201572;"SBJU"
"51";"BENEDITINOS";2201606;"SBTE"
"52";"BENEDITINOS";2201606;"SBPB"
"53";"BERTOLÍNIA";2201705;"SBTE"
"54";"BERTOLÍNIA";2201705;"SBCI"
"55";"BETÂNIA DO PIAUÍ";2201739;"SBPL"
"56";"BETÂNIA DO PIAUÍ";2201739;"SBJU"
"57";"BOA HORA";2201770;"SBTE"
"58";"BOA HORA";2201770;"SBPB"
"59";"BOCAINA";2201804;"SBTE"
"60";"BOCAINA";2201804;"SBJU"
"61";"BOM JESUS";2201903;"SBPJ"
"62";"BOM JESUS";2201903;"SBCI"
"63";"BOM PRINCÍPIO DO PIAUÍ";2201919;"SBSL"
"64";"BOM PRINCÍPIO DO PIAUÍ";2201919;"SBTE"
"65";"BONFIM DO PIAUÍ";2201929;"SBPL"
"66";"BONFIM DO PIAUÍ";2201929;"SBLE"
"67";"BOQUEIRÃO DO PIAUÍ";2201945;"SBTE"
"68";"BOQUEIRÃO DO PIAUÍ";2201945;"SBPB"
"69";"BRASILEIRA";2201960;"SBTE"
"70";"BRASILEIRA";2201960;"SBPB"
"71";"BREJO DO PIAUÍ";2201988;"SBPL"
"72";"BREJO DO PIAUÍ";2201988;"SBTE"
"73";"BURITI DOS LOPES";2202000;"SBSL"
"74";"BURITI DOS LOPES";2202000;"SBTE"
"75";"BURITI DOS MONTES";2202026;"SBTE"
"76";"BURITI DOS MONTES";2202026;"SBPB"
"77";"CABECEIRAS DO PIAUÍ";2202059;"SBTE"
"78";"CABECEIRAS DO PIAUÍ";2202059;"SBPB"
"79";"CAJAZEIRAS DO PIAUÍ";2202075;"SBPL"
"80";"CAJAZEIRAS DO PIAUÍ";2202075;"SBTE"
"81";"CAJUEIRO DA PRAIA";2202083;"SBSL"
"82";"CAJUEIRO DA PRAIA";2202083;"SBTE"
"83";"CALDEIRÃO GRANDE DO PIAUÍ";2202091;"SBPL"
"84";"CALDEIRÃO GRANDE DO PIAUÍ";2202091;"SBJU"
"85";"CAMPINAS DO PIAUÍ";2202109;"SBPL"
"86";"CAMPINAS DO PIAUÍ";2202109;"SBJU"
"87";"CAMPO ALEGRE DO FIDALGO";2202117;"SBPL"
"88";"CAMPO ALEGRE DO FIDALGO";2202117;"SBJU"
"89";"CAMPO GRANDE DO PIAUÍ";2202133;"SBPL"
"90";"CAMPO GRANDE DO PIAUÍ";2202133;"SBJU"
"91";"CAMPO LARGO DO PIAUÍ";2202174;"SBSL"
"92";"CAMPO LARGO DO PIAUÍ";2202174;"SBTE"
"93";"CAMPO MAIOR";2202208;"SBTE"
"94";"CAMPO MAIOR";2202208;"SBPB"
"95";"CANAVIEIRA";2202251;"SBPL"
"96";"CANAVIEIRA";2202251;"SBTE"
"97";"CANTO DO BURITI";2202307;"SBPL"
"98";"CANTO DO BURITI";2202307;"SBTE"
"99";"CAPITÃO DE CAMPOS";2202406;"SBTE"
"100";"CAPITÃO DE CAMPOS";2202406;"SBPB"
"101";"CAPITÃO GERVÁSIO OLIVEIRA";2202455;"SBPL"
"102";"CAPITÃO GERVÁSIO OLIVEIRA";2202455;"SBJU"
"103";"CARACOL";2202505;"SBPL"
"104";"CARACOL";2202505;"SBLE"
"105";"CARAÚBAS DO PIAUÍ";2202539;"SBSL"
"106";"CARAÚBAS DO PIAUÍ";2202539;"SBTE"
"107";"CARIDADE DO PIAUÍ";2202554;"SBPL"
"108";"CARIDADE DO PIAUÍ";2202554;"SBJU"
