"";"Município";"Código";"ICAO"
"1";"ABATIÁ";4100103;"SBLO"
"2";"ADRIANÓPOLIS";4100202;"SBBI"
"3";"ADRIANÓPOLIS";4100202;"SBCT"
"4";"AGUDOS DO SUL";4100301;"SBJV"
"5";"AGUDOS DO SUL";4100301;"SBBI"
"6";"ALMIRANTE TAMANDARÉ";4100400;"SBBI"
"7";"ALMIRANTE TAMANDARÉ";4100400;"SBCT"
"8";"ALTAMIRA DO PARANÁ";4100459;"SBCA"
"9";"ALTO PARAÍSO";4128625;"SBMG"
"10";"ALTO PARAÍSO";4128625;"SBCA"
"11";"ALTO PARANÁ";4100608;"SBLO"
"12";"ALTO PARANÁ";4100608;"SBMG"
"13";"ALTO PIQUIRI";4100707;"SBMG"
"14";"ALTO PIQUIRI";4100707;"SBCA"
"15";"ALTÔNIA";4100509;"SBFI"
"16";"ALTÔNIA";4100509;"SBCA"
"17";"ALVORADA DO SUL";4100806;"SBLO"
"18";"ALVORADA DO SUL";4100806;"SBDN"
"19";"AMAPORÃ";4100905;"SBLO"
"20";"AMAPORÃ";4100905;"SBMG"
"21";"AMPÉRE";4101002;"SBFI"
"22";"AMPÉRE";4101002;"SBCA"
"23";"ANAHY";4101051;"SBFI"
"24";"ANAHY";4101051;"SBCA"
"25";"ANDIRÁ";4101101;"SBLO"
"26";"ANDIRÁ";4101101;"SBML"
"27";"ÂNGULO";4101150;"SBLO"
"28";"ÂNGULO";4101150;"SBMG"
"29";"ANTONINA";4101200;"SBBI"
"30";"ANTONINA";4101200;"SBCT"
"31";"ANTÔNIO OLINTO";4101309;"SBBI"
"32";"ANTÔNIO OLINTO";4101309;"SBCT"
"33";"APUCARANA";4101408;"SBLO"
"34";"APUCARANA";4101408;"SBMG"
"35";"ARAPONGAS";4101507;"SBLO"
"36";"ARAPONGAS";4101507;"SBMG"
"37";"ARAPOTI";4101606;"SBLO"
"38";"ARAPOTI";4101606;"SBGS"
"39";"ARAPUÃ";4101655;"SBMG"
"40";"ARARUNA";4101705;"SBMG"
"41";"ARARUNA";4101705;"SBCA"
"42";"ARAUCÁRIA";4101804;"SBBI"
"43";"ARAUCÁRIA";4101804;"SBCT"
"44";"ARIRANHA DO IVAÍ";4101853;"SBMG"
"45";"ASSAÍ";4101903;"SBLO"
"46";"ASSIS CHATEAUBRIAND";4102000;"SBFI"
"47";"ASSIS CHATEAUBRIAND";4102000;"SBCA"
"48";"ASTORGA";4102109;"SBLO"
"49";"ASTORGA";4102109;"SBMG"
"50";"ATALAIA";4102208;"SBLO"
"51";"ATALAIA";4102208;"SBMG"
"52";"BALSA NOVA";4102307;"SBBI"
"53";"BALSA NOVA";4102307;"SBCT"
"54";"BANDEIRANTES";4102406;"SBLO"
"55";"BARBOSA FERRAZ";4102505;"SBLO"
"56";"BARBOSA FERRAZ";4102505;"SBMG"
"57";"BARRA DO JACARÉ";4102703;"SBLO"
"58";"BARRA DO JACARÉ";4102703;"SBML"
"59";"BARRACÃO";4102604;"SBFI"
"60";"BARRACÃO";4102604;"SBCH"
"61";"BELA VISTA DA CAROBA";4102752;"SBFI"
"62";"BELA VISTA DA CAROBA";4102752;"SBCA"
