"";"Município";"Código";"ICAO"
"1";"ANGRA DOS REIS";3300100;"SBGW"
"2";"ANGRA DOS REIS";3300100;"SBSC"
"3";"APERIBÉ";3300159;"SBCP"
"4";"APERIBÉ";3300159;"SBME"
"5";"ARARUAMA";3300209;"SBCB"
"6";"ARARUAMA";3300209;"SBES"
"7";"AREAL";3300225;"SBGL"
"8";"AREAL";3300225;"SBRJ"
"9";"ARMAÇÃO DOS BÚZIOS";3300233;"SBME"
"10";"ARMAÇÃO DOS BÚZIOS";3300233;"SBES"
"11";"ARRAIAL DO CABO";3300258;"SBCB"
"12";"ARRAIAL DO CABO";3300258;"SBES"
"13";"BARRA DO PIRAÍ";3300308;"SBSC"
"14";"BARRA DO PIRAÍ";3300308;"SBRS"
"15";"BARRA MANSA";3300407;"SBAF"
"16";"BARRA MANSA";3300407;"SBSC"
"17";"BELFORD ROXO";3300456;"SBGL"
"18";"BELFORD ROXO";3300456;"SBRJ"
"19";"BOM JARDIM";3300506;"SBME"
"20";"BOM JARDIM";3300506;"SBES"
"21";"BOM JESUS DO ITABAPOANA";3300605;"SBCP"
"22";"BOM JESUS DO ITABAPOANA";3300605;"SBME"
"23";"CABO FRIO";3300704;"SBCB"
"24";"CABO FRIO";3300704;"SBES"
"25";"CACHOEIRAS DE MACACU";3300803;"SBGL"
"26";"CACHOEIRAS DE MACACU";3300803;"SBRJ"
"27";"CAMBUCI";3300902;"SBCP"
"28";"CAMBUCI";3300902;"SBME"
"29";"CAMPOS DOS GOYTACAZES";3301009;"SBCP"
"30";"CAMPOS DOS GOYTACAZES";3301009;"SBME"
"31";"CANTAGALO";3301108;"SBME"
"32";"CANTAGALO";3301108;"SBJF"
"33";"CARAPEBUS";3300936;"SBCP"
"34";"CARAPEBUS";3300936;"SBME"
"35";"CARDOSO MOREIRA";3301157;"SBCP"
"36";"CARDOSO MOREIRA";3301157;"SBME"
"37";"CARMO";3301207;"SBME"
"38";"CARMO";3301207;"SBJF"
"39";"CASIMIRO DE ABREU";3301306;"SBME"
"40";"CASIMIRO DE ABREU";3301306;"SBES"
"41";"COMENDADOR LEVY GASPARIAN";3300951;"SBGL"
"42";"COMENDADOR LEVY GASPARIAN";3300951;"SBJF"
"43";"CONCEIÇÃO DE MACABU";3301405;"SBCP"
"44";"CONCEIÇÃO DE MACABU";3301405;"SBME"
"45";"CORDEIRO";3301504;"SBME"
"46";"CORDEIRO";3301504;"SBES"
"47";"DUAS BARRAS";3301603;"SBME"
"48";"DUAS BARRAS";3301603;"SBES"
"49";"DUQUE DE CAXIAS";3301702;"SBGL"
"50";"DUQUE DE CAXIAS";3301702;"SBAF"
"51";"ENGENHEIRO PAULO DE FRONTIN";3301801;"SBAF"
"52";"ENGENHEIRO PAULO DE FRONTIN";3301801;"SBSC"
"53";"GUAPIMIRIM";3301850;"SBGL"
"54";"GUAPIMIRIM";3301850;"SBRJ"
"55";"IGUABA GRANDE";3301876;"SBCB"
"56";"IGUABA GRANDE";3301876;"SBES"
"57";"ITABORAÍ";3301900;"SBGL"
"58";"ITABORAÍ";3301900;"SBRJ"
"59";"ITAGUAÍ";3302007;"SBAF"
"60";"ITAGUAÍ";3302007;"SBSC"
"61";"ITALVA";3302056;"SBCP"
"62";"ITALVA";3302056;"SBME"
"63";"ITAOCARA";3302106;"SBCP"
"64";"ITAOCARA";3302106;"SBME"
