"";"Município";"Código";"ICAO"
"1";"ACARI";2400109;"SBKG"
"2";"ACARI";2400109;"SBNT"
"3";"AÇU";2400208;"SBKG"
"4";"AÇU";2400208;"SBNT"
"5";"AFONSO BEZERRA";2400307;"SBKG"
"6";"AFONSO BEZERRA";2400307;"SBNT"
"7";"ÁGUA NOVA";2400406;"SBFZ"
"8";"ÁGUA NOVA";2400406;"SBJU"
"9";"ALEXANDRIA";2400505;"SBKG"
"10";"ALEXANDRIA";2400505;"SBJU"
"11";"ALMINO AFONSO";2400604;"SBKG"
"12";"ALMINO AFONSO";2400604;"SBJU"
"13";"ALTO DO RODRIGUES";2400703;"SBKG"
"14";"ALTO DO RODRIGUES";2400703;"SBNT"
"15";"ANGICOS";2400802;"SBKG"
"16";"ANGICOS";2400802;"SBNT"
"17";"ANTÔNIO MARTINS";2400901;"SBKG"
"18";"ANTÔNIO MARTINS";2400901;"SBJU"
"19";"APODI";2401008;"SBFZ"
"20";"APODI";2401008;"SBJU"
"21";"AREIA BRANCA";2401107;"SBFZ"
"22";"AREIA BRANCA";2401107;"SBNT"
"23";"ARÊS";2401206;"SBKG"
"24";"ARÊS";2401206;"SBNT"
"25";"AUGUSTO SEVERO";2401305;"SBKG"
"26";"AUGUSTO SEVERO";2401305;"SBNT"
"27";"BAÍA FORMOSA";2401404;"SBKG"
"28";"BAÍA FORMOSA";2401404;"SBNT"
"29";"BARAÚNA";2401453;"SBFZ"
"30";"BARAÚNA";2401453;"SBNT"
"31";"BARCELONA";2401503;"SBKG"
"32";"BARCELONA";2401503;"SBNT"
"33";"BENTO FERNANDES";2401602;"SBKG"
"34";"BENTO FERNANDES";2401602;"SBNT"
"35";"BODÓ";2401651;"SBKG"
"36";"BODÓ";2401651;"SBNT"
"37";"BOM JESUS";2401701;"SBKG"
"38";"BOM JESUS";2401701;"SBNT"
"39";"BREJINHO";2401800;"SBKG"
"40";"BREJINHO";2401800;"SBNT"
"41";"CAIÇARA DO NORTE";2401859;"SBKG"
"42";"CAIÇARA DO NORTE";2401859;"SBNT"
"43";"CAIÇARA DO RIO DO VENTO";2401909;"SBKG"
"44";"CAIÇARA DO RIO DO VENTO";2401909;"SBNT"
"45";"CAICÓ";2402006;"SBKG"
"46";"CAICÓ";2402006;"SBNT"
"47";"CAMPO REDONDO";2402105;"SBKG"
"48";"CAMPO REDONDO";2402105;"SBNT"
"49";"CANGUARETAMA";2402204;"SBKG"
"50";"CANGUARETAMA";2402204;"SBNT"
"51";"CARAÚBAS";2402303;"SBFZ"
"52";"CARAÚBAS";2402303;"SBJU"
"53";"CARNAÚBA DOS DANTAS";2402402;"SBKG"
"54";"CARNAÚBA DOS DANTAS";2402402;"SBNT"
"55";"CARNAUBAIS";2402501;"SBFZ"
"56";"CARNAUBAIS";2402501;"SBNT"
"57";"CEARÁ-MIRIM";2402600;"SBKG"
"58";"CEARÁ-MIRIM";2402600;"SBNT"
"59";"CERRO CORÁ";2402709;"SBKG"
"60";"CERRO CORÁ";2402709;"SBNT"
"61";"CORONEL EZEQUIEL";2402808;"SBKG"
"62";"CORONEL EZEQUIEL";2402808;"SBNT"
"63";"CORONEL JOÃO PESSOA";2402907;"SBFZ"
"64";"CORONEL JOÃO PESSOA";2402907;"SBJU"
"65";"CRUZETA";2403004;"SBKG"
"66";"CRUZETA";2403004;"SBNT"
"67";"CURRAIS NOVOS";2403103;"SBKG"
"68";"CURRAIS NOVOS";2403103;"SBNT"
"69";"DOUTOR SEVERIANO";2403202;"SBFZ"
"70";"DOUTOR SEVERIANO";2403202;"SBJU"
"71";"ENCANTO";2403301;"SBFZ"
"72";"ENCANTO";2403301;"SBJU"
"73";"EQUADOR";2403400;"SBKG"
"74";"EQUADOR";2403400;"SBNT"
"75";"ESPÍRITO SANTO";2403509;"SBKG"
"76";"ESPÍRITO SANTO";2403509;"SBNT"
"77";"EXTREMOZ";2403608;"SBKG"
"78";"EXTREMOZ";2403608;"SBNT"
"79";"FELIPE GUERRA";2403707;"SBFZ"
"80";"FELIPE GUERRA";2403707;"SBJU"
"81";"FERNANDO PEDROZA";2403756;"SBKG"
"82";"FERNANDO PEDROZA";2403756;"SBNT"
"83";"FLORÂNIA";2403806;"SBKG"
"84";"FLORÂNIA";2403806;"SBNT"
"85";"FRANCISCO DANTAS";2403905;"SBFZ"
"86";"FRANCISCO DANTAS";2403905;"SBJU"
"87";"FRUTUOSO GOMES";2404002;"SBKG"
"88";"FRUTUOSO GOMES";2404002;"SBJU"
"89";"GALINHOS";2404101;"SBKG"
"90";"GALINHOS";2404101;"SBNT"
"91";"GOIANINHA";2404200;"SBKG"
"92";"GOIANINHA";2404200;"SBNT"
"93";"GOVERNADOR DIX-SEPT ROSADO";2404309;"SBFZ"
"94";"GOVERNADOR DIX-SEPT ROSADO";2404309;"SBNT"
"95";"GROSSOS";2404408;"SBFZ"
"96";"GROSSOS";2404408;"SBNT"
"97";"GUAMARÉ";2404507;"SBKG"
"98";"GUAMARÉ";2404507;"SBNT"
"99";"IELMO MARINHO";2404606;"SBKG"
"100";"IELMO MARINHO";2404606;"SBNT"
"101";"IPANGUAÇU";2404705;"SBKG"
"102";"IPANGUAÇU";2404705;"SBNT"
"103";"IPUEIRA";2404804;"SBKG"
"104";"IPUEIRA";2404804;"SBNT"
"105";"ITAJÁ";2404853;"SBKG"
"106";"ITAJÁ";2404853;"SBNT"
"107";"ITAÚ";2404903;"SBFZ"
"108";"ITAÚ";2404903;"SBJU"
"109";"JAÇANÃ";2405009;"SBKG"
"110";"JAÇANÃ";2405009;"SBNT"
"111";"JANDAÍRA";2405108;"SBKG"
"112";"JANDAÍRA";2405108;"SBNT"
"113";"JANDUÍS";2405207;"SBKG"
"114";"JANDUÍS";2405207;"SBJU"
"115";"JANUÁRIO CICCO";2405306;"SBKG"
"116";"JANUÁRIO CICCO";2405306;"SBNT"
"117";"JAPI";2405405;"SBKG"
"118";"JAPI";2405405;"SBNT"
"119";"JARDIM DE ANGICOS";2405504;"SBKG"
"120";"JARDIM DE ANGICOS";2405504;"SBNT"
"121";"JARDIM DE PIRANHAS";2405603;"SBKG"
"122";"JARDIM DE PIRANHAS";2405603;"SBNT"
"123";"JARDIM DO SERIDÓ";2405702;"SBKG"
"124";"JARDIM DO SERIDÓ";2405702;"SBNT"
"125";"JOÃO CÂMARA";2405801;"SBKG"
"126";"JOÃO CÂMARA";2405801;"SBNT"
"127";"JOÃO DIAS";2405900;"SBKG"
"128";"JOÃO DIAS";2405900;"SBJU"
"129";"JOSÉ DA PENHA";2406007;"SBKG"
"130";"JOSÉ DA PENHA";2406007;"SBJU"
"131";"JUCURUTU";2406106;"SBKG"
