"";"Município";"Código";"ICAO"
"1";"ALTA FLORESTA D'OESTE";1100015;"SBPV"
"2";"ALTA FLORESTA D'OESTE";1100015;"SBGM"
"3";"ALTO ALEGRE DOS PARECIS";1100379;"SBPV"
"4";"ALTO ALEGRE DOS PARECIS";1100379;"SBGM"
"5";"ALTO PARAÍSO";1100403;"SBPV"
"6";"ALTO PARAÍSO";1100403;"SBGM"
"7";"ALVORADA D'OESTE";1100346;"SBPV"
"8";"ALVORADA D'OESTE";1100346;"SBGM"
"9";"ARIQUEMES";1100023;"SBPV"
"10";"ARIQUEMES";1100023;"SBGM"
"11";"BURITIS";1100452;"SBPV"
"12";"BURITIS";1100452;"SBGM"
"13";"CABIXI";1100031;"SBCY"
"14";"CABIXI";1100031;"SBGM"
"15";"CACAULÂNDIA";1100601;"SBPV"
"16";"CACAULÂNDIA";1100601;"SBGM"
"17";"CACOAL";1100049;"SBPV"
"18";"CACOAL";1100049;"SBGM"
"19";"CAMPO NOVO DE RONDÔNIA";1100700;"SBPV"
"20";"CAMPO NOVO DE RONDÔNIA";1100700;"SBGM"
"21";"CANDEIAS DO JAMARI";1100809;"SBPV"
"22";"CANDEIAS DO JAMARI";1100809;"SBGM"
"23";"CASTANHEIRAS";1100908;"SBPV"
"24";"CASTANHEIRAS";1100908;"SBGM"
"25";"CEREJEIRAS";1100056;"SBPV"
"26";"CEREJEIRAS";1100056;"SBGM"
"27";"CHUPINGUAIA";1100924;"SBPV"
"28";"CHUPINGUAIA";1100924;"SBGM"
"29";"COLORADO DO OESTE";1100064;"SBCY"
"30";"COLORADO DO OESTE";1100064;"SBGM"
"31";"CORUMBIARA";1100072;"SBPV"
"32";"CORUMBIARA";1100072;"SBGM"
"33";"COSTA MARQUES";1100080;"SBPV"
"34";"COSTA MARQUES";1100080;"SBGM"
"35";"CUJUBIM";1100940;"SBPV"
"36";"CUJUBIM";1100940;"SBGM"
"37";"ESPIGÃO D'OESTE";1100098;"SBPV"
"38";"ESPIGÃO D'OESTE";1100098;"SBGM"
"39";"GOVERNADOR JORGE TEIXEIRA";1101005;"SBPV"
"40";"GOVERNADOR JORGE TEIXEIRA";1101005;"SBGM"
"41";"GUAJARÁ-MIRIM";1100106;"SBRB"
"42";"GUAJARÁ-MIRIM";1100106;"SBPV"
"43";"ITAPUÃ DO OESTE";1101104;"SBPV"
"44";"ITAPUÃ DO OESTE";1101104;"SBGM"
"45";"JARU";1100114;"SBPV"
"46";"JARU";1100114;"SBGM"
"47";"JI-PARANÁ";1100122;"SBPV"
"48";"JI-PARANÁ";1100122;"SBGM"
"49";"MACHADINHO D'OESTE";1100130;"SBPV"
"50";"MACHADINHO D'OESTE";1100130;"SBMY"
"51";"MINISTRO ANDREAZZA";1101203;"SBPV"
"52";"MINISTRO ANDREAZZA";1101203;"SBGM"
"53";"MIRANTE DA SERRA";1101302;"SBPV"
"54";"MIRANTE DA SERRA";1101302;"SBGM"
"55";"MONTE NEGRO";1101401;"SBPV"
"56";"MONTE NEGRO";1101401;"SBGM"
"57";"NOVA BRASILÂNDIA D'OESTE";1100148;"SBPV"
"58";"NOVA BRASILÂNDIA D'OESTE";1100148;"SBGM"
"59";"NOVA MAMORÉ";1100338;"SBRB"
"60";"NOVA MAMORÉ";1100338;"SBPV"
"61";"NOVA UNIÃO";1101435;"SBPV"
