"";"Município";"Código";"ICAO"
"1";"ALTO ALEGRE";1400050;"SBBV"
"2";"ALTO ALEGRE";1400050;"SBUA"
"3";"AMAJARI";1400027;"SBBV"
"4";"AMAJARI";1400027;"SBUA"
"5";"BOA VISTA";1400100;"SBBV"
"6";"BOA VISTA";1400100;"SBEG"
"7";"BONFIM";1400159;"SBBV"
"8";"BONFIM";1400159;"SBTB"
"9";"CANTÁ";1400175;"SBBV"
"10";"CANTÁ";1400175;"SBEG"
"11";"CARACARAÍ";1400209;"SBBV"
"12";"CARACARAÍ";1400209;"SBEG"
"13";"CAROEBE";1400233;"SBBV"
"14";"CAROEBE";1400233;"SBTB"
"15";"IRACEMA";1400282;"SBBV"
"16";"IRACEMA";1400282;"SBUA"
"17";"MUCAJAÍ";1400308;"SBBV"
"18";"MUCAJAÍ";1400308;"SBUA"
"19";"NORMANDIA";1400407;"SBBV"
"20";"NORMANDIA";1400407;"SBTB"
"21";"PACARAIMA";1400456;"SBBV"
"22";"PACARAIMA";1400456;"SBTB"
"23";"RORAINÓPOLIS";1400472;"SBBV"
"24";"RORAINÓPOLIS";1400472;"SBEG"
"25";"SÃO JOÃO DA BALIZA";1400506;"SBBV"
"26";"SÃO JOÃO DA BALIZA";1400506;"SBEG"
"27";"SÃO LUIZ";1400605;"SBBV"
"28";"SÃO LUIZ";1400605;"SBEG"
"29";"UIRAMUTÃ";1400704;"SBBV"
"30";"UIRAMUTÃ";1400704;"SBTB"
