"";"Município";"Código";"ICAO"
"1";"ACEGUÁ";4300034;"SBBG"
"2";"ACEGUÁ";4300034;"SBPK"
"3";"ÁGUA SANTA";4300059;"SBCH"
"4";"ÁGUA SANTA";4300059;"SBCX"
"5";"AGUDO";4300109;"SBSM"
"6";"AGUDO";4300109;"SBPF"
"7";"AJURICABA";4300208;"SBNM"
"8";"AJURICABA";4300208;"SBPF"
"9";"ALECRIM";4300307;"SBNM"
"10";"ALECRIM";4300307;"SBCH"
"11";"ALEGRETE";4300406;"SBUG"
"12";"ALEGRETE";4300406;"SBNM"
"13";"ALEGRIA";4300455;"SBNM"
"14";"ALEGRIA";4300455;"SBCH"
"15";"ALMIRANTE TAMANDARÉ DO SUL";4300471;"SBCH"
"16";"ALMIRANTE TAMANDARÉ DO SUL";4300471;"SBPF"
"17";"ALPESTRE";4300505;"SBNM"
"18";"ALPESTRE";4300505;"SBCH"
"19";"ALTO ALEGRE";4300554;"SBSM"
"20";"ALTO ALEGRE";4300554;"SBPF"
"21";"ALTO FELIZ";4300570;"SBCO"
"22";"ALTO FELIZ";4300570;"SBPA"
"23";"ALVORADA";4300604;"SBCO"
"24";"ALVORADA";4300604;"SBPA"
"25";"AMARAL FERRADOR";4300638;"SBPK"
"26";"AMARAL FERRADOR";4300638;"SBPA"
"27";"AMETISTA DO SUL";4300646;"SBNM"
"28";"AMETISTA DO SUL";4300646;"SBCH"
"29";"ANDRÉ DA ROCHA";4300661;"SBCX"
"30";"ANDRÉ DA ROCHA";4300661;"SBPF"
"31";"ANTA GORDA";4300703;"SBCO"
"32";"ANTA GORDA";4300703;"SBCX"
"33";"ANTÔNIO PRADO";4300802;"SBCO"
"34";"ANTÔNIO PRADO";4300802;"SBCX"
"35";"ARAMBARÉ";4300851;"SBCO"
"36";"ARAMBARÉ";4300851;"SBPK"
"37";"ARARICÁ";4300877;"SBCO"
"38";"ARARICÁ";4300877;"SBPA"
"39";"ARATIBA";4300901;"SBCH"
"40";"ARATIBA";4300901;"SBPF"
"41";"ARROIO DO MEIO";4301008;"SBCO"
"42";"ARROIO DO MEIO";4301008;"SBPA"
"43";"ARROIO DO PADRE";4301073;"SBBG"
"44";"ARROIO DO PADRE";4301073;"SBPK"
"45";"ARROIO DO SAL";4301057;"SBCN"
"46";"ARROIO DO SAL";4301057;"SBTR"
"47";"ARROIO DO TIGRE";4301206;"SBSM"
"48";"ARROIO DO TIGRE";4301206;"SBPF"
"49";"ARROIO DOS RATOS";4301107;"SBCO"
"50";"ARROIO DOS RATOS";4301107;"SBPA"
"51";"ARROIO GRANDE";4301305;"SBBG"
"52";"ARROIO GRANDE";4301305;"SBPK"
"53";"ARVOREZINHA";4301404;"SBCX"
"54";"ARVOREZINHA";4301404;"SBPF"
"55";"AUGUSTO PESTANA";4301503;"SBNM"
"56";"AUGUSTO PESTANA";4301503;"SBSM"
"57";"ÁUREA";4301552;"SBCH"
"58";"ÁUREA";4301552;"SBPF"
"59";"BAGÉ";4301602;"SBSM"
"60";"BAGÉ";4301602;"SBBG"
"61";"BALNEÁRIO PINHAL";4301636;"SBCO"
"62";"BALNEÁRIO PINHAL";4301636;"SBPA"
"63";"BARÃO";4301651;"SBCO"
"64";"BARÃO";4301651;"SBPA"
"65";"BARÃO DE COTEGIPE";4301701;"SBCH"
"66";"BARÃO DE COTEGIPE";4301701;"SBPF"
"67";"BARÃO DO TRIUNFO";4301750;"SBCO"
"68";"BARÃO DO TRIUNFO";4301750;"SBPA"
"69";"BARRA DO GUARITA";4301859;"SBNM"
"70";"BARRA DO GUARITA";4301859;"SBCH"
"71";"BARRA DO QUARAÍ";4301875;"SBUG"
"72";"BARRA DO QUARAÍ";4301875;"SBSM"
"73";"BARRA DO RIBEIRO";4301909;"SBCO"
"74";"BARRA DO RIBEIRO";4301909;"SBPA"
"75";"BARRA DO RIO AZUL";4301925;"SBCH"
"76";"BARRA DO RIO AZUL";4301925;"SBPF"
"77";"BARRA FUNDA";4301958;"SBCH"
"78";"BARRA FUNDA";4301958;"SBPF"
"79";"BARRACÃO";4301800;"SBPF"
"80";"BARROS CASSAL";4302006;"SBSM"
"81";"BARROS CASSAL";4302006;"SBPF"
"82";"BENJAMIN CONSTANT DO SUL";4302055;"SBCH"
"83";"BENJAMIN CONSTANT DO SUL";4302055;"SBPF"
"84";"BENTO GONÇALVES";4302105;"SBCO"
"85";"BENTO GONÇALVES";4302105;"SBPA"
"86";"BOA VISTA DAS MISSÕES";4302154;"SBNM"
"87";"BOA VISTA DAS MISSÕES";4302154;"SBCH"
"88";"BOA VISTA DO BURICÁ";4302204;"SBNM"
"89";"BOA VISTA DO BURICÁ";4302204;"SBCH"
"90";"BOA VISTA DO CADEADO";4302220;"SBNM"
"91";"BOA VISTA DO CADEADO";4302220;"SBSM"
"92";"BOA VISTA DO INCRA";4302238;"SBNM"
"93";"BOA VISTA DO INCRA";4302238;"SBSM"
"94";"BOA VISTA DO SUL";4302253;"SBCO"
"95";"BOA VISTA DO SUL";4302253;"SBPA"
"96";"BOM JESUS";4302303;"SBCN"
"97";"BOM JESUS";4302303;"SBCM"
"98";"BOM PRINCÍPIO";4302352;"SBCO"
"99";"BOM PRINCÍPIO";4302352;"SBPA"
"100";"BOM PROGRESSO";4302378;"SBNM"
"101";"BOM PROGRESSO";4302378;"SBCH"
"102";"BOM RETIRO DO SUL";4302402;"SBCO"
"103";"BOM RETIRO DO SUL";4302402;"SBPA"
"104";"BOQUEIRÃO DO LEÃO";4302451;"SBSM"
"105";"BOQUEIRÃO DO LEÃO";4302451;"SBCX"
"106";"BOSSOROCA";4302501;"SBNM"
"107";"BOSSOROCA";4302501;"SBSM"
"108";"BOZANO";4302584;"SBNM"
"109";"BOZANO";4302584;"SBPF"
"110";"BRAGA";4302600;"SBNM"
"111";"BRAGA";4302600;"SBCH"
"112";"BROCHIER";4302659;"SBCO"
"113";"BROCHIER";4302659;"SBPA"
"114";"BUTIÁ";4302709;"SBCO"
"115";"BUTIÁ";4302709;"SBPA"
"116";"CAÇAPAVA DO SUL";4302808;"SBSM"
"117";"CAÇAPAVA DO SUL";4302808;"SBBG"
"118";"CACEQUI";4302907;"SBSM"
"119";"CACEQUI";4302907;"SBBG"
"120";"CACHOEIRA DO SUL";4303004;"SBSM"
"121";"CACHOEIRA DO SUL";4303004;"SBBG"
"122";"CACHOEIRINHA";4303103;"SBCO"
"123";"CACHOEIRINHA";4303103;"SBPA"
"124";"CACIQUE DOBLE";4303202;"SBCH"
"125";"CACIQUE DOBLE";4303202;"SBPF"
"126";"CAIBATÉ";4303301;"SBNM"
"127";"CAIBATÉ";4303301;"SBSM"
"128";"CAIÇARA";4303400;"SBNM"
"129";"CAIÇARA";4303400;"SBCH"
"130";"CAMAQUÃ";4303509;"SBPK"
"131";"CAMAQUÃ";4303509;"SBPA"
"132";"CAMARGO";4303558;"SBCX"
"133";"CAMARGO";4303558;"SBPF"
"134";"CAMBARÁ DO SUL";4303608;"SBCN"
"135";"CAMBARÁ DO SUL";4303608;"SBTR"
"136";"CAMPESTRE DA SERRA";4303673;"SBCX"
"137";"CAMPESTRE DA SERRA";4303673;"SBPF"
"138";"CAMPINA DAS MISSÕES";4303707;"SBNM"
"139";"CAMPINA DAS MISSÕES";4303707;"SBSM"
"140";"CAMPINAS DO SUL";4303806;"SBCH"
"141";"CAMPINAS DO SUL";4303806;"SBPF"
"142";"CAMPO BOM";4303905;"SBCO"
"143";"CAMPO BOM";4303905;"SBPA"
"144";"CAMPO NOVO";4304002;"SBNM"
"145";"CAMPO NOVO";4304002;"SBCH"
"146";"CAMPOS BORGES";4304101;"SBSM"
"147";"CAMPOS BORGES";4304101;"SBPF"
"148";"CANDELÁRIA";4304200;"SBSM"
"149";"CANDELÁRIA";4304200;"SBPA"
"150";"CÂNDIDO GODÓI";4304309;"SBNM"
"151";"CÂNDIDO GODÓI";4304309;"SBCH"
"152";"CANDIOTA";4304358;"SBBG"
"153";"CANDIOTA";4304358;"SBPK"
"154";"CANELA";4304408;"SBCO"
"155";"CANELA";4304408;"SBPA"
"156";"CANGUÇU";4304507;"SBBG"
"157";"CANGUÇU";4304507;"SBPK"
"158";"CANOAS";4304606;"SBCO"
"159";"CANOAS";4304606;"SBPA"
"160";"CANUDOS DO VALE";4304614;"SBCO"
"161";"CANUDOS DO VALE";4304614;"SBCX"
"162";"CAPÃO BONITO DO SUL";4304622;"SBCX"
"163";"CAPÃO BONITO DO SUL";4304622;"SBPF"
"164";"CAPÃO DA CANOA";4304630;"SBCN"
"165";"CAPÃO DA CANOA";4304630;"SBTR"
"166";"CAPÃO DO CIPÓ";4304655;"SBNM"
"167";"CAPÃO DO CIPÓ";4304655;"SBSM"
"168";"CAPÃO DO LEÃO";4304663;"SBBG"
"169";"CAPÃO DO LEÃO";4304663;"SBPK"
"170";"CAPELA DE SANTANA";4304689;"SBCO"
"171";"CAPELA DE SANTANA";4304689;"SBPA"
"172";"CAPITÃO";4304697;"SBCO"
"173";"CAPITÃO";4304697;"SBPA"
"174";"CAPIVARI DO SUL";4304671;"SBCO"
"175";"CAPIVARI DO SUL";4304671;"SBPA"
"176";"CARAÁ";4304713;"SBCO"
"177";"CARAÁ";4304713;"SBPA"
"178";"CARAZINHO";4304705;"SBNM"
"179";"CARAZINHO";4304705;"SBPF"
"180";"CARLOS BARBOSA";4304804;"SBCO"
"181";"CARLOS BARBOSA";4304804;"SBPA"
"182";"CARLOS GOMES";4304853;"SBCH"
"183";"CARLOS GOMES";4304853;"SBPF"
"184";"CASCA";4304903;"SBCX"
"185";"CASCA";4304903;"SBPF"
"186";"CASEIROS";4304952;"SBCX"
"187";"CASEIROS";4304952;"SBPF"
"188";"CATUÍPE";4305009;"SBNM"
"189";"CATUÍPE";4305009;"SBPF"
"190";"CAXIAS DO SUL";4305108;"SBCO"
"191";"CAXIAS DO SUL";4305108;"SBPA"
"192";"CENTENÁRIO";4305116;"SBCH"
"193";"CENTENÁRIO";4305116;"SBPF"
"194";"CERRITO";4305124;"SBBG"
"195";"CERRITO";4305124;"SBPK"
"196";"CERRO BRANCO";4305132;"SBSM"
"197";"CERRO BRANCO";4305132;"SBPF"
"198";"CERRO GRANDE";4305157;"SBCH"
"199";"CERRO GRANDE";4305157;"SBPF"
"200";"CERRO GRANDE DO SUL";4305173;"SBCO"
"201";"CERRO GRANDE DO SUL";4305173;"SBPK"
"202";"CERRO LARGO";4305207;"SBNM"
"203";"CERRO LARGO";4305207;"SBSM"
"204";"CHAPADA";4305306;"SBNM"
"205";"CHAPADA";4305306;"SBPF"
"206";"CHARQUEADAS";4305355;"SBCO"
"207";"CHARQUEADAS";4305355;"SBPA"
"208";"CHARRUA";4305371;"SBCH"
"209";"CHARRUA";4305371;"SBCX"
"210";"CHIAPETTA";4305405;"SBNM"
"211";"CHIAPETTA";4305405;"SBCH"
"212";"CHUÍ";4305439;"SBBG"
"213";"CHUÍ";4305439;"SBPK"
"214";"CHUVISCA";4305447;"SBCO"
"215";"CHUVISCA";4305447;"SBPK"
"216";"CIDREIRA";4305454;"SBCO"
"217";"CIDREIRA";4305454;"SBPA"
"218";"CIRÍACO";4305504;"SBCH"
"219";"CIRÍACO";4305504;"SBCX"
"220";"COLINAS";4305587;"SBCO"
"221";"COLINAS";4305587;"SBPA"
"222";"COLORADO";4305603;"SBNM"
"223";"COLORADO";4305603;"SBPF"
"224";"CONDOR";4305702;"SBNM"
"225";"CONDOR";4305702;"SBPF"
"226";"CONSTANTINA";4305801;"SBCH"
"227";"CONSTANTINA";4305801;"SBPF"
"228";"COQUEIRO BAIXO";4305835;"SBCO"
"229";"COQUEIRO BAIXO";4305835;"SBCX"
"230";"COQUEIROS DO SUL";4305850;"SBCH"
"231";"COQUEIROS DO SUL";4305850;"SBPF"
"232";"CORONEL BARROS";4305871;"SBNM"
"233";"CORONEL BARROS";4305871;"SBSM"
"234";"CORONEL BICACO";4305900;"SBNM"
"235";"CORONEL BICACO";4305900;"SBCH"
"236";"CORONEL PILAR";4305934;"SBCO"
"237";"CORONEL PILAR";4305934;"SBPA"
"238";"COTIPORÃ";4305959;"SBCO"
"239";"COTIPORÃ";4305959;"SBCX"
"240";"COXILHA";4305975;"SBCH"
"241";"COXILHA";4305975;"SBPF"
"242";"CRISSIUMAL";4306007;"SBNM"
"243";"CRISSIUMAL";4306007;"SBCH"
"244";"CRISTAL";4306056;"SBPK"
"245";"CRISTAL";4306056;"SBPA"
"246";"CRISTAL DO SUL";4306072;"SBNM"
"247";"CRISTAL DO SUL";4306072;"SBCH"
"248";"CRUZ ALTA";4306106;"SBNM"
"249";"CRUZ ALTA";4306106;"SBSM"
"250";"CRUZALTENSE";4306130;"SBCH"
"251";"CRUZALTENSE";4306130;"SBPF"
"252";"CRUZEIRO DO SUL";4306205;"SBCO"
"253";"CRUZEIRO DO SUL";4306205;"SBPA"
"254";"DAVID CANABARRO";4306304;"SBCH"
"255";"DAVID CANABARRO";4306304;"SBCX"
"256";"DERRUBADAS";4306320;"SBNM"
"257";"DERRUBADAS";4306320;"SBCH"
"258";"DEZESSEIS DE NOVEMBRO";4306353;"SBNM"
"259";"DEZESSEIS DE NOVEMBRO";4306353;"SBSM"
"260";"DILERMANDO DE AGUIAR";4306379;"SBNM"
"261";"DILERMANDO DE AGUIAR";4306379;"SBSM"
"262";"DOIS IRMÃOS";4306403;"SBCO"
"263";"DOIS IRMÃOS";4306403;"SBPA"
"264";"DOIS IRMÃOS DAS MISSÕES";4306429;"SBNM"
"265";"DOIS IRMÃOS DAS MISSÕES";4306429;"SBCH"
"266";"DOIS LAJEADOS";4306452;"SBCO"
"267";"DOIS LAJEADOS";4306452;"SBCX"
"268";"DOM FELICIANO";4306502;"SBCO"
"269";"DOM FELICIANO";4306502;"SBPK"
"270";"DOM PEDRITO";4306601;"SBSM"
"271";"DOM PEDRITO";4306601;"SBBG"
"272";"DOM PEDRO DE ALCÂNTARA";4306551;"SBCN"
"273";"DOM PEDRO DE ALCÂNTARA";4306551;"SBTR"
"274";"DONA FRANCISCA";4306700;"SBNM"
"275";"DONA FRANCISCA";4306700;"SBSM"
"276";"DOUTOR MAURÍCIO CARDOSO";4306734;"SBNM"
"277";"DOUTOR MAURÍCIO CARDOSO";4306734;"SBCH"
"278";"DOUTOR RICARDO";4306759;"SBCO"
"279";"DOUTOR RICARDO";4306759;"SBCX"
"280";"ELDORADO DO SUL";4306767;"SBCO"
"281";"ELDORADO DO SUL";4306767;"SBPA"
"282";"ENCANTADO";4306809;"SBCO"
"283";"ENCANTADO";4306809;"SBCX"
"284";"ENCRUZILHADA DO SUL";4306908;"SBSM"
