"";"Município";"Código";"ICAO"
"1";"ABDON BATISTA";4200051;"SBPF"
"2";"ABDON BATISTA";4200051;"SBLJ"
"3";"ABELARDO LUZ";4200101;"SBCH"
"4";"AGROLÂNDIA";4200200;"SBFL"
"5";"AGROLÂNDIA";4200200;"SBLJ"
"6";"AGRONÔMICA";4200309;"SBNF"
"7";"AGRONÔMICA";4200309;"SBLJ"
"8";"ÁGUA DOCE";4200408;"SBCH"
"9";"ÁGUAS DE CHAPECÓ";4200507;"SBCH"
"10";"ÁGUAS DE CHAPECÓ";4200507;"SBNM"
"11";"ÁGUAS FRIAS";4200556;"SBCH"
"12";"ÁGUAS FRIAS";4200556;"SBPF"
"13";"ÁGUAS MORNAS";4200606;"SBFL"
"14";"ÁGUAS MORNAS";4200606;"SBNF"
"15";"ALFREDO WAGNER";4200705;"SBFL"
"16";"ALFREDO WAGNER";4200705;"SBLJ"
"17";"ALTO BELA VISTA";4200754;"SBCH"
"18";"ALTO BELA VISTA";4200754;"SBPF"
"19";"ANCHIETA";4200804;"SBFI"
"20";"ANCHIETA";4200804;"SBCH"
"21";"ANGELINA";4200903;"SBFL"
"22";"ANGELINA";4200903;"SBNF"
"23";"ANITA GARIBALDI";4201000;"SBPF"
"24";"ANITA GARIBALDI";4201000;"SBLJ"
"25";"ANITÁPOLIS";4201109;"SBFL"
"26";"ANITÁPOLIS";4201109;"SBCN"
"27";"ANTÔNIO CARLOS";4201208;"SBFL"
"28";"ANTÔNIO CARLOS";4201208;"SBNF"
"29";"APIÚNA";4201257;"SBJV"
"30";"APIÚNA";4201257;"SBNF"
"31";"ARABUTÃ";4201273;"SBCH"
"32";"ARABUTÃ";4201273;"SBPF"
"33";"ARAQUARI";4201307;"SBJV"
"34";"ARAQUARI";4201307;"SBNF"
"35";"ARARANGUÁ";4201406;"SBCN"
"36";"ARARANGUÁ";4201406;"SBTR"
"37";"ARMAZÉM";4201505;"SBFL"
"38";"ARMAZÉM";4201505;"SBCN"
"39";"ARROIO TRINTA";4201604;"SBCH"
"40";"ARROIO TRINTA";4201604;"SBLJ"
"41";"ARVOREDO";4201653;"SBCH"
"42";"ARVOREDO";4201653;"SBPF"
"43";"ASCURRA";4201703;"SBFL"
"44";"ASCURRA";4201703;"SBNF"
"45";"ATALANTA";4201802;"SBFL"
"46";"ATALANTA";4201802;"SBLJ"
"47";"AURORA";4201901;"SBNF"
"48";"AURORA";4201901;"SBLJ"
"49";"BALNEÁRIO ARROIO DO SILVA";4201950;"SBCN"
"50";"BALNEÁRIO ARROIO DO SILVA";4201950;"SBTR"
"51";"BALNEÁRIO BARRA DO SUL";4202057;"SBJV"
"52";"BALNEÁRIO BARRA DO SUL";4202057;"SBNF"
"53";"BALNEÁRIO CAMBORIÚ";4202008;"SBFL"
"54";"BALNEÁRIO CAMBORIÚ";4202008;"SBNF"
"55";"BALNEÁRIO GAIVOTA";4202073;"SBCN"
"56";"BALNEÁRIO GAIVOTA";4202073;"SBTR"
"57";"BALNEÁRIO PIÇARRAS";4212809;"SBJV"
"58";"BALNEÁRIO PIÇARRAS";4212809;"SBNF"
"59";"BALNEÁRIO RINCÃO";4220000;"SBCN"
"60";"BALNEÁRIO RINCÃO";4220000;"SBTR"
"61";"BANDEIRANTE";4202081;"SBFI"
"62";"BANDEIRANTE";4202081;"SBCH"
"63";"BARRA BONITA";4202099;"SBFI"
"64";"BARRA BONITA";4202099;"SBCH"
"65";"BARRA VELHA";4202107;"SBJV"
"66";"BARRA VELHA";4202107;"SBNF"
"67";"BELA VISTA DO TOLDO";4202131;"SBLJ"
"68";"BELA VISTA DO TOLDO";4202131;"SBGS"
"69";"BELMONTE";4202156;"SBFI"
"70";"BELMONTE";4202156;"SBCH"
"71";"BENEDITO NOVO";4202206;"SBJV"
"72";"BENEDITO NOVO";4202206;"SBNF"
"73";"BIGUAÇU";4202305;"SBFL"
"74";"BIGUAÇU";4202305;"SBNF"
"75";"BLUMENAU";4202404;"SBJV"
"76";"BLUMENAU";4202404;"SBNF"
"77";"BOCAINA DO SUL";4202438;"SBCN"
"78";"BOCAINA DO SUL";4202438;"SBLJ"
"79";"BOM JARDIM DA SERRA";4202503;"SBCN"
"80";"BOM JARDIM DA SERRA";4202503;"SBLJ"
"81";"BOM JESUS";4202537;"SBCH"
"82";"BOM JESUS";4202537;"SBPF"
"83";"BOM JESUS DO OESTE";4202578;"SBFI"
"84";"BOM JESUS DO OESTE";4202578;"SBCH"
"85";"BOM RETIRO";4202602;"SBFL"
"86";"BOM RETIRO";4202602;"SBLJ"
"87";"BOMBINHAS";4202453;"SBFL"
"88";"BOMBINHAS";4202453;"SBNF"
"89";"BOTUVERÁ";4202701;"SBFL"
"90";"BOTUVERÁ";4202701;"SBNF"
"91";"BRAÇO DO NORTE";4202800;"SBFL"
"92";"BRAÇO DO NORTE";4202800;"SBCN"
"93";"BRAÇO DO TROMBUDO";4202859;"SBLJ"
"94";"BRUNÓPOLIS";4202875;"SBPF"
"95";"BRUNÓPOLIS";4202875;"SBLJ"
"96";"BRUSQUE";4202909;"SBFL"
"97";"BRUSQUE";4202909;"SBNF"
"98";"CAÇADOR";4203006;"SBLJ"
"99";"CAIBI";4203105;"SBCH"
"100";"CAIBI";4203105;"SBNM"
"101";"CALMON";4203154;"SBLJ"
"102";"CAMBORIÚ";4203204;"SBFL"
"103";"CAMBORIÚ";4203204;"SBNF"
"104";"CAMPO ALEGRE";4203303;"SBJV"
"105";"CAMPO ALEGRE";4203303;"SBBI"
"106";"CAMPO BELO DO SUL";4203402;"SBCX"
"107";"CAMPO BELO DO SUL";4203402;"SBLJ"
"108";"CAMPO ERÊ";4203501;"SBFI"
"109";"CAMPO ERÊ";4203501;"SBCH"
"110";"CAMPOS NOVOS";4203600;"SBPF"
"111";"CAMPOS NOVOS";4203600;"SBLJ"
"112";"CANELINHA";4203709;"SBFL"
"113";"CANELINHA";4203709;"SBNF"
"114";"CANOINHAS";4203808;"SBGS"
"115";"CAPÃO ALTO";4203253;"SBCN"
"116";"CAPÃO ALTO";4203253;"SBLJ"
"117";"CAPINZAL";4203907;"SBCH"
"118";"CAPINZAL";4203907;"SBPF"
"119";"CAPIVARI DE BAIXO";4203956;"SBFL"
"120";"CAPIVARI DE BAIXO";4203956;"SBCN"
"121";"CATANDUVAS";4204004;"SBCH"
"122";"CATANDUVAS";4204004;"SBPF"
"123";"CAXAMBU DO SUL";4204103;"SBCH"
"124";"CAXAMBU DO SUL";4204103;"SBNM"
"125";"CELSO RAMOS";4204152;"SBPF"
"126";"CELSO RAMOS";4204152;"SBLJ"
"127";"CERRO NEGRO";4204178;"SBPF"
"128";"CERRO NEGRO";4204178;"SBLJ"
"129";"CHAPADÃO DO LAGEADO";4204194;"SBFL"
"130";"CHAPADÃO DO LAGEADO";4204194;"SBLJ"
"131";"CHAPECÓ";4204202;"SBCH"
"132";"CHAPECÓ";4204202;"SBPF"
"133";"COCAL DO SUL";4204251;"SBCN"
"134";"COCAL DO SUL";4204251;"SBTR"
"135";"CONCÓRDIA";4204301;"SBCH"
"136";"CONCÓRDIA";4204301;"SBPF"
"137";"CORDILHEIRA ALTA";4204350;"SBCH"
"138";"CORDILHEIRA ALTA";4204350;"SBPF"
"139";"CORONEL FREITAS";4204400;"SBCH"
