"";"Município";"Código";"ICAO"
"1";"AMPARO DE SÃO FRANCISCO";2800100;"SBMO"
"2";"AMPARO DE SÃO FRANCISCO";2800100;"SBAR"
"3";"AQUIDABÃ";2800209;"SBAR"
"4";"AQUIDABÃ";2800209;"SBUF"
"5";"ARACAJU";2800308;"SBMO"
"6";"ARACAJU";2800308;"SBAR"
"7";"ARAUÁ";2800407;"SBSV"
"8";"ARAUÁ";2800407;"SBAR"
"9";"AREIA BRANCA";2800506;"SBAR"
"10";"AREIA BRANCA";2800506;"SBUF"
"11";"BARRA DOS COQUEIROS";2800605;"SBMO"
"12";"BARRA DOS COQUEIROS";2800605;"SBAR"
"13";"BOQUIM";2800670;"SBSV"
"14";"BOQUIM";2800670;"SBAR"
"15";"BREJO GRANDE";2800704;"SBMO"
"16";"BREJO GRANDE";2800704;"SBAR"
"17";"CAMPO DO BRITO";2801009;"SBAR"
"18";"CAMPO DO BRITO";2801009;"SBUF"
"19";"CANHOBA";2801108;"SBMO"
"20";"CANHOBA";2801108;"SBAR"
"21";"CANINDÉ DE SÃO FRANCISCO";2801207;"SBMO"
"22";"CANINDÉ DE SÃO FRANCISCO";2801207;"SBAR"
"23";"CAPELA";2801306;"SBMO"
"24";"CAPELA";2801306;"SBAR"
"25";"CARIRA";2801405;"SBMO"
"26";"CARIRA";2801405;"SBAR"
"27";"CARMÓPOLIS";2801504;"SBMO"
"28";"CARMÓPOLIS";2801504;"SBAR"
"29";"CEDRO DE SÃO JOÃO";2801603;"SBMO"
"30";"CEDRO DE SÃO JOÃO";2801603;"SBAR"
"31";"CRISTINÁPOLIS";2801702;"SBSV"
"32";"CRISTINÁPOLIS";2801702;"SBAR"
"33";"CUMBE";2801900;"SBAR"
"34";"CUMBE";2801900;"SBUF"
"35";"DIVINA PASTORA";2802007;"SBAR"
"36";"DIVINA PASTORA";2802007;"SBUF"
"37";"ESTÂNCIA";2802106;"SBSV"
"38";"ESTÂNCIA";2802106;"SBAR"
"39";"FEIRA NOVA";2802205;"SBMO"
"40";"FEIRA NOVA";2802205;"SBAR"
"41";"FREI PAULO";2802304;"SBAR"
"42";"FREI PAULO";2802304;"SBUF"
"43";"GARARU";2802403;"SBMO"
"44";"GARARU";2802403;"SBAR"
"45";"GENERAL MAYNARD";2802502;"SBMO"
"46";"GENERAL MAYNARD";2802502;"SBAR"
"47";"GRACHO CARDOSO";2802601;"SBMO"
"48";"GRACHO CARDOSO";2802601;"SBAR"
"49";"ILHA DAS FLORES";2802700;"SBMO"
"50";"ILHA DAS FLORES";2802700;"SBAR"
"51";"INDIAROBA";2802809;"SBSV"
"52";"INDIAROBA";2802809;"SBAR"
"53";"ITABAIANA";2802908;"SBAR"
"54";"ITABAIANA";2802908;"SBUF"
"55";"ITABAIANINHA";2803005;"SBSV"
"56";"ITABAIANINHA";2803005;"SBAR"
"57";"ITABI";2803104;"SBMO"
"58";"ITABI";2803104;"SBAR"
"59";"ITAPORANGA D'AJUDA";2803203;"SBSV"
"60";"ITAPORANGA D'AJUDA";2803203;"SBAR"
"61";"JAPARATUBA";2803302;"SBMO"
"62";"JAPARATUBA";2803302;"SBAR"
"63";"JAPOATÃ";2803401;"SBMO"
"64";"JAPOATÃ";2803401;"SBAR"
"65";"LAGARTO";2803500;"SBSV"
"66";"LAGARTO";2803500;"SBAR"
"67";"LARANJEIRAS";2803609;"SBAR"
"68";"LARANJEIRAS";2803609;"SBUF"
"69";"MACAMBIRA";2803708;"SBAR"
