"";"Município";"Código";"ICAO"
"1";"ADAMANTINA";3500105;"SBDN"
"2";"ADAMANTINA";3500105;"SBAU"
"3";"ADOLFO";3500204;"SBSR"
"4";"ADOLFO";3500204;"SBAU"
"5";"AGUAÍ";3500303;"SBYS"
"6";"AGUAÍ";3500303;"SBPC"
"7";"ÁGUAS DA PRATA";3500402;"SBYS"
"8";"ÁGUAS DA PRATA";3500402;"SBPC"
"9";"ÁGUAS DE LINDÓIA";3500501;"SBGR"
"10";"ÁGUAS DE LINDÓIA";3500501;"SBSJ"
"11";"ÁGUAS DE SANTA BÁRBARA";3500550;"SBBU"
"12";"ÁGUAS DE SANTA BÁRBARA";3500550;"SBML"
"13";"ÁGUAS DE SÃO PEDRO";3500600;"SBKP"
"14";"ÁGUAS DE SÃO PEDRO";3500600;"SBYS"
"15";"AGUDOS";3500709;"SBBU"
"16";"AGUDOS";3500709;"SBGP"
"17";"ALAMBARI";3500758;"SBSP"
"18";"ALAMBARI";3500758;"SBKP"
"19";"ALFREDO MARCONDES";3500808;"SBDN"
"20";"ALTAIR";3500907;"SBSR"
"21";"ALTINÓPOLIS";3501004;"SBRP"
"22";"ALTINÓPOLIS";3501004;"SBYS"
"23";"ALTO ALEGRE";3501103;"SBML"
"24";"ALTO ALEGRE";3501103;"SBAU"
"25";"ALUMÍNIO";3501152;"SBSP"
"26";"ALUMÍNIO";3501152;"SBKP"
"27";"ÁLVARES FLORENCE";3501202;"SBSR"
"28";"ÁLVARES FLORENCE";3501202;"SBAU"
"29";"ÁLVARES MACHADO";3501301;"SBLO"
"30";"ÁLVARES MACHADO";3501301;"SBDN"
"31";"ÁLVARO DE CARVALHO";3501400;"SBBU"
"32";"ÁLVARO DE CARVALHO";3501400;"SBML"
"33";"ALVINLÂNDIA";3501509;"SBBU"
"34";"ALVINLÂNDIA";3501509;"SBML"
"35";"AMERICANA";3501608;"SBKP"
"36";"AMERICANA";3501608;"SBYS"
"37";"AMÉRICO BRASILIENSE";3501707;"SBGP"
"38";"AMÉRICO BRASILIENSE";3501707;"SBAQ"
"39";"AMÉRICO DE CAMPOS";3501806;"SBSR"
"40";"AMÉRICO DE CAMPOS";3501806;"SBAU"
"41";"AMPARO";3501905;"SBGR"
"42";"AMPARO";3501905;"SBKP"
"43";"ANALÂNDIA";3502002;"SBYS"
"44";"ANALÂNDIA";3502002;"SBAQ"
"45";"ANDRADINA";3502101;"SBDN"
"46";"ANDRADINA";3502101;"SBAU"
"47";"ANGATUBA";3502200;"SBBU"
"48";"ANGATUBA";3502200;"SBKP"
"49";"ANHEMBI";3502309;"SBBU"
"50";"ANHEMBI";3502309;"SBKP"
"51";"ANHUMAS";3502408;"SBLO"
"52";"ANHUMAS";3502408;"SBDN"
"53";"APARECIDA";3502507;"SBGW"
"54";"APARECIDA";3502507;"SBTA"
"55";"APARECIDA D'OESTE";3502606;"SBSR"
"56";"APARECIDA D'OESTE";3502606;"SBAU"
"57";"APIAÍ";3502705;"SBBI"
"58";"APIAÍ";3502705;"SBCT"
"59";"ARAÇARIGUAMA";3502754;"SBMT"
"60";"ARAÇATUBA";3502804;"SBAU"
"61";"ARAÇOIABA DA SERRA";3502903;"SBSP"
"62";"ARAÇOIABA DA SERRA";3502903;"SBKP"
"63";"ARAMINA";3503000;"SBUR"
"64";"ARAMINA";3503000;"SBFC"
"65";"ARANDU";3503109;"SBBU"
"66";"ARANDU";3503109;"SBML"
"67";"ARAPEÍ";3503158;"SBGW"
"68";"ARAPEÍ";3503158;"SBSC"
"69";"ARARAQUARA";3503208;"SBGP"
"70";"ARARAQUARA";3503208;"SBAQ"
"71";"ARARAS";3503307;"SBKP"
"72";"ARARAS";3503307;"SBYS"
"73";"ARCO-ÍRIS";3503356;"SBML"
"74";"ARCO-ÍRIS";3503356;"SBAU"
"75";"AREALVA";3503406;"SBBU"
"76";"AREALVA";3503406;"SBGP"
"77";"AREIAS";3503505;"SBGW"
"78";"AREIAS";3503505;"SBRS"
"79";"AREIÓPOLIS";3503604;"SBBU"
"80";"AREIÓPOLIS";3503604;"SBGP"
"81";"ARIRANHA";3503703;"SBSR"
"82";"ARIRANHA";3503703;"SBGP"
"83";"ARTUR NOGUEIRA";3503802;"SBKP"
"84";"ARTUR NOGUEIRA";3503802;"SBYS"
"85";"ARUJÁ";3503901;"SBGR"
"86";"ARUJÁ";3503901;"SBMT"
"87";"ASPÁSIA";3503950;"SBSR"
"88";"ASPÁSIA";3503950;"SBAU"
"89";"ASSIS";3504008;"SBLO"
"90";"ASSIS";3504008;"SBML"
"91";"ATIBAIA";3504107;"SBGR"
"92";"ATIBAIA";3504107;"SBMT"
"93";"AURIFLAMA";3504206;"SBSR"
"94";"AURIFLAMA";3504206;"SBAU"
"95";"AVAÍ";3504305;"SBBU"
"96";"AVAÍ";3504305;"SBML"
"97";"AVANHANDAVA";3504404;"SBML"
"98";"AVANHANDAVA";3504404;"SBAU"
"99";"AVARÉ";3504503;"SBBU"
"100";"AVARÉ";3504503;"SBGP"
"101";"BADY BASSITT";3504602;"SBSR"
"102";"BALBINOS";3504701;"SBBU"
"103";"BALBINOS";3504701;"SBML"
"104";"BÁLSAMO";3504800;"SBSR"
"105";"BANANAL";3504909;"SBGW"
"106";"BANANAL";3504909;"SBSC"
"107";"BARÃO DE ANTONINA";3505005;"SBBU"
"108";"BARBOSA";3505104;"SBSR"
"109";"BARBOSA";3505104;"SBAU"
"110";"BARIRI";3505203;"SBBU"
"111";"BARIRI";3505203;"SBGP"
"112";"BARRA BONITA";3505302;"SBBU"
"113";"BARRA BONITA";3505302;"SBGP"
"114";"BARRA DO CHAPÉU";3505351;"SBBI"
"115";"BARRA DO CHAPÉU";3505351;"SBCT"
"116";"BARRA DO TURVO";3505401;"SBBI"
"117";"BARRA DO TURVO";3505401;"SBCT"
"118";"BARRETOS";3505500;"SBSR"
"119";"BARRINHA";3505609;"SBRP"
"120";"BARRINHA";3505609;"SBGP"
"121";"BARUERI";3505708;"SBGR"
"122";"BARUERI";3505708;"SBMT"
"123";"BASTOS";3505807;"SBDN"
"124";"BASTOS";3505807;"SBML"
"125";"BATATAIS";3505906;"SBRP"
"126";"BATATAIS";3505906;"SBFC"
"127";"BAURU";3506003;"SBBU"
"128";"BAURU";3506003;"SBML"
"129";"BEBEDOURO";3506102;"SBRP"
"130";"BEBEDOURO";3506102;"SBGP"
"131";"BENTO DE ABREU";3506201;"SBDN"
"132";"BENTO DE ABREU";3506201;"SBAU"
"133";"BERNARDINO DE CAMPOS";3506300;"SBBU"
"134";"BERNARDINO DE CAMPOS";3506300;"SBML"
"135";"BERTIOGA";3506359;"SBSP"
"136";"BERTIOGA";3506359;"SBMT"
"137";"BILAC";3506409;"SBML"
"138";"BILAC";3506409;"SBAU"
"139";"BIRIGUI";3506508;"SBSR"
"140";"BIRIGUI";3506508;"SBAU"
"141";"BIRITIBA-MIRIM";3506607;"SBGR"
"142";"BIRITIBA-MIRIM";3506607;"SBSJ"
"143";"BOA ESPERANÇA DO SUL";3506706;"SBGP"
"144";"BOA ESPERANÇA DO SUL";3506706;"SBAQ"
"145";"BOCAINA";3506805;"SBBU"
"146";"BOCAINA";3506805;"SBGP"
"147";"BOFETE";3506904;"SBBU"
"148";"BOFETE";3506904;"SBKP"
"149";"BOITUVA";3507001;"SBKP"
"150";"BOM JESUS DOS PERDÕES";3507100;"SBGR"
"151";"BOM JESUS DOS PERDÕES";3507100;"SBMT"
"152";"BOM SUCESSO DE ITARARÉ";3507159;"SBBI"
"153";"BOM SUCESSO DE ITARARÉ";3507159;"SBCT"
"154";"BORÁ";3507209;"SBDN"
"155";"BORÁ";3507209;"SBML"
"156";"BORACÉIA";3507308;"SBBU"
"157";"BORACÉIA";3507308;"SBGP"
"158";"BORBOREMA";3507407;"SBBU"
"159";"BORBOREMA";3507407;"SBGP"
"160";"BOREBI";3507456;"SBBU"
"161";"BOREBI";3507456;"SBGP"
"162";"BOTUCATU";3507506;"SBBU"
"163";"BOTUCATU";3507506;"SBGP"
"164";"BRAGANÇA PAULISTA";3507605;"SBGR"
"165";"BRAGANÇA PAULISTA";3507605;"SBKP"
"166";"BRAÚNA";3507704;"SBML"
"167";"BRAÚNA";3507704;"SBAU"
"168";"BREJO ALEGRE";3507753;"SBSR"
"169";"BREJO ALEGRE";3507753;"SBAU"
"170";"BRODOWSKI";3507803;"SBRP"
"171";"BRODOWSKI";3507803;"SBAQ"
"172";"BROTAS";3507902;"SBGP"
"173";"BROTAS";3507902;"SBAQ"
"174";"BURI";3508009;"SBBU"
"175";"BURI";3508009;"SBKP"
"176";"BURITAMA";3508108;"SBSR"
"177";"BURITAMA";3508108;"SBAU"
