"";"Município";"Código";"ICAO"
"1";"ABREULÂNDIA";1700251;"SBPJ"
"2";"ABREULÂNDIA";1700251;"SBAA"
"3";"AGUIARNÓPOLIS";1700301;"SBMA"
"4";"AGUIARNÓPOLIS";1700301;"SBIZ"
"5";"ALIANÇA DO TOCANTINS";1700350;"SBPJ"
"6";"ALIANÇA DO TOCANTINS";1700350;"SBPN"
"7";"ALMAS";1700400;"SBPJ"
"8";"ALMAS";1700400;"SBPN"
"9";"ALVORADA";1700707;"SBPN"
"10";"ANANÁS";1701002;"SBMA"
"11";"ANANÁS";1701002;"SBIZ"
"12";"ANGICO";1701051;"SBMA"
"13";"ANGICO";1701051;"SBIZ"
"14";"APARECIDA DO RIO NEGRO";1701101;"SBPJ"
"15";"APARECIDA DO RIO NEGRO";1701101;"SBAA"
"16";"ARAGOMINAS";1701309;"SBCJ"
"17";"ARAGOMINAS";1701309;"SBCI"
"18";"ARAGUACEMA";1701903;"SBPJ"
"19";"ARAGUACEMA";1701903;"SBAA"
"20";"ARAGUAÇU";1702000;"SBPN"
"21";"ARAGUAÍNA";1702109;"SBCJ"
"22";"ARAGUAÍNA";1702109;"SBCI"
"23";"ARAGUANÃ";1702158;"SBMA"
"24";"ARAGUANÃ";1702158;"SBCJ"
"25";"ARAGUATINS";1702208;"SBMA"
"26";"ARAGUATINS";1702208;"SBIZ"
"27";"ARAPOEMA";1702307;"SBCJ"
"28";"ARAPOEMA";1702307;"SBCI"
"29";"ARRAIAS";1702406;"SBPJ"
"30";"ARRAIAS";1702406;"SBPN"
"31";"AUGUSTINÓPOLIS";1702554;"SBMA"
"32";"AUGUSTINÓPOLIS";1702554;"SBIZ"
"33";"AURORA DO TOCANTINS";1702703;"SBLP"
"34";"AURORA DO TOCANTINS";1702703;"SBPN"
"35";"AXIXÁ DO TOCANTINS";1702901;"SBMA"
"36";"AXIXÁ DO TOCANTINS";1702901;"SBIZ"
"37";"BABAÇULÂNDIA";1703008;"SBIZ"
"38";"BABAÇULÂNDIA";1703008;"SBCI"
"39";"BANDEIRANTES DO TOCANTINS";1703057;"SBCJ"
"40";"BANDEIRANTES DO TOCANTINS";1703057;"SBCI"
"41";"BARRA DO OURO";1703073;"SBIZ"
"42";"BARRA DO OURO";1703073;"SBCI"
"43";"BARROLÂNDIA";1703107;"SBPJ"
"44";"BARROLÂNDIA";1703107;"SBAA"
"45";"BERNARDO SAYÃO";1703206;"SBCJ"
"46";"BERNARDO SAYÃO";1703206;"SBCI"
"47";"BOM JESUS DO TOCANTINS";1703305;"SBPJ"
