ADAMANTINA,3500105,PRESIDENTE PRUDENTE,SBDN,83716,77.36
ADAMANTINA,3500105,ARACATUBA,SBAU,83672,81.73
ADAMANTINA,3500105,URUBUPUNGA,SBUP,83617,101.42
ADOLFO,3500204,LINS,SBLN,83674,43.2
ADOLFO,3500204,SAO JOSE DO RIO PRET,SBSR,-,60.77
ADOLFO,3500204,ARACATUBA,SBAU,83672,82.19
AGUAÍ,3500303,PIRASSUNUNGA,SBYS,83671,30.14
AGUAÍ,3500303,POCOS DE CALDAS (AEROPORTO),SBPC,83644,53.43
AGUAÍ,3500303,SAO CARLOS,SBSA,83726,85.53
ÁGUAS DA PRATA,3500402,POCOS DE CALDAS (AEROPORTO),SBPC,83644,50.81
ÁGUAS DA PRATA,3500402,PIRASSUNUNGA,SBYS,83671,59.83
ÁGUAS DA PRATA,3500402,CAMPINAS (AEROPORTO),SBKP,83721,89.55
ÁGUAS DE LINDÓIA,3500501,SAO JOSE DOS CAMPOS (AEROPORTO),SBSJ,83829,82.77
ÁGUAS DE LINDÓIA,3500501,CAMPINAS (AEROPORTO),SBKP,83721,84.5
ÁGUAS DE LINDÓIA,3500501,SAO PAULO (AEROP. DE GUARULHOS),SBGR,83778,86.12
ÁGUAS DE SANTA BÁRBARA,3500550,BAURU (AEROPORTO),SBBU,83722,62.89
ÁGUAS DE SANTA BÁRBARA,3500550,MARILHA - SP,SBML,-,101.12
ÁGUAS DE SANTA BÁRBARA,3500550,ASSIS - S,SBAS,-,124.35
ÁGUAS DE SÃO PEDRO,3500600,SAO CARLOS,SBSA,83726,64.64
ÁGUAS DE SÃO PEDRO,3500600,CAMPINAS (AEROPORTO),SBKP,83721,89.2
ÁGUAS DE SÃO PEDRO,3500600,PIRASSUNUNGA,SBYS,83671,90.49
AGUDOS,3500709,BAURU (AEROPORTO),SBBU,83722,28.24
AGUDOS,3500709,MARILHA - SP,SBML,-,94.06
AGUDOS,3500709,GAVIAO PEIXOTO,SBGP,-,115.2
ALAMBARI,3500758,SAO ROQUE,SBRQ,83058,76.46
ALAMBARI,3500758,CAMPINAS (AEROPORTO),SBKP,83721,97.71
ALAMBARI,3500758,SAO PAULO (AEROPORTO CONGONHAS),SBSP,83780,126.57
ALFREDO MARCONDES,3500808,PRESIDENTE PRUDENTE,SBDN,83716,27.65
ALFREDO MARCONDES,3500808,ASSIS - S,SBAS,-,124.48
ALFREDO MARCONDES,3500808,URUBUPUNGA,SBUP,83617,127.27
ALTAIR,3500907,FRONTERA-MG,SBFT,-,29.63
ALTAIR,3500907,SAO JOSE DO RIO PRET,SBSR,-,43.57
ALTAIR,3500907,BARRETOS,SBBT,83625,51.57
ALTINÓPOLIS,3501004,RIBEIRAO PRETO,SBRP,83668,41.47
ALTINÓPOLIS,3501004,FRANCA,SBFC,83630,49.06
ALTINÓPOLIS,3501004,PIRASSUNUNGA,SBYS,83671,105.93
ALTO ALEGRE,3501103,LINS,SBLN,83674,46.15
ALTO ALEGRE,3501103,ARACATUBA,SBAU,83672,59.25
ALTO ALEGRE,3501103,MARILHA - SP,SBML,-,68.85
ALUMÍNIO,3501152,SAO ROQUE,SBRQ,83058,17.81
ALUMÍNIO,3501152,CAMPINAS (AEROPORTO),SBKP,83721,60.31
ALUMÍNIO,3501152,SAO PAULO (AEROPORTO CONGONHAS),SBSP,83780,68.69
ÁLVARES FLORENCE,3501202,FRONTERA-MG,SBFT,-,77.19
ÁLVARES FLORENCE,3501202,SAO JOSE DO RIO PRET,SBSR,-,78.41
ÁLVARES FLORENCE,3501202,ARACATUBA,SBAU,83672,107.42
ÁLVARES MACHADO,3501301,PRESIDENTE PRUDENTE,SBDN,83716,12.7
ÁLVARES MACHADO,3501301,ASSIS - S,SBAS,-,125.18
ÁLVARES MACHADO,3501301,LONDRINA (AEROPORTO),SBLO,83768,139.03
ÁLVARO DE CARVALHO,3501400,MARILHA - SP,SBML,-,21.94
ÁLVARO DE CARVALHO,3501400,LINS,SBLN,83674,46.54
ÁLVARO DE CARVALHO,3501400,BAURU (AEROPORTO),SBBU,83722,72.81
ALVINLÂNDIA,3501509,MARILHA - SP,SBML,-,34.34
ALVINLÂNDIA,3501509,BAURU (AEROPORTO),SBBU,83722,72.57
ALVINLÂNDIA,3501509,ASSIS - S,SBAS,-,73.46
AMERICANA,3501608,CAMPINAS (AEROPORTO),SBKP,83721,57.16
AMERICANA,3501608,SAO CARLOS,SBSA,83726,84.79
AMERICANA,3501608,PIRASSUNUNGA,SBYS,83671,90.51
AMÉRICO BRASILIENSE,3501707,ARARAQUARA-S,SBAQ,-,13.57
AMÉRICO BRASILIENSE,3501707,SAO CARLOS,SBSA,83726,37.02
AMÉRICO BRASILIENSE,3501707,GAVIAO PEIXOTO,SBGP,-,38.67
AMÉRICO DE CAMPOS,3501806,FRONTERA-MG,SBFT,-,61.49
AMÉRICO DE CAMPOS,3501806,SAO JOSE DO RIO PRET,SBSR,-,68.65
AMÉRICO DE CAMPOS,3501806,ARACATUBA,SBAU,83672,116.07
AMPARO,3501905,CAMPINAS (AEROPORTO),SBKP,83721,47.55
AMPARO,3501905,SAO PAULO (AEROP. DE GUARULHOS),SBGR,83778,87.29
AMPARO,3501905,SAO PAULO,SBXP,83781,91.37
ANALÂNDIA,3502002,SAO CARLOS,SBSA,83726,22.92
ANALÂNDIA,3502002,PIRASSUNUNGA,SBYS,83671,40.51
ANALÂNDIA,3502002,ARARAQUARA-S,SBAQ,-,58.89
ANDRADINA,3502101,URUBUPUNGA,SBUP,83617,25.25
ANDRADINA,3502101,ARACATUBA,SBAU,83672,99.03
ANDRADINA,3502101,PRESIDENTE PRUDENTE,SBDN,83716,149.93
ANGATUBA,3502200,SAO ROQUE,SBRQ,83058,136.85
ANGATUBA,3502200,BAURU (AEROPORTO),SBBU,83722,139.13
ANGATUBA,3502200,CAMPINAS (AEROPORTO),SBKP,83721,145.2
ANHEMBI,3502309,SAO CARLOS,SBSA,83726,92.23
ANHEMBI,3502309,BAURU (AEROPORTO),SBBU,83722,106.27
ANHEMBI,3502309,CAMPINAS (AEROPORTO),SBKP,83721,110.34
ANHUMAS,3502408,PRESIDENTE PRUDENTE,SBDN,83716,17.77
ANHUMAS,3502408,ASSIS - S,SBAS,-,99.4
ANHUMAS,3502408,LONDRINA (AEROPORTO),SBLO,83768,113.23
APARECIDA,3502507,GUARATINGUETA (AEROPORTO),SBGW,83708,17.41
APARECIDA,3502507,PINDAMONHANGABA,SBPW,83706,24.23
APARECIDA,3502507,TAUBATE-SP (BASE AVIACAO TAUBATE,SBTA,-,28.4
APARECIDA D'OESTE,3502606,URUBUPUNGA,SBUP,83617,76.25
APARECIDA D'OESTE,3502606,ARACATUBA,SBAU,83672,88.89
APARECIDA D'OESTE,3502606,SAO JOSE DO RIO PRET,SBSR,-,162.55
APIAÍ,3502705,CURITIBA,SBBI,83842,116.44
APIAÍ,3502705,PARANAGUA,SBPG,83844,125.73
APIAÍ,3502705,CURITIBA (AEROPORTO),SBCT,83840,127.16
ARAÇARIGUAMA,3502754,SAO ROQUE,SBRQ,83058,11.49
ARAÇARIGUAMA,3502754,SAO PAULO,SBXP,83781,46.48
ARAÇARIGUAMA,3502754,SAO PAULO (CAMPO DE MARTE),SBMT,83779,46.91
ARAÇATUBA,3502804,ARACATUBA,SBAU,83672,14.98
ARAÇATUBA,3502804,LINS,SBLN,83674,105.32
ARAÇATUBA,3502804,URUBUPUNGA,SBUP,83617,109.22
ARAÇOIABA DA SERRA,3502903,SAO ROQUE,SBRQ,83058,54.35
ARAÇOIABA DA SERRA,3502903,CAMPINAS (AEROPORTO),SBKP,83721,81.15
ARAÇOIABA DA SERRA,3502903,SAO PAULO (AEROPORTO CONGONHAS),SBSP,83780,104.57
ARAMINA,3503000,UBERABA (AEROPORTO),SBUR,83576,44.79
ARAMINA,3503000,FRANCA,SBFC,83630,62.9
ARAMINA,3503000,BARRETOS,SBBT,83625,94.74
ARANDU,3503109,BAURU (AEROPORTO),SBBU,83722,97.4
ARANDU,3503109,MARILHA - SP,SBML,-,141.49
ARANDU,3503109,ASSIS - S,SBAS,-,152.9
ARAPEÍ,3503158,RESENDE,SBRS,83738,23.68
ARAPEÍ,3503158,SANTA CRUZ (BORTOLOMEU GUSMAO AERO),SBSC,83115,78
ARAPEÍ,3503158,GUARATINGUETA (AEROPORTO),SBGW,83708,79.07
ARARAQUARA,3503208,ARARAQUARA-S,SBAQ,-,5.43
ARARAQUARA,3503208,GAVIAO PEIXOTO,SBGP,-,22.65
ARARAQUARA,3503208,SAO CARLOS,SBSA,83726,40.95
ARARAS,3503307,PIRASSUNUNGA,SBYS,83671,41.82
ARARAS,3503307,SAO CARLOS,SBSA,83726,67.39
ARARAS,3503307,CAMPINAS (AEROPORTO),SBKP,83721,75.5
ARCO-ÍRIS,3503356,MARILHA - SP,SBML,-,70.14
ARCO-ÍRIS,3503356,ARACATUBA,SBAU,83672,70.44
ARCO-ÍRIS,3503356,LINS,SBLN,83674,71.09
AREALVA,3503406,BAURU (AEROPORTO),SBBU,83722,30.28
AREALVA,3503406,GAVIAO PEIXOTO,SBGP,-,67.58
AREALVA,3503406,LINS,SBLN,83674,91.18
AREIAS,3503505,RESENDE,SBRS,83738,33.61
AREIAS,3503505,GUARATINGUETA (AEROPORTO),SBGW,83708,51.17
AREIAS,3503505,PINDAMONHANGABA,SBPW,83706,85.32
AREIÓPOLIS,3503604,BAURU (AEROPORTO),SBBU,83722,54.95
AREIÓPOLIS,3503604,GAVIAO PEIXOTO,SBGP,-,99.28
AREIÓPOLIS,3503604,SAO CARLOS,SBSA,83726,105.5
ARIRANHA,3503703,BARRETOS,SBBT,83625,70.46
ARIRANHA,3503703,GAVIAO PEIXOTO,SBGP,-,75.38
ARIRANHA,3503703,SAO JOSE DO RIO PRET,SBSR,-,77.75
ARTUR NOGUEIRA,3503802,CAMPINAS (AEROPORTO),SBKP,83721,48.87
ARTUR NOGUEIRA,3503802,PIRASSUNUNGA,SBYS,83671,68.43
ARTUR NOGUEIRA,3503802,SAO CARLOS,SBSA,83726,96.73
ARUJÁ,3503901,SAO PAULO (AEROP. DE GUARULHOS),SBGR,83778,14.31
ARUJÁ,3503901,SAO PAULO,SBXP,83781,31.81
ARUJÁ,3503901,SAO PAULO (CAMPO DE MARTE),SBMT,83779,32.79
ASPÁSIA,3503950,ARACATUBA,SBAU,83672,109.72
ASPÁSIA,3503950,URUBUPUNGA,SBUP,83617,111.4
ASPÁSIA,3503950,SAO JOSE DO RIO PRET,SBSR,-,154.31
ASSIS,3504008,ASSIS - S,SBAS,-,4.29
ASSIS,3504008,MARILHA - SP,SBML,-,69.69
ASSIS,3504008,LONDRINA (AEROPORTO),SBLO,83768,107.2
ATIBAIA,3504107,SAO PAULO (AEROP. DE GUARULHOS),SBGR,83778,35.13
ATIBAIA,3504107,SAO PAULO,SBXP,83781,41.83
ATIBAIA,3504107,SAO PAULO (CAMPO DE MARTE),SBMT,83779,44.05
AURIFLAMA,3504206,ARACATUBA,SBAU,83672,56.24
AURIFLAMA,3504206,URUBUPUNGA,SBUP,83617,104.38
