ABAÍRA,2900108,LENCOIS. AEROP. CHAPADA DIAMANTI,SBLE,-,78.38
ABAÍRA,2900108,BOM JESUS DA LAPA,SBLP,83288,182.04
ABAÍRA,2900108,VITORIA DA CONQUISTA,SBQV,83344,228.45
ABARÉ,2900207,PAULO AFONSO,SBUF,82986,135.64
ABARÉ,2900207,PETROLINA (AEROPORTO),SBPL,82984,152.45
ABARÉ,2900207,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,173.83
ACAJUTIBA,2900306,ARACAJU (AEROPORTO),SBAR,83095,121.71
ACAJUTIBA,2900306,SALVADOR (AEROPORTO),SBSV,83248,155.69
ACAJUTIBA,2900306,PAULO AFONSO,SBUF,82986,237.95
ADUSTINA,2900355,ARACAJU (AEROPORTO),SBAR,83095,115.44
ADUSTINA,2900355,PAULO AFONSO,SBUF,82986,128.07
ADUSTINA,2900355,SALVADOR (AEROPORTO),SBSV,83248,265.37
ÁGUA FRIA,2900405,SALVADOR (AEROPORTO),SBSV,83248,132.77
ÁGUA FRIA,2900405,ARACAJU (AEROPORTO),SBAR,83095,214.2
ÁGUA FRIA,2900405,LENCOIS. AEROP. CHAPADA DIAMANTI,SBLE,-,275.82
ÉRICO CARDOSO,2900504,LENCOIS. AEROP. CHAPADA DIAMANTI,SBLE,-,136.12
ÉRICO CARDOSO,2900504,BOM JESUS DA LAPA,SBLP,83288,144.61
ÉRICO CARDOSO,2900504,VITORIA DA CONQUISTA,SBQV,83344,208.69
AIQUARA,2900603,ILHEUS,SBIL,83348,108.75
AIQUARA,2900603,VITORIA DA CONQUISTA,SBQV,83344,148.29
AIQUARA,2900603,UNA - AER. HOTEL TRANSAMERIC,SBTC,-,160
ALAGOINHAS,2900702,SALVADOR (AEROPORTO),SBSV,83248,89.21
ALAGOINHAS,2900702,ARACAJU (AEROPORTO),SBAR,83095,190.34
ALAGOINHAS,2900702,PAULO AFONSO,SBUF,82986,300.57
ALCOBAÇA,2900801,CARAVELAS (AEROPORTO),SBCV,83497,24.7
ALCOBAÇA,2900801,PORTO SEGURO (AEROPORTO),SBPS,83460,121.43
ALCOBAÇA,2900801,UNA - AER. HOTEL TRANSAMERIC,SBTC,-,240.28
ALMADINA,2900900,ILHEUS,SBIL,83348,85.58
ALMADINA,2900900,VITORIA DA CONQUISTA,SBQV,83344,121.27
ALMADINA,2900900,UNA - AER. HOTEL TRANSAMERIC,SBTC,-,121.45
AMARGOSA,2901007,SALVADOR (AEROPORTO),SBSV,83248,161.4
AMARGOSA,2901007,LENCOIS. AEROP. CHAPADA DIAMANTI,SBLE,-,169.81
AMARGOSA,2901007,ILHEUS,SBIL,83348,217.89
AMÉLIA RODRIGUES,2901106,SALVADOR (AEROPORTO),SBSV,83248,96.16
AMÉLIA RODRIGUES,2901106,ARACAJU (AEROPORTO),SBAR,83095,162.58
AMÉLIA RODRIGUES,2901106,PAULO AFONSO,SBUF,82986,298.7
AMÉRICA DOURADA,2901155,LENCOIS. AEROP. CHAPADA DIAMANTI,SBLE,-,116.53
AMÉRICA DOURADA,2901155,PETROLINA (AEROPORTO),SBPL,82984,252.66
AMÉRICA DOURADA,2901155,BOM JESUS DA LAPA,SBLP,83288,290.9
ANAGÉ,2901205,VITORIA DA CONQUISTA,SBQV,83344,30.98
ANAGÉ,2901205,ILHEUS,SBIL,83348,203.8
ANAGÉ,2901205,UNA - AER. HOTEL TRANSAMERIC,SBTC,-,223.02
ANDARAÍ,2901304,LENCOIS. AEROP. CHAPADA DIAMANTI,SBLE,-,33.03
ANDARAÍ,2901304,VITORIA DA CONQUISTA,SBQV,83344,236.64
ANDARAÍ,2901304,BOM JESUS DA LAPA,SBLP,83288,247.4
ANDORINHA,2901353,PETROLINA (AEROPORTO),SBPL,82984,127.19
ANDORINHA,2901353,PAULO AFONSO,SBUF,82986,203.28
