ACORIZAL,5100102,CUIABA (AEROPORTO),SBCY,83362,52.62
ACORIZAL,5100102,BARRA DO GARCAS,SBBW,83359,426.29
ACORIZAL,5100102,NOVA XAVANTINA,SBXV,83319,427.2
ÁGUA BOA,5100201,NOVA XAVANTINA,SBXV,83319,79.67
ÁGUA BOA,5100201,BARRA DO GARCAS,SBBW,83359,210.81
ÁGUA BOA,5100201,SANTA ISABEL DO MORRO,SBSY,83156,333.27
ALTA FLORESTA,5100250,ALTA FLORESTA (AEROPORTO),SBAT,82965,35.69
ALTA FLORESTA,5100250,CACHIMBO (AEROPORTO),SBCC,82930,180.74
ALTA FLORESTA,5100250,CACHIMBO-IN-PAR,SBXI,-,180.74
ALTO ARAGUAIA,5100300,BARRA DO GARCAS,SBBW,83359,210.42
ALTO ARAGUAIA,5100300,NOVA XAVANTINA,SBXV,83319,329.64
ALTO ARAGUAIA,5100300,CUIABA (AEROPORTO),SBCY,83362,345.9
ALTO BOA VISTA,5100359,SANTA ISABEL DO MORRO,SBSY,83156,119.77
ALTO BOA VISTA,5100359,NOVA XAVANTINA,SBXV,83319,325.6
ALTO BOA VISTA,5100359,PORTO NACIONAL (AEROPORTO),SBPN,83063,386.19
ALTO GARÇAS,5100409,BARRA DO GARCAS,SBBW,83359,171.25
ALTO GARÇAS,5100409,NOVA XAVANTINA,SBXV,83319,277.83
ALTO GARÇAS,5100409,CUIABA (AEROPORTO),SBCY,83362,303.36
ALTO PARAGUAI,5100508,CUIABA (AEROPORTO),SBCY,83362,114.23
ALTO PARAGUAI,5100508,VILHENA (AEROPORTO),SBVH,83208,437.95
ALTO PARAGUAI,5100508,NOVA XAVANTINA,SBXV,83319,462.66
ALTO TAQUARI,5100607,BARRA DO GARCAS,SBBW,83359,239.01
ALTO TAQUARI,5100607,CAMPO GRANDE (AEROPORTO),SBCG,83612,327.27
ALTO TAQUARI,5100607,NOVA XAVANTINA,SBXV,83319,364.28
APIACÁS,5100805,ALTA FLORESTA (AEROPORTO),SBAT,82965,226.78
APIACÁS,5100805,JACAREACANGA,SBEK,82640,280.55
APIACÁS,5100805,CACHIMBO (AEROPORTO),SBCC,82930,330.57
ARAGUAIANA,5101001,NOVA XAVANTINA,SBXV,83319,76.82
ARAGUAIANA,5101001,BARRA DO GARCAS,SBBW,83359,102.53
ARAGUAIANA,5101001,GOIANIA,SBGO,83423,322.45
ARAGUAINHA,5101209,BARRA DO GARCAS,SBBW,83359,126.6
ARAGUAINHA,5101209,NOVA XAVANTINA,SBXV,83319,244.57
ARAGUAINHA,5101209,CUIABA (AEROPORTO),SBCY,83362,342.59
ARAPUTANGA,5101258,CUIABA (AEROPORTO),SBCY,83362,254.84
ARAPUTANGA,5101258,VILHENA (AEROPORTO),SBVH,83208,333.73
ARAPUTANGA,5101258,CORUMBA,SBCR,83552,424.98
ARENÁPOLIS,5101308,CUIABA (AEROPORTO),SBCY,83362,149.83
ARENÁPOLIS,5101308,VILHENA (AEROPORTO),SBVH,83208,404.63
ARENÁPOLIS,5101308,NOVA XAVANTINA,SBXV,83319,485.45
ARIPUANÃ,5101407,VILHENA (AEROPORTO),SBVH,83208,283.25
ARIPUANÃ,5101407,ALTA FLORESTA (AEROPORTO),SBAT,82965,411.1
ARIPUANÃ,5101407,PORTO VELHO (AEROPORTO),SBPV,82824,474.19
BARÃO DE MELGAÇO,5101605,CUIABA (AEROPORTO),SBCY,83362,130.44
BARÃO DE MELGAÇO,5101605,CORUMBA,SBCR,83552,298.03
BARÃO DE MELGAÇO,5101605,BARRA DO GARCAS,SBBW,83359,404.67
BARRA DO BUGRES,5101704,CUIABA (AEROPORTO),SBCY,83362,167.81
BARRA DO BUGRES,5101704,VILHENA (AEROPORTO),SBVH,83208,379.82
