ÁGUA BRANCA,2500106,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,178.1
ÁGUA BRANCA,2500106,CAMPINA GRANDE,SBKG,82795,202.07
ÁGUA BRANCA,2500106,PAULO AFONSO,SBUF,82986,217.59
AGUIAR,2500205,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,117.94
AGUIAR,2500205,MOSSORO,SBMS,82591,228.24
AGUIAR,2500205,PAULO AFONSO,SBUF,82986,258.61
ALAGOA GRANDE,2500304,CAMPINA GRANDE,SBKG,82795,37.52
ALAGOA GRANDE,2500304,JOAO PESSOA,SBJP,82798,72.87
ALAGOA GRANDE,2500304,NATAL (AEROPORTO),SBNT,82599,132.62
ALAGOA NOVA,2500403,CAMPINA GRANDE,SBKG,82795,26.02
ALAGOA NOVA,2500403,JOAO PESSOA,SBJP,82798,90.29
ALAGOA NOVA,2500403,NATAL (AEROPORTO),SBNT,82599,139
ALAGOINHA,2500502,CAMPINA GRANDE,SBKG,82795,51.66
ALAGOINHA,2500502,JOAO PESSOA,SBJP,82798,66.56
ALAGOINHA,2500502,NATAL (AEROPORTO),SBNT,82599,119.42
ALCANTIL,2500536,CAMPINA GRANDE,SBKG,82795,49.95
ALCANTIL,2500536,RECIFE,SBWF,82900,130.71
ALCANTIL,2500536,RECIFE (AEROPORTO),SBRF,82899,133.74
ALGODÃO DE JANDAÍRA,2500577,CAMPINA GRANDE,SBKG,82795,44.05
ALGODÃO DE JANDAÍRA,2500577,JOAO PESSOA,SBJP,82798,116.44
ALGODÃO DE JANDAÍRA,2500577,NATAL (AEROPORTO),SBNT,82599,133.82
ALHANDRA,2500601,JOAO PESSOA,SBJP,82798,22.1
ALHANDRA,2500601,RECIFE,SBWF,82900,78.06
ALHANDRA,2500601,RECIFE (AEROPORTO),SBRF,82899,86.96
SÃO JOÃO DO RIO DO PEIXE,2500700,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,108.51
SÃO JOÃO DO RIO DO PEIXE,2500700,MOSSORO,SBMS,82591,206.15
SÃO JOÃO DO RIO DO PEIXE,2500700,CAMPINA GRANDE,SBKG,82795,287.46
AMPARO,2500734,CAMPINA GRANDE,SBKG,82795,132.88
AMPARO,2500734,JOAO PESSOA,SBJP,82798,234.85
AMPARO,2500734,RECIFE,SBWF,82900,239.68
APARECIDA,2500775,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,141.21
APARECIDA,2500775,MOSSORO,SBMS,82591,192.61
APARECIDA,2500775,CAMPINA GRANDE,SBKG,82795,248.33
ARAÇAGI,2500809,JOAO PESSOA,SBJP,82798,54.29
ARAÇAGI,2500809,CAMPINA GRANDE,SBKG,82795,75.38
ARAÇAGI,2500809,NATAL (AEROPORTO),SBNT,82599,103.55
ARARA,2500908,CAMPINA GRANDE,SBKG,82795,47.63
ARARA,2500908,JOAO PESSOA,SBJP,82798,92.27
ARARA,2500908,NATAL (AEROPORTO),SBNT,82599,117.77
ARARUNA,2501005,CAMPINA GRANDE,SBKG,82795,83.74
ARARUNA,2501005,NATAL (AEROPORTO),SBNT,82599,86.86
ARARUNA,2501005,JOAO PESSOA,SBJP,82798,111.71
AREIA,2501104,CAMPINA GRANDE,SBKG,82795,39.86
AREIA,2501104,JOAO PESSOA,SBJP,82798,86.13
AREIA,2501104,NATAL (AEROPORTO),SBNT,82599,125.2
AREIA DE BARAÚNAS,2501153,CAMPINA GRANDE,SBKG,82795,122.03
AREIA DE BARAÚNAS,2501153,MOSSORO,SBMS,82591,216.35
AREIA DE BARAÚNAS,2501153,JOAO PESSOA,SBJP,82798,222.2
AREIAL,2501203,CAMPINA GRANDE,SBKG,82795,25.9
AREIAL,2501203,JOAO PESSOA,SBJP,82798,109.24
AREIAL,2501203,NATAL (AEROPORTO),SBNT,82599,146.27
AROEIRAS,2501302,CAMPINA GRANDE,SBKG,82795,35.45
AROEIRAS,2501302,JOAO PESSOA,SBJP,82798,92.39
AROEIRAS,2501302,RECIFE,SBWF,82900,102.51
ASSUNÇÃO,2501351,CAMPINA GRANDE,SBKG,82795,95.18
ASSUNÇÃO,2501351,JOAO PESSOA,SBJP,82798,194.35
ASSUNÇÃO,2501351,NATAL (AEROPORTO),SBNT,82599,206.03
BAÍA DA TRAIÇÃO,2501401,JOAO PESSOA,SBJP,82798,54.45
BAÍA DA TRAIÇÃO,2501401,NATAL (AEROPORTO),SBNT,82599,87.34
BAÍA DA TRAIÇÃO,2501401,CAMPINA GRANDE,SBKG,82795,118.27
BANANEIRAS,2501500,CAMPINA GRANDE,SBKG,82795,65.5
BANANEIRAS,2501500,JOAO PESSOA,SBJP,82798,85.94
BANANEIRAS,2501500,NATAL (AEROPORTO),SBNT,82599,99.53
BARAÚNA,2501534,CAMPINA GRANDE,SBKG,82795,84.16
BARAÚNA,2501534,NATAL (AEROPORTO),SBNT,82599,136.45
BARAÚNA,2501534,JOAO PESSOA,SBJP,82798,156.4
BARRA DE SANTANA,2501575,CAMPINA GRANDE,SBKG,82795,35.01
BARRA DE SANTANA,2501575,JOAO PESSOA,SBJP,82798,122.09
BARRA DE SANTANA,2501575,RECIFE,SBWF,82900,127.9
BARRA DE SANTA ROSA,2501609,CAMPINA GRANDE,SBKG,82795,57.8
BARRA DE SANTA ROSA,2501609,JOAO PESSOA,SBJP,82798,130.52
BARRA DE SANTA ROSA,2501609,NATAL (AEROPORTO),SBNT,82599,133.21
BARRA DE SÃO MIGUEL,2501708,CAMPINA GRANDE,SBKG,82795,65.5
BARRA DE SÃO MIGUEL,2501708,RECIFE,SBWF,82900,155.5
BARRA DE SÃO MIGUEL,2501708,RECIFE (AEROPORTO),SBRF,82899,158
BAYEUX,2501807,JOAO PESSOA,SBJP,82798,18.96
BAYEUX,2501807,RECIFE,SBWF,82900,84.05
BAYEUX,2501807,RECIFE (AEROPORTO),SBRF,82899,92.92
BELÉM,2501906,CAMPINA GRANDE,SBKG,82795,79.89
BELÉM,2501906,JOAO PESSOA,SBJP,82798,81.26
BELÉM,2501906,NATAL (AEROPORTO),SBNT,82599,86.21
BELÉM DO BREJO DO CRUZ,2502003,MOSSORO,SBMS,82591,106.08
BELÉM DO BREJO DO CRUZ,2502003,CAMPINA GRANDE,SBKG,82795,205.13
BELÉM DO BREJO DO CRUZ,2502003,NATAL (AEROPORTO),SBNT,82599,233.55
BERNARDINO BATISTA,2502052,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,113.29
BERNARDINO BATISTA,2502052,MOSSORO,SBMS,82591,194.23
BERNARDINO BATISTA,2502052,FORTALEZA (AEROPORTO),SBFZ,82398,301.91
BOA VENTURA,2502102,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,121.63
BOA VENTURA,2502102,PAULO AFONSO,SBUF,82986,219.22
BOA VENTURA,2502102,CAMPINA GRANDE,SBKG,82795,256.2
BOA VISTA,2502151,CAMPINA GRANDE,SBKG,82795,38.84
BOA VISTA,2502151,JOAO PESSOA,SBJP,82798,140.98
BOA VISTA,2502151,RECIFE,SBWF,82900,167.59
BOM JESUS,2502201,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,142.83
BOM JESUS,2502201,MOSSORO,SBMS,82591,220.92
BOM JESUS,2502201,CAMPINA GRANDE,SBKG,82795,233.84
BOM SUCESSO,2502300,MOSSORO,SBMS,82591,159.34
BOM SUCESSO,2502300,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,162.06
BOM SUCESSO,2502300,CAMPINA GRANDE,SBKG,82795,250.73
BONITO DE SANTA FÉ,2502409,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,87.19
BONITO DE SANTA FÉ,2502409,PAULO AFONSO,SBUF,82986,235.97
BONITO DE SANTA FÉ,2502409,MOSSORO,SBMS,82591,262.98
BOQUEIRÃO,2502508,CAMPINA GRANDE,SBKG,82795,40.69
BOQUEIRÃO,2502508,JOAO PESSOA,SBJP,82798,138.26
BOQUEIRÃO,2502508,RECIFE,SBWF,82900,148.41
IGARACY,2502607,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,126.62
IGARACY,2502607,MOSSORO,SBMS,82591,232.77
IGARACY,2502607,CAMPINA GRANDE,SBKG,82795,249
BORBOREMA,2502706,CAMPINA GRANDE,SBKG,82795,61.07
BORBOREMA,2502706,JOAO PESSOA,SBJP,82798,81.86
BORBOREMA,2502706,NATAL (AEROPORTO),SBNT,82599,104.28
BREJO DO CRUZ,2502805,MOSSORO,SBMS,82591,126.39
BREJO DO CRUZ,2502805,CAMPINA GRANDE,SBKG,82795,207.86
BREJO DO CRUZ,2502805,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,219.38
BREJO DOS SANTOS,2502904,MOSSORO,SBMS,82591,142.05
BREJO DOS SANTOS,2502904,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,184.18
BREJO DOS SANTOS,2502904,CAMPINA GRANDE,SBKG,82795,236.58
CAAPORÃ,2503001,JOAO PESSOA,SBJP,82798,38.16
CAAPORÃ,2503001,RECIFE,SBWF,82900,62.06
CAAPORÃ,2503001,RECIFE (AEROPORTO),SBRF,82899,70.95
CABACEIRAS,2503100,CAMPINA GRANDE,SBKG,82795,50.92
CABACEIRAS,2503100,JOAO PESSOA,SBJP,82798,151.95
CABACEIRAS,2503100,RECIFE,SBWF,82900,165.26
CABEDELO,2503209,JOAO PESSOA,SBJP,82798,48.88
CABEDELO,2503209,NATAL (AEROPORTO),SBNT,82599,95.23
CABEDELO,2503209,CAMPINA GRANDE,SBKG,82795,121.8
CACHOEIRA DOS ÍNDIOS,2503308,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,75.96
CACHOEIRA DOS ÍNDIOS,2503308,MOSSORO,SBMS,82591,242.82
CACHOEIRA DOS ÍNDIOS,2503308,PAULO AFONSO,SBUF,82986,270.43
CACIMBA DE AREIA,2503407,CAMPINA GRANDE,SBKG,82795,144.38
CACIMBA DE AREIA,2503407,MOSSORO,SBMS,82591,216.92
CACIMBA DE AREIA,2503407,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,231.6
CACIMBA DE DENTRO,2503506,CAMPINA GRANDE,SBKG,82795,71.86
CACIMBA DE DENTRO,2503506,NATAL (AEROPORTO),SBNT,82599,100.2
CACIMBA DE DENTRO,2503506,JOAO PESSOA,SBJP,82798,111.67
CACIMBAS,2503555,CAMPINA GRANDE,SBKG,82795,134.27
CACIMBAS,2503555,MOSSORO,SBMS,82591,225.66
CACIMBAS,2503555,JOAO PESSOA,SBJP,82798,235.71
CAIÇARA,2503605,JOAO PESSOA,SBJP,82798,67.3
CAIÇARA,2503605,NATAL (AEROPORTO),SBNT,82599,83.18
CAIÇARA,2503605,CAMPINA GRANDE,SBKG,82795,90.96
CAJAZEIRAS,2503704,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,87.2
CAJAZEIRAS,2503704,MOSSORO,SBMS,82591,230.82
CAJAZEIRAS,2503704,PAULO AFONSO,SBUF,82986,277.72
CAJAZEIRINHAS,2503753,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,164.66
CAJAZEIRINHAS,2503753,MOSSORO,SBMS,82591,201.41
CAJAZEIRINHAS,2503753,CAMPINA GRANDE,SBKG,82795,215.83
CALDAS BRANDÃO,2503803,JOAO PESSOA,SBJP,82798,42.99
CALDAS BRANDÃO,2503803,CAMPINA GRANDE,SBKG,82795,60.93
