ABREU E LIMA,2600054,RECIFE,SBWF,82900,10.38
ABREU E LIMA,2600054,RECIFE (AEROPORTO),SBRF,82899,16.37
ABREU E LIMA,2600054,JOAO PESSOA,SBJP,82798,95.7
AFOGADOS DA INGAZEIRA,2600104,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,190.81
AFOGADOS DA INGAZEIRA,2600104,PAULO AFONSO,SBUF,82986,197.49
AFOGADOS DA INGAZEIRA,2600104,CAMPINA GRANDE,SBKG,82795,199.75
AFRÂNIO,2600203,PETROLINA (AEROPORTO),SBPL,82984,96.23
AFRÂNIO,2600203,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,246.42
AFRÂNIO,2600203,FLORIANO,SBFO,82678,302.57
AGRESTINA,2600302,RECIFE (AEROPORTO),SBRF,82899,118.83
AGRESTINA,2600302,MACEIO (AEROPORTO),SBMO,82993,120.01
AGRESTINA,2600302,RECIFE,SBWF,82900,121.84
ÁGUA PRETA,2600401,RECIFE (AEROPORTO),SBRF,82899,88.66
ÁGUA PRETA,2600401,MACEIO (AEROPORTO),SBMO,82993,94.87
ÁGUA PRETA,2600401,RECIFE,SBWF,82900,95.48
ÁGUAS BELAS,2600500,PAULO AFONSO,SBUF,82986,137.42
ÁGUAS BELAS,2600500,MACEIO (AEROPORTO),SBMO,82993,147.31
ÁGUAS BELAS,2600500,MACEIO,SBXM,82994,160.54
ALAGOINHA,2600609,MACEIO (AEROPORTO),SBMO,82993,157.68
ALAGOINHA,2600609,CAMPINA GRANDE,SBKG,82795,168
ALAGOINHA,2600609,MACEIO,SBXM,82994,175.13
ALIANÇA,2600708,JOAO PESSOA,SBJP,82798,57.16
ALIANÇA,2600708,RECIFE,SBWF,82900,58.06
ALIANÇA,2600708,RECIFE (AEROPORTO),SBRF,82899,65.83
ALTINHO,2600807,MACEIO (AEROPORTO),SBMO,82993,120.05
ALTINHO,2600807,RECIFE (AEROPORTO),SBRF,82899,135.65
ALTINHO,2600807,CAMPINA GRANDE,SBKG,82795,137.97
AMARAJI,2600906,RECIFE (AEROPORTO),SBRF,82899,65.46
AMARAJI,2600906,RECIFE,SBWF,82900,69.49
AMARAJI,2600906,CAMPINA GRANDE,SBKG,82795,129.62
ANGELIM,2601003,MACEIO (AEROPORTO),SBMO,82993,89.4
ANGELIM,2601003,MACEIO,SBXM,82994,107.32
ANGELIM,2601003,RECIFE (AEROPORTO),SBRF,82899,171.56
ARAÇOIABA,2601052,RECIFE,SBWF,82900,33.36
ARAÇOIABA,2601052,RECIFE (AEROPORTO),SBRF,82899,41.25
ARAÇOIABA,2601052,JOAO PESSOA,SBJP,82798,72.81
ARARIPINA,2601102,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,141.61
ARARIPINA,2601102,PETROLINA (AEROPORTO),SBPL,82984,195.83
ARARIPINA,2601102,FLORIANO,SBFO,82678,294.09
ARCOVERDE,2601201,CAMPINA GRANDE,SBKG,82795,172.79
ARCOVERDE,2601201,PAULO AFONSO,SBUF,82986,180.38
ARCOVERDE,2601201,MACEIO (AEROPORTO),SBMO,82993,188.48
BARRA DE GUABIRABA,2601300,RECIFE (AEROPORTO),SBRF,82899,84.34
BARRA DE GUABIRABA,2601300,RECIFE,SBWF,82900,88.07
BARRA DE GUABIRABA,2601300,MACEIO (AEROPORTO),SBMO,82993,123.88
BARREIROS,2601409,RECIFE (AEROPORTO),SBRF,82899,84.02
BARREIROS,2601409,RECIFE,SBWF,82900,92.12
BARREIROS,2601409,MACEIO (AEROPORTO),SBMO,82993,97.24
BELÉM DE MARIA,2601508,MACEIO (AEROPORTO),SBMO,82993,101.96
BELÉM DE MARIA,2601508,RECIFE (AEROPORTO),SBRF,82899,111.77
BELÉM DE MARIA,2601508,RECIFE,SBWF,82900,116.24
BELÉM DO SÃO FRANCISCO,2601607,PAULO AFONSO,SBUF,82986,121.27
BELÉM DO SÃO FRANCISCO,2601607,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,154.9
BELÉM DO SÃO FRANCISCO,2601607,PETROLINA (AEROPORTO),SBPL,82984,195.11
BELO JARDIM,2601706,CAMPINA GRANDE,SBKG,82795,124.77
BELO JARDIM,2601706,MACEIO (AEROPORTO),SBMO,82993,156.61
BELO JARDIM,2601706,RECIFE (AEROPORTO),SBRF,82899,164.06
BETÂNIA,2601805,PAULO AFONSO,SBUF,82986,129.43
BETÂNIA,2601805,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,182.94
BETÂNIA,2601805,CAMPINA GRANDE,SBKG,82795,258.23
BEZERROS,2601904,RECIFE (AEROPORTO),SBRF,82899,95.47
BEZERROS,2601904,RECIFE,SBWF,82900,96.8
BEZERROS,2601904,CAMPINA GRANDE,SBKG,82795,105.86
BODOCÓ,2602001,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,90.65
BODOCÓ,2602001,PETROLINA (AEROPORTO),SBPL,82984,201.89
BODOCÓ,2602001,PAULO AFONSO,SBUF,82986,270.5
BOM CONSELHO,2602100,MACEIO (AEROPORTO),SBMO,82993,106.47
BOM CONSELHO,2602100,MACEIO,SBXM,82994,120.02
BOM CONSELHO,2602100,PAULO AFONSO,SBUF,82986,173.34
BOM JARDIM,2602209,CAMPINA GRANDE,SBKG,82795,65.2
BOM JARDIM,2602209,RECIFE,SBWF,82900,79.31
BOM JARDIM,2602209,RECIFE (AEROPORTO),SBRF,82899,83.01
BONITO,2602308,RECIFE (AEROPORTO),SBRF,82899,95.75
BONITO,2602308,RECIFE,SBWF,82900,99.87
BONITO,2602308,MACEIO (AEROPORTO),SBMO,82993,113.96
BREJÃO,2602407,MACEIO (AEROPORTO),SBMO,82993,99.84
BREJÃO,2602407,MACEIO,SBXM,82994,115.84
BREJÃO,2602407,PAULO AFONSO,SBUF,82986,193.48
BREJINHO,2602506,CAMPINA GRANDE,SBKG,82795,163.42
BREJINHO,2602506,MOSSORO,SBMS,82591,203.1
BREJINHO,2602506,JOAZEIRO DO NORTEAER. CARIRI CE,SBJU,-,215.07
BREJO DA MADRE DE DEUS,2602605,CAMPINA GRANDE,SBKG,82795,100.43
BREJO DA MADRE DE DEUS,2602605,RECIFE,SBWF,82900,149.97
BREJO DA MADRE DE DEUS,2602605,RECIFE (AEROPORTO),SBRF,82899,150.05
BUENOS AIRES,2602704,RECIFE,SBWF,82900,58.46
BUENOS AIRES,2602704,RECIFE (AEROPORTO),SBRF,82899,64.13
BUENOS AIRES,2602704,CAMPINA GRANDE,SBKG,82795,77.66
BUÍQUE,2602803,PAULO AFONSO,SBUF,82986,149.57
