URUPEMA,4218954,LAGES,SBLJ,-,45.9
URUPEMA,4218954,CRICIUMA-SC (AER. FORQUILINHA,SBCN,-,90.88
URUPEMA,4218954,FORQUILHINHA,SBCM,-,90.88
URUSSANGA,4219002,CRICIUMA-SC (AER. FORQUILINHA,SBCN,-,29.09
URUSSANGA,4219002,FORQUILHINHA,SBCM,-,29.09
URUSSANGA,4219002,TORRES,SBTR,83948,105.34
VARGEÃO,4219101,CHAPECO,SBCH,83883,67.2
VARGEÃO,4219101,CACADOR,SBCD,-,118.05
VARGEÃO,4219101,PASSO FUNDO,SBPF,83914,165.04
VARGEM,4219150,LAGES,SBLJ,-,74.67
VARGEM,4219150,CACADOR,SBCD,-,76.45
VARGEM,4219150,PASSO FUNDO,SBPF,83914,161.12
VARGEM BONITA,4219176,CACADOR,SBCD,-,84.17
VARGEM BONITA,4219176,CHAPECO,SBCH,83883,92.63
VARGEM BONITA,4219176,PASSO FUNDO,SBPF,83914,155.76
VIDAL RAMOS,4219200,FLORIANOPOLIS,SBXF,83897,79.44
VIDAL RAMOS,4219200,FLORIANOPOLIS (AEROPORTO),SBFL,83899,86.27
VIDAL RAMOS,4219200,NAVEGANTES (AEROPORTO),SBNF,83926,89.45
VIDEIRA,4219309,CACADOR,SBCD,-,30.53
VIDEIRA,4219309,LAGES,SBLJ,-,121.4
VIDEIRA,4219309,CHAPECO,SBCH,83883,153.44
VITOR MEIRELES,4219358,CACADOR,SBCD,-,107.7
VITOR MEIRELES,4219358,LAGES,SBLJ,-,114.7
VITOR MEIRELES,4219358,NAVEGANTES (AEROPORTO),SBNF,83926,118.81
WITMARSUM,4219408,LAGES,SBLJ,-,102.55
WITMARSUM,4219408,CACADOR,SBCD,-,109.35
WITMARSUM,4219408,NAVEGANTES (AEROPORTO),SBNF,83926,118.5
XANXERÊ,4219507,CHAPECO,SBCH,83883,38.57
XANXERÊ,4219507,CACADOR,SBCD,-,147.1
XANXERÊ,4219507,PASSO FUNDO,SBPF,83914,153.33
XAVANTINA,4219606,CHAPECO,SBCH,83883,36.16
XAVANTINA,4219606,PASSO FUNDO,SBPF,83914,136.84
XAVANTINA,4219606,CACADOR,SBCD,-,141.02
XAXIM,4219705,CHAPECO,SBCH,83883,22.71
XAXIM,4219705,PASSO FUNDO,SBPF,83914,143.79
XAXIM,4219705,CACADOR,SBCD,-,159.99
ZORTÉA,4219853,CACADOR,SBCD,-,97.79
