AMPARO DE SÃO FRANCISCO,2800100,ARACAJU (AEROPORTO),SBAR,83095,129.91
AMPARO DE SÃO FRANCISCO,2800100,PAULO AFONSO,SBUF,82986,132.57
AMPARO DE SÃO FRANCISCO,2800100,MACEIO (AEROPORTO),SBMO,82993,150.4
AQUIDABÃ,2800209,ARACAJU (AEROPORTO),SBAR,83095,77.98
AQUIDABÃ,2800209,MACEIO,SBXM,82994,161.5
AQUIDABÃ,2800209,MACEIO (AEROPORTO),SBMO,82993,162.46
ARACAJU,2800308,ARACAJU (AEROPORTO),SBAR,83095,3.08
ARACAJU,2800308,MACEIO,SBXM,82994,211.3
ARACAJU,2800308,PAULO AFONSO,SBUF,82986,217.44
ARAUÁ,2800407,ARACAJU (AEROPORTO),SBAR,83095,66.73
ARAUÁ,2800407,SALVADOR (AEROPORTO),SBSV,83248,203.4
ARAUÁ,2800407,PAULO AFONSO,SBUF,82986,210.87
AREIA BRANCA,2800506,ARACAJU (AEROPORTO),SBAR,83095,35.05
AREIA BRANCA,2800506,PAULO AFONSO,SBUF,82986,184.18
AREIA BRANCA,2800506,MACEIO,SBXM,82994,217.63
BARRA DOS COQUEIROS,2800605,ARACAJU (AEROPORTO),SBAR,83095,16.79
BARRA DOS COQUEIROS,2800605,MACEIO,SBXM,82994,191.48
BARRA DOS COQUEIROS,2800605,MACEIO (AEROPORTO),SBMO,82993,198.22
BOQUIM,2800670,ARACAJU (AEROPORTO),SBAR,83095,57.41
BOQUIM,2800670,SALVADOR (AEROPORTO),SBSV,83248,208.79
BOQUIM,2800670,PAULO AFONSO,SBUF,82986,212.16
BREJO GRANDE,2800704,ARACAJU (AEROPORTO),SBAR,83095,85.18
BREJO GRANDE,2800704,MACEIO,SBXM,82994,123.4
BREJO GRANDE,2800704,MACEIO (AEROPORTO),SBMO,82993,131.42
CAMPO DO BRITO,2801009,ARACAJU (AEROPORTO),SBAR,83095,51.98
CAMPO DO BRITO,2801009,PAULO AFONSO,SBUF,82986,172.87
CAMPO DO BRITO,2801009,MACEIO,SBXM,82994,231.63
CANHOBA,2801108,ARACAJU (AEROPORTO),SBAR,83095,91.17
CANHOBA,2801108,MACEIO (AEROPORTO),SBMO,82993,152.65
CANHOBA,2801108,MACEIO,SBXM,82994,152.84
CANINDÉ DE SÃO FRANCISCO,2801207,PAULO AFONSO,SBUF,82986,50.28
CANINDÉ DE SÃO FRANCISCO,2801207,ARACAJU (AEROPORTO),SBAR,83095,167.86
CANINDÉ DE SÃO FRANCISCO,2801207,MACEIO (AEROPORTO),SBMO,82993,236.41
CAPELA,2801306,ARACAJU (AEROPORTO),SBAR,83095,54.87
CAPELA,2801306,MACEIO,SBXM,82994,171.88
CAPELA,2801306,MACEIO (AEROPORTO),SBMO,82993,175.03
CARIRA,2801405,ARACAJU (AEROPORTO),SBAR,83095,96.05
CARIRA,2801405,PAULO AFONSO,SBUF,82986,123.67
CARIRA,2801405,MACEIO (AEROPORTO),SBMO,82993,232.56
CARMÓPOLIS,2801504,ARACAJU (AEROPORTO),SBAR,83095,10.84
CARMÓPOLIS,2801504,MACEIO,SBXM,82994,199.24
CARMÓPOLIS,2801504,MACEIO (AEROPORTO),SBMO,82993,206.56
CEDRO DE SÃO JOÃO,2801603,ARACAJU (AEROPORTO),SBAR,83095,80.41
CEDRO DE SÃO JOÃO,2801603,MACEIO,SBXM,82994,147.13
CEDRO DE SÃO JOÃO,2801603,MACEIO (AEROPORTO),SBMO,82993,148.97
