"nid","probRt1","n","terminal","regra","uf","regional","nRt1"
10,0.163265306122449,49,1,"inc_3 > 16.6901296024847 & temp_min_1 <= 23.8 & umid_min_1 > 73.2","AC","Baixo Acre e Purus",8
11,0.134831460674157,178,1,"inc_3 > 16.6901296024847 & temp_min_1 > 23.8","AC","Baixo Acre e Purus",24
6,0.0406626506024096,664,1,"inc_3 <= 16.6901296024847 & inc_3 > 0 & umid_min_1 > 55.7","AC","Baixo Acre e Purus",27
9,0.0405405405405405,592,1,"inc_3 > 16.6901296024847 & temp_min_1 <= 23.8 & umid_min_1 <= 73.2","AC","Baixo Acre e Purus",24
5,0.00529100529100529,378,1,"inc_3 <= 16.6901296024847 & inc_3 > 0 & umid_min_1 <= 55.7","AC","Baixo Acre e Purus",2
3,0.00467180565288484,4281,1,"inc_3 <= 16.6901296024847 & inc_3 <= 0","AC","Baixo Acre e Purus",20
3,0.103896103896104,77,1,"inc_3 > 163.298632373954","AC","Alto Acre",8
2,0.0119430408819476,2177,1,"inc_3 <= 163.298632373954","AC","Alto Acre",26
6,0.625,16,1,"umid_min_3 > 87.9 & umid_min_3 <= 88.9","AC","Juruá e Tarauacá/Envira",10
8,0.571428571428571,7,1,"umid_min_3 > 87.9 & umid_min_3 > 88.9 & umid_min_1 <= 57.8","AC","Juruá e Tarauacá/Envira",4
4,0.0846153846153846,390,1,"umid_min_3 <= 87.9 & inc_3 > 16.3385344334613","AC","Juruá e Tarauacá/Envira",33
9,0.0192307692307692,52,1,"umid_min_3 > 87.9 & umid_min_3 > 88.9 & umid_min_1 > 57.8","AC","Juruá e Tarauacá/Envira",1
3,0.00713359273670558,3084,1,"umid_min_3 <= 87.9 & inc_3 <= 16.3385344334613","AC","Juruá e Tarauacá/Envira",22
5,0.0509383378016086,373,1,"inc_3 > 10.5920982946722","AL","10ª Região de Saúde",19
4,0.0189075630252101,476,1,"inc_3 <= 10.5920982946722 & inc_3 > 0","AL","10ª Região de Saúde",9
3,0.00166527893422148,3603,1,"inc_3 <= 10.5920982946722 & inc_3 <= 0","AL","10ª Região de Saúde",6
5,0.102702702702703,185,1,"inc_3 > 5.7058085130663 & umid_max_1 > 91","AL","5ª Região de Saúde",19
4,0.0192307692307692,416,1,"inc_3 > 5.7058085130663 & umid_max_1 <= 91","AL","5ª Região de Saúde",8
2,0.00311607374707868,3851,1,"inc_3 <= 5.7058085130663","AL","5ª Região de Saúde",12
