regiao;estado;munic_code;municipio;altitude;tmed;ppt;koppen;tmed_jan;tmed_fev;tmed_mar;tmed_abr;tmed_mai;tmed_jun;tmed_jul;tmed_ago;tmed_set;tmed_out;tmed_nov;tmed_dez;ppt_jan;ppt_fev;ppt_mar;ppt_abr;ppt_mai;ppt_jun;ppt_jul;ppt_ago;ppt_set;ppt_out;ppt_nov;ppt_dez
Norte;RO;1100015;Alta Floresta D'Oeste;246,08;25,42;2313,07;Am;26,24;26,37;26,27;25,5;23,84;22,81;22,84;24,59;25,76;27,02;27,09;26,68;370,24;279,47;309,9;174,87;83,77;44,32;25,41;43,56;165,31;242,21;306,55;267,46
Norte;RO;1100023;Ariquemes;165,90;25,93;2451,48;Am;26,41;26,53;26,53;26,02;24,71;23,85;23,88;25,35;26,33;27,4;27,36;26,85;367,67;313,67;332,6;220,05;111,55;47,27;28,09;71,39;146,22;239,42;269,23;304,32
Norte;RO;1100031;Cabixi;224,18;25,55;2253,05;Am;26,53;26,58;26,47;25,56;23,78;22,72;22,83;24,69;26,01;27,25;27,31;26,91;339,52;264,67;293,54;156,11;77,75;44,45;22,6;44,52;174,47;232,37;320,67;282,37
Norte;RO;1100049;Cacoal;229,95;25,83;2370,35;Am;26,35;26,43;26,36;25,82;24,42;23,55;23,6;25,32;26,43;27,49;27,38;26,82;386,38;298,25;350,22;191,21;81,76;39,57;16,74;30,85;163,65;243,19;300,64;267,88
Norte;RO;1100056;Cerejeiras;192,22;25,64;2286,9;Am;26,66;26,71;26,63;25,68;23,88;22,79;22,91;24,71;26,01;27,29;27,39;27,02;351,25;268,57;299,21;161,82;80,14;45,87;24,02;44,57;174,51;239,32;320,73;276,9
Norte;RO;1100064;Colorado do Oeste;359,62;25,12;2293,84;Am;25,78;25,9;25,69;25,09;23,52;22,59;22,6;24,54;25,74;26,89;26,8;26,29;346,75;270,82;303,5;160,73;78,79;42,87;20,94;42,6;180,76;236,84;323,27;285,96
Norte;RO;1100072;Corumbiara;266,89;25,44;2311,92;Am;26,25;26,34;26,21;25,45;23,8;22,8;22,86;24,71;25,94;27,14;27,14;26,69;356,28;274,38;308,69;165,31;79,73;44,29;21,95;42,74;176,87;240,96;321,64;279,08
Norte;RO;1100080;Costa Marques;190,01;25,33;2416,83;Am;26,34;26,52;26,49;25,56;23,78;22,61;22,63;24,21;25,34;26,76;27;26,73;356,35;289,21;295,37;184,35;102,4;54,33;41,24;86,41;166,53;251,54;308,36;280,73
Norte;RO;1100098;Espigao D'Oeste;296,94;25,65;2485,38;Am;26,03;26,13;26;25,6;24,29;23,49;23,5;25,3;26,38;27,38;27,18;26,56;384,12;304,74;359,84;192,7;86,47;42,14;17,04;36,98;183,44;259,53;330,47;287,91
Norte;RO;1100106;Guajara-Mirim;197,96;25,32;2467,4;Am;26,16;26,38;26,37;25,58;23,95;22,84;22,81;24,3;25,33;26,69;26,89;26,58;353,69;298,91;298,23;196,26;111,4;55,56;43,06;109,92;168,11;248,52;292,94;290,8
Norte;RO;1100114;Jaru;209,76;25,78;2378,57;Am;26,27;26,4;26,36;25,85;24,49;23,61;23,63;25,21;26,23;27,32;27,26;26,74;380,87;305,09;336,88;206,24;94,8;44,19;23,16;47,68;149,18;238,3;276,55;275,62
Norte;RO;1100122;Ji-Parana;193,68;26;2421,97;Am;26,44;26,52;26,49;26;24,7;23,87;23,93;25,53;26,58;27,6;27,47;26,91;391,55;311,46;356,96;209,84;93,4;42,81;19,29;35,51;156,31;243,3;286,97;274,55
Norte;RO;1100130;Machadinho D'Oeste;136,83;26,29;2593,61;Am;26,61;26,66;26,67;26,28;25,13;24,39;24,47;25,93;26,87;27,8;27,64;27,05;372,65;329,04;358,96;242,69;131,18;53,95;28,17;53,53;163,61;253,78;286,38;319,68
Norte;RO;1100148;Nova Brasilandia D'Oeste;249,30;25,57;2278,96;Am;26,17;26,3;26,22;25,63;24,15;23,21;23,23;24,93;26,02;27,17;27,14;26,65;385,11;291,08;329,37;187,11;79,62;38,29;18,98;34,56;150,75;230,12;278,38;255,59
Norte;RO;1100155;Ouro Preto do Oeste;220,01;25,82;2352,07;Am;26,26;26,38;26,33;25,85;24,53;23,68;23,7;25,32;26,34;27,4;27,29;26,75;387,92;304,99;345,83;204,88;89,1;41,41;19,6;36,27;147,72;234,58;274,21;265,56
Norte;RO;1100189;Pimenta Bueno;286,28;25,6;2407,29;Am;26,11;26,21;26,08;25,56;24,14;23,27;23,3;25,12;26,25;27,32;27,18;26,61;373,15;292,44;341,67;181;81,69;40,79;17,42;37,75;181,69;251,73;325,87;282,11
Norte;RO;1100205;Porto Velho;120,26;25,86;2497,78;Am;26,38;26,54;26,61;26,05;24,77;23,86;23,86;25,13;26;27,13;27,19;26,78;344,33;317,39;316,51;233,68;135,42;53,08;35,5;130,04;136,61;223,32;249,99;321,91
