municipio_geocodigo,regional_codigo,regional_status,regional_nome,macroregiao_codigo,macroregiao_status,macroregiao_nome
1100015,11005,ATIVO,Zona da Mata,1101,ATIVO,Cacoal
1100023,11001,ATIVO,Vale do Jamari,1102,ATIVO,Porto Velho
1100031,11006,ATIVO,Cone Sul,1101,ATIVO,Cacoal
1100049,11002,ATIVO,Café,1101,ATIVO,Cacoal
1100056,11006,ATIVO,Cone Sul,1101,ATIVO,Cacoal
1100064,11006,ATIVO,Cone Sul,1101,ATIVO,Cacoal
1100072,11006,ATIVO,Cone Sul,1101,ATIVO,Cacoal
1100080,11007,ATIVO,Vale do Guaporé,1101,ATIVO,Cacoal
1100098,11002,ATIVO,Café,1101,ATIVO,Cacoal
1100106,11004,ATIVO,Madeira-Mamoré,1102,ATIVO,Porto Velho
1100114,11003,ATIVO,Central,1102,ATIVO,Porto Velho
1100122,11003,ATIVO,Central,1101,ATIVO,Cacoal
1100130,11001,ATIVO,Vale do Jamari,1102,ATIVO,Porto Velho
1100148,11005,ATIVO,Zona da Mata,1101,ATIVO,Cacoal
1100155,11003,ATIVO,Central,1101,ATIVO,Cacoal
1100189,11002,ATIVO,Café,1101,ATIVO,Cacoal
1100205,11004,ATIVO,Madeira-Mamoré,1102,ATIVO,Porto Velho
1100254,11003,ATIVO,Central,1101,ATIVO,Cacoal
1100262,11001,ATIVO,Vale do Jamari,1102,ATIVO,Porto Velho
1100288,11005,ATIVO,Zona da Mata,1101,ATIVO,Cacoal
1100296,11005,ATIVO,Zona da Mata,1101,ATIVO,Cacoal
1100304,11006,ATIVO,Cone Sul,1101,ATIVO,Cacoal
1100320,11003,ATIVO,Central,1101,ATIVO,Cacoal
1100338,11004,ATIVO,Madeira-Mamoré,1102,ATIVO,Porto Velho
1100346,11003,ATIVO,Central,1101,ATIVO,Cacoal
1100379,11005,ATIVO,Zona da Mata,1101,ATIVO,Cacoal
1100403,11001,ATIVO,Vale do Jamari,1102,ATIVO,Porto Velho
1100452,11001,ATIVO,Vale do Jamari,1102,ATIVO,Porto Velho
1100502,11005,ATIVO,Zona da Mata,1101,ATIVO,Cacoal
1100601,11001,ATIVO,Vale do Jamari,1102,ATIVO,Porto Velho
1100700,11001,ATIVO,Vale do Jamari,1102,ATIVO,Porto Velho
1100809,11004,ATIVO,Madeira-Mamoré,1102,ATIVO,Porto Velho
1100908,11005,ATIVO,Zona da Mata,1101,ATIVO,Cacoal
1100924,11006,ATIVO,Cone Sul,1101,ATIVO,Cacoal
1100940,11001,ATIVO,Vale do Jamari,1102,ATIVO,Porto Velho
1101005,11003,ATIVO,Central,1102,ATIVO,Porto Velho
1101104,11004,ATIVO,Madeira-Mamoré,1102,ATIVO,Porto Velho
1101203,11002,ATIVO,Café,1101,ATIVO,Cacoal
1101302,11003,ATIVO,Central,1101,ATIVO,Cacoal
1101401,11001,ATIVO,Vale do Jamari,1102,ATIVO,Porto Velho
1101435,11003,ATIVO,Central,1101,ATIVO,Cacoal
1101450,11005,ATIVO,Zona da Mata,1101,ATIVO,Cacoal
1101468,11006,ATIVO,Cone Sul,1101,ATIVO,Cacoal
1101476,11002,ATIVO,Café,1101,ATIVO,Cacoal
1101484,11002,ATIVO,Café,1101,ATIVO,Cacoal
1101492,11007,ATIVO,Vale do Guaporé,1101,ATIVO,Cacoal
1101500,11007,ATIVO,Vale do Guaporé,1101,ATIVO,Cacoal
1101559,11003,ATIVO,Central,1101,ATIVO,Cacoal
1101609,11003,ATIVO,Central,1102,ATIVO,Porto Velho
1101708,11003,ATIVO,Central,1101,ATIVO,Cacoal
1101757,11003,ATIVO,Central,1102,ATIVO,Porto Velho
1101807,11003,ATIVO,Central,1101,ATIVO,Cacoal
1200013,12002,ATIVO,Baixo Acre e Purus,1201,ATIVO,Acre
1200054,12001,ATIVO,Alto Acre,1201,ATIVO,Acre
1200104,12001,ATIVO,Alto Acre,1201,ATIVO,Acre
1200138,12002,ATIVO,Baixo Acre e Purus,1201,ATIVO,Acre
1200179,12002,ATIVO,Baixo Acre e Purus,1201,ATIVO,Acre
1200203,12003,ATIVO,Juruá e Tarauacá/Envira,1201,ATIVO,Acre
1200252,12001,ATIVO,Alto Acre,1201,ATIVO,Acre
1200302,12003,ATIVO,Juruá e Tarauacá/Envira,1201,ATIVO,Acre
1200328,12002,ATIVO,Baixo Acre e Purus,1201,ATIVO,Acre
1200336,12003,ATIVO,Juruá e Tarauacá/Envira,1201,ATIVO,Acre
1200344,12002,ATIVO,Baixo Acre e Purus,1201,ATIVO,Acre
1200351,12003,ATIVO,Juruá e Tarauacá/Envira,1201,ATIVO,Acre
1200385,12002,ATIVO,Baixo Acre e Purus,1201,ATIVO,Acre
1200393,12003,ATIVO,Juruá e Tarauacá/Envira,1201,ATIVO,Acre
1200401,12002,ATIVO,Baixo Acre e Purus,1201,ATIVO,Acre
1200427,12003,ATIVO,Juruá e Tarauacá/Envira,1201,ATIVO,Acre
1200435,12002,ATIVO,Baixo Acre e Purus,1201,ATIVO,Acre
1200450,12002,ATIVO,Baixo Acre e Purus,1201,ATIVO,Acre
1200500,12002,ATIVO,Baixo Acre e Purus,1201,ATIVO,Acre
1200609,12003,ATIVO,Juruá e Tarauacá/Envira,1201,ATIVO,Acre
1200708,12001,ATIVO,Alto Acre,1201,ATIVO,Acre
1200807,12002,ATIVO,Baixo Acre e Purus,1201,ATIVO,Acre
1300029,13008,ATIVO,Triângulo,1302,ATIVO,Oeste
1300060,13009,ATIVO,Alto Solimões,1302,ATIVO,Oeste
1300086,13002,ATIVO,Rio Negro e Solimões,1304,ATIVO,Central
1300102,13002,ATIVO,Rio Negro e Solimões,1304,ATIVO,Central
1300144,13003,ATIVO,Rio Madeira,1303,ATIVO,Leste
1300201,13009,ATIVO,Alto Solimões,1302,ATIVO,Oeste
1300300,13001,ATIVO,"Manaus, Entorno e Alto Rio Negro",1304,ATIVO,Central
1300409,13001,ATIVO,"Manaus, Entorno e Alto Rio Negro",1304,ATIVO,Central
1300508,13005,ATIVO,Baixo Amazonas,1303,ATIVO,Leste
1300607,13009,ATIVO,Alto Solimões,1302,ATIVO,Oeste
1300631,13002,ATIVO,Rio Negro e Solimões,1304,ATIVO,Central
1300680,13005,ATIVO,Baixo Amazonas,1303,ATIVO,Leste
1300706,13006,ATIVO,Regional Purus,1304,ATIVO,Central
1300805,13003,ATIVO,Rio Madeira,1303,ATIVO,Leste
1300839,13002,ATIVO,Rio Negro e Solimões,1304,ATIVO,Central
1300904,13006,ATIVO,Regional Purus,1304,ATIVO,Central
1301001,13007,ATIVO,Regional Juruá,1302,ATIVO,Oeste
