"","nome","pre","pos","veryhigh","inicio","inicio.ic","duracao","duracao.ic","quant_pre","quant_pos","quant_epidemico","mininc_pre","mininc_pos","mininc_epi","ano_inicio","ano_fim","populacao","uf","regional_id","regiao"
"1","Baixo Acre e Purus",10.8718432649384,10.2449943588148,63.0574353846687,2,"[45-8]",12,"[1-16]",2.4459789303717,2.4459789303717,77.0397839328263,0.855237388241854,0.855237388241854,1.71047477648371,2010,2020,584633,"AC",12002,"Norte"
"2","Alto Acre",9.52216734199516,7.40525607483315,55.5182360762377,2,"[45-7]",12,"[4-16]",6.89388925656298,6.89388925656298,110.302228105008,6.89388925656298,6.89388925656298,13.787778513126,2010,2020,72528,"AC",12001,"Norte"
"3","Juruá e Tarauacá/Envira",16.1899964710895,27.1166704650366,206.444518330219,2,"[41-34]",8,"[1-14]",2.10695759537144,2.10695759537144,278.034124285214,2.10695759537144,2.10695759537144,4.21391519074287,2010,2020,237309,"AC",12003,"Norte"
"4","Triângulo",5.89370060645763,5.54936012801033,19.6154359488074,7,"[2-22]",8,"[1-12]",3.99760143913652,3.99760143913652,31.1413152108735,3.99760143913652,3.99760143913652,7.99520287827304,2010,2020,125075,"AM",13008,"Norte"
"5","Alto Solimões",2.14673654857979,3.5068871503188,17.8512320236967,2,"[41-33]",8,"[3-10]",1.96575652139726,1.96575652139726,33.7913546028189,1.96575652139726,1.96575652139726,3.93151304279452,2010,2020,254355,"AM",13009,"Norte"
"6","Rio Negro e Solimões",1.35305540343435,1.65361925030084,12.4047876525389,4,"[50-12]",8,"[4-12]",1.65389309896566,1.65389309896566,19.6317110847223,1.65389309896566,1.65389309896566,3.30778619793131,2010,2020,302317,"AM",13002,"Norte"
"7","Rio Madeira",3.09755209417896,3.70818251109663,23.974043336016,2,"[45-4]",11,"[7-16]",2.46451104100946,2.46451104100946,35.5136041009464,2.46451104100946,2.46451104100946,4.92902208201893,2010,2020,202880,"AM",13003,"Norte"
"8","Manaus, Entorno e Alto Rio Negro",2.25346924576133,3.31763729339805,18.1485995300286,4,"[2-15]",9,"[1-15]",0.76328448948671,0.76328448948671,21.997858987007,0.190821122371678,0.190821122371678,0.381642244743355,2010,2020,2620255,"AM",13001,"Norte"
"9","Baixo Amazonas",0.757785751897783,0.753978741572246,3.62944783066965,4,"[2-13]",10,"[3-14]",1.96885274950286,1.96885274950286,8.26918154791203,1.96885274950286,1.96885274950286,3.93770549900573,2010,2020,253955,"AM",13005,"Norte"
"10","Regional Purus",1.57627356490474,1.24526388326907,12.7063980367873,3,"[2-21]",8,"[1-10]",3.73521787525866,3.73521787525866,33.5422565198228,3.73521787525866,3.73521787525866,7.47043575051733,2010,2020,133861,"AM",13006,"Norte"
"11","Regional Juruá",1.53885150824372,3.42112404142955,23.3849189135886,4,"[44-20]",9,"[1-15]",3.57684493661831,3.57684493661831,37.1634188914642,3.57684493661831,3.57684493661831,7.15368987323662,2010,2020,139788,"AM",13007,"Norte"
"12","Médio Amazonas",0.738740887565351,1.01474792494578,8.94587871563531,6,"[3-9]",11,"[1-14]",2.85342525167211,2.85342525167211,16.5498664596982,2.85342525167211,2.85342525167211,5.70685050334421,2010,2020,175228,"AM",13004,"Norte"
"13","Marajó I",0.694872996586176,0.933948995496639,3.89420238120469,10,"[3-12]",7,"[3-13]",2.02460297535653,2.02460297535653,6.88365011621221,2.02460297535653,2.02460297535653,4.04920595071307,2010,2020,246962,"PA",15013,"Norte"
"14","Centro Norte",4.31044796919367,6.31239587408307,17.2172966336816,25,"[41-30]",9,"[3-13]",0.927679928160466,0.927679928160466,21.7169871182365,0.927679928160466,0.927679928160466,1.85535985632093,2010,2020,538979,"RR",14001,"Norte"
"15","Sul",8.24345021927808,13.7651919798974,37.398247290436,18,"[42-25]",6,"[3-11]",5.42287585952582,5.42287585952582,41.5934578425631,5.42287585952582,5.42287585952582,10.8457517190516,2010,2020,92202,"RR",14002,"Norte"
"16","Zona da Mata",4.51132912528489,3.51498235287997,28.0740813392111,2,"[47-10]",12,"[7-16]",3.68707091712202,3.68707091712202,42.2907034193896,3.68707091712202,3.68707091712202,7.37414183424404,2010,2020,135609,"RO",11005,"Norte"
"17","Vale do Jamari",3.04072672832459,4.46211219839442,15.3413511214321,2,"[44-9]",10,"[1-16]",1.79133138914167,1.79133138914167,22.9290417810133,1.79133138914167,1.79133138914167,3.58266277828333,2010,2020,279122,"RO",11001,"Norte"
"18","Cone Sul",4.98370027807254,4.87035427892699,34.5285347902867,4,"[46-9]",12,"[5-15]",3.12525392688156,3.12525392688156,60.4424109458894,3.12525392688156,3.12525392688156,6.25050785376312,2010,2020,159987,"RO",11006,"Norte"
"19","Café",3.31781266584233,3.53033576567345,19.3092830798851,4,"[45-13]",12,"[7-16]",2.89234685023428,2.89234685023428,40.1168508127495,2.89234685023428,2.89234685023428,5.78469370046856,2010,2020,172870,"RO",11002,"Norte"
"20","Vale do Guaporé",1.44506429362041,1.81191540290123,29.4530914315018,3,"[47-5]",13,"[1-16]",9.74089226573154,9.74089226573154,56.3997662185856,9.74089226573154,9.74089226573154,19.4817845314631,2010,2020,51330,"RO",11007,"Norte"
"21","Madeira-Mamoré",1.69115639096764,2.12841680648084,8.69752302070024,4,"[42-11]",9,"[4-13]",0.762973215062312,0.762973215062312,12.8713581381012,0.762973215062312,0.762973215062312,1.52594643012462,2010,2020,655331,"RO",11004,"Norte"
"22","Central",2.10692379858693,2.45625916698615,14.7109301590351,2,"[47-12]",12,"[3-15]",1.46108687330331,1.46108687330331,19.5785641022644,1.46108687330331,1.46108687330331,2.92217374660663,2010,2020,342211,"RO",11003,"Norte"
"23","Ilha do BaNULLal",4.87567284627202,3.30842125445569,32.1836158586964,4,"[51-9]",14,"[13-17]",2.6992010364932,2.6992010364932,59.0315266681063,2.6992010364932,2.6992010364932,5.3984020729864,2010,2020,185240,"TO",17005,"Norte"
"24","Sudeste",4.64598385912705,4.43779023791535,36.955794323555,10,"[4-12]",12,"[6-16]",5.04749694626435,5.04749694626435,68.6459584691951,5.04749694626435,5.04749694626435,10.0949938925287,2010,2020,99059,"TO",17003,"Norte"
"25","Bico do Papagaio",2.94914104755737,2.72107633072141,19.8365161452868,4,"[2-8]",12,"[7-17]",2.3653411294977,2.3653411294977,33.5641906275723,2.3653411294977,2.3653411294977,4.73068225899539,2010,2020,211386,"TO",17002,"Norte"
"26","Cantão",7.43058765312438,5.24101203197283,41.2841394677202,6,"[46-18]",12,"[6-16]",3.80118292812723,3.80118292812723,67.9271389256337,3.80118292812723,3.80118292812723,7.60236585625447,2010,2020,131538,"TO",17007,"Norte"
"27","Médio Norte Araguaia",8.08854395764501,7.10246763687238,38.6589565023944,6,"[3-12]",15,"[5-17]",1.63658621208848,1.63658621208848,55.4475408655577,1.63658621208848,1.63658621208848,3.27317242417696,2010,2020,305514,"TO",17001,"Norte"
"28","Cerrado Tocantins Araguaia",5.27206908118603,4.62085419198268,35.4518610871792,6,"[2-12]",10,"[3-15]",3.0644953695475,3.0644953695475,50.901268088184,3.0644953695475,3.0644953695475,6.12899073909499,2010,2020,163159,"TO",17004,"Norte"
"29","Amor Perfeito",5.7460861587313,5.49108298032315,35.4394715232129,4,"[2-9]",14,"[8-18]",4.46305040569128,4.46305040569128,59.8048754362632,4.46305040569128,4.46305040569128,8.92610081138256,2010,2020,112031,"TO",17008,"Norte"
"30","Capim Dourado",18.923811147378,16.1072824411616,87.7417365816576,4,"[45-11]",15,"[7-18]",2.87716343072967,2.87716343072967,120.880098137429,1.30780155942258,1.30780155942258,2.61560311884516,2010,2020,382321,"TO",17006,"Norte"
"31","7ª Região de Saúde",7.27824420692355,9.83024112443792,33.5038620420849,16,"[41-19]",10,"[5-16]",0.942096843787154,0.942096843787154,62.3291271849582,0.942096843787154,0.942096843787154,1.88419368757431,2010,2020,530731,"AL",27007,"Nordeste"
"32","10ª Região de Saúde",1.02687614922868,2.98466961311181,23.1712086389363,16,"[42-23]",10,"[1-13]",3.10069827725204,3.10069827725204,75.5950239994046,3.10069827725204,3.10069827725204,6.20139655450407,2010,2020,161254,"AL",27010,"Nordeste"
"33","8ª Região de Saúde",4.28223173641205,7.3948856804358,24.0180976585887,16,"[41-17]",9,"[5-12]",3.18408467117958,3.18408467117958,40.1194668568627,3.18408467117958,3.18408467117958,6.36816934235915,2010,2020,157031,"AL",27008,"Nordeste"
"34","5ª Região de Saúde",2.42333282340317,3.0310762123351,15.2671194875281,17,"[41-22]",8,"[2-16]",2.08368929692156,2.08368929692156,25.3793356365046,2.08368929692156,2.08368929692156,4.16737859384312,2010,2020,239959,"AL",27005,"Nordeste"
"35","4ª Região de Saúde",0.845982660176614,1.49432159108921,8.84759176206345,16,"[3-26]",8,"[4-13]",3.47497324270603,3.47497324270603,12.5099036737417,3.47497324270603,3.47497324270603,6.94994648541206,2010,2020,143886,"AL",27004,"Nordeste"
"36","1ª Região de Saúde",3.79282315508328,3.7790297685057,20.9616717903076,15,"[41-20]",14,"[4-17]",0.389383232534994,0.389383232534994,31.4621651888275,0.389383232534994,0.389383232534994,0.778766465069988,2010,2020,1284082,"AL",27001,"Nordeste"
"37","3ª Região de Saúde",2.02610378138291,3.51972239706131,14.8560481524222,14,"[7-17]",13,"[3-15]",2.22571412037552,2.22571412037552,24.638655312557,2.22571412037552,2.22571412037552,4.45142824075104,2010,2020,224647,"AL",27003,"Nordeste"
"38","9ª Região de Saúde",2.08301787073161,4.77993419475743,15.4860735451165,10,"[41-16]",8,"[4-10]",2.10974915082597,2.10974915082597,33.7770839047238,2.10974915082597,2.10974915082597,4.21949830165193,2010,2020,236995,"AL",27009,"Nordeste"
"39","6ª Região de Saúde",2.69613956375665,5.96728880554138,26.0010753706752,22,"[6-25]",12,"[5-15]",2.41580905445234,2.41580905445234,36.2129777262405,2.41580905445234,2.41580905445234,4.83161810890467,2010,2020,206970,"AL",27006,"Nordeste"
"40","2ª Região de Saúde",1.57340542143377,2.60826504901018,18.4056444186744,12,"[9-23]",10,"[1-13]",3.01226594693592,3.01226594693592,26.5079403330361,3.01226594693592,3.01226594693592,6.02453189387185,2010,2020,165988,"AL",27002,"Nordeste"
"41","Santa Maria da Vitória",1.90568395402653,1.86307705214772,21.3787823333467,9,"[2-15]",10,"[4-14]",1.65456627199746,1.65456627199746,41.016697882817,1.65456627199746,1.65456627199746,3.30913254399492,2010,2020,302194,"BA",29021,"Nordeste"
"42","Feira de Santana",5.41267121615192,6.53502442960217,27.6607281074815,11,"[7-14]",14,"[3-15]",0.432411863651891,0.432411863651891,43.4184752292864,0.432411863651891,0.432411863651891,0.864823727303782,2010,2020,1156305,"BA",29006,"Nordeste"
"43","Senhor do Bonfim",2.49486247562316,3.89634841986506,17.7347727494642,12,"[4-15]",12,"[1-15]",1.6755133772988,1.6755133772988,27.4784193877004,1.6755133772988,1.6755133772988,3.35102675459761,2010,2020,298416,"BA",29024,"Nordeste"
"44","Paulo Afonso",1.97422804621033,4.48277201433734,24.9214673041902,17,"[8-34]",9,"[4-13]",1.96910862390813,1.96910862390813,38.4173092524476,1.96910862390813,1.96910862390813,3.93821724781626,2010,2020,253922,"BA",29017,"Nordeste"
"45","Seabra",0.97602212352597,1.02887952168203,19.1555182884681,11,"[7-15]",11,"[1-18]",2.69853091976728,2.69853091976728,49.0592921213691,2.69853091976728,2.69853091976728,5.39706183953456,2010,2020,185286,"BA",29023,"Nordeste"
"46","Teixeira de Freitas",3.393262778274,4.36062435067973,21.6030252487875,14,"[52-19]",10,"[7-17]",1.09759363571306,1.09759363571306,37.054761141673,1.09759363571306,1.09759363571306,2.19518727142613,2010,2020,455542,"BA",29026,"Nordeste"
"47","Serrinha",2.94907103092593,3.56715372136568,23.8707041447083,11,"[2-16]",12,"[5-13]",0.787709215567655,0.787709215567655,40.0786448880823,0.787709215567655,0.787709215567655,1.57541843113531,2010,2020,634752,"BA",29025,"Nordeste"
"48","Alagoinhas",1.49661732826817,1.48937110277215,8.38941225986006,17,"[3-23]",12,"[5-17]",0.923277487355715,0.923277487355715,17.1544957150692,0.923277487355715,0.923277487355715,1.84655497471143,2010,2020,541549,"BA",29001,"Nordeste"
"49","Ribeira do Pombal",1.29126126326909,2.60110233986003,18.8881369835276,10,"[2-31]",8,"[4-11]",1.54133553641559,1.54133553641559,28.6534276219659,1.54133553641559,1.54133553641559,3.08267107283119,2010,2020,324394,"BA",29019,"Nordeste"
"50","Jequié",3.23216714769635,4.16688260433124,29.3047727519993,11,"[2-17]",13,"[3-16]",1.02622834401637,1.02622834401637,56.1141658508152,1.02622834401637,1.02622834401637,2.05245668803274,2010,2020,487221,"BA",29015,"Nordeste"
"51","Itabuna",4.33730743467567,4.8521394450684,35.7405011601789,11,"[2-16]",12,"[3-13]",0.990322567866806,0.990322567866806,95.6552568302548,0.990322567866806,0.990322567866806,1.98064513573361,2010,2020,504886,"BA",29012,"Nordeste"
"52","Ilhéus",3.96108543704668,4.58523848296016,33.3972771637902,8,"[43-13]",12,"[6-13]",1.69149213287009,1.69149213287009,77.6056590560798,1.69149213287009,1.69149213287009,3.38298426574018,2010,2020,295597,"BA",29009,"Nordeste"
"53","Santo Antônio de Jesus",1.00217617821783,1.41374292909534,10.4761374574627,10,"[46-15]",14,"[6-18]",1.08359032483871,1.08359032483871,20.0789287192612,1.08359032483871,1.08359032483871,2.16718064967742,2010,2020,461429,"BA",29022,"Nordeste"
